[F029];[Датчик];[3];[8];
[F030];[Датчик];[5];[20];
[FV-029];[Клапан в сборке];[i];[o];
[FV-030];[Клапан в сборке];[i];[o];
[HV-027];[Поршень_клапан];[i];[o];
[HV-095];[Поршень_клапан];[o];[i];
[HV-107];[Поршень_клапан];[o];[i];
[L010];[Датчик];[16];[17];
[PG-036];[Датчик];[10];[26];
[PG-037];[Датчик];[12];[13];
[PG-038];[Датчик];[9];[14];
[PG-039];[Датчик];[11];[15];
[PG-040];[Датчик];[19];[27];
[PG-041];[Датчик];[23];[28];
[PG-042];[Датчик];[18];[21];
[PG-043];[Датчик];[22];[24];
[PG-044];[Датчик];[7];[25];
[S_30AM3002_1];[Датчик];[2];[32];
[S_30AM3002_3];[Датчик];[30];[31];
[S_30AM3002_4];[Датчик];[6];[29];
[T041];[Датчик];[1];[4];
[XV-030];[Э_задвижка];[i];[o];
[XV-096];[Э_задвижка];[i];[o];
[_PG-036];[МД];
[_PG-037];[МД];
[_PG-038];[МД];
[_PG-039];[МД];
[_PG-040];[МД];
[_PG-041];[МД];
[_PG-042];[МД];
[_PG-043];[МД];
[_PG-044];[МД];
[Газойль в Т-3002 от T-3001];[IO];[o];
[Газойль от Р-3005А/S];[IO];[i];
[Дренаж в V-3023];[Коллектор];[i_Т-3002_1];
[Дренаж в V-3024];[Коллектор];
[Дренаж в V-3024];[Коллектор];
[Дренаж в V-3024];[Коллектор];
[Дренаж в V-3024];[Коллектор];
[Дренаж в V-3024];[Коллектор];[i_Т-3002_2];[i_Т-3002_3];[i_Т-3002_5];[i_Т-3002_6];[i_Т-3002_7];[i_Т-3002_11];
[Дренаж в V-3024];[Коллектор];
[Изм_Р-3004A];[Измеритель];[i_motor];
[Изм_Р-3004S];[Измеритель];[i_motor];
[Изм_Р-3005A];[Измеритель];[i_motor];
[Изм_Р-3005S];[Измеритель];[i_motor];
[Конденсат СД от Т-3002 в коллектор];[IO];[i];
[Линия аварийной откачки от P-3005A/S];[IO];[i];
[Пар НД к аппаратам];[Коллектор];[o_Т-3002_8];
[Пар СД к аппаратам];[Коллектор];[o_Т-3002_4];
[Пар СД от Т-3002 в Х-3001];[IO];[i];
[Пары газойля из стриппинга Т-3002 в T-3001];[IO];[i];
[Промывная жидкость от V-3020];[Коллектор];
[Промывная жидкость от V-3020];[Коллектор];
[Промывная жидкость от V-3020];[Коллектор];[o_Т-3002_9];[o_Т-3002_10];[o_Т-3002_12];
[Р-3004A];[Насос_центробежный];[o];[i];[o_motor];
[Р-3004S];[Насос_центробежный];[o];[i];[o_motor];
[Р-3005A];[Насос_центробежный];[o];[i];[o_motor];
[Р-3005S];[Насос_центробежный];[o];[i];[o_motor];
[Т-3002];[Колонна];[o_1];[i_1];[i_9];[i_9A];[o_9];
[Т-3002_ДР_8437];[Дренаж];[i];
[Т-3002_ДР_8459];[Дренаж];[i];
[Т-3002_ДР_8526];[Дренаж];[i];
[Т-3002_ДР_8563];[Дренаж];[i];
[Т-3002_ДР_8610];[Дренаж];[i];
[Т-3002_ДР_8638];[Дренаж];[i];
[Т-3002_ДР_8651];[Дренаж];[i];
[Т-3002_ДР_8672];[Дренаж];[i];
[Т-3002_ДР_8695];[Дренаж];[i];
[Т-3002_ДР_8723];[Дренаж];[i];
[Т-3002_ДР_8757];[Дренаж];[i];
[Т-3002_ДР_8801];[Дренаж];[i];
[Т-3002_ДР_8839];[Дренаж];[i];
[Т-3002_ДР_8863];[Дренаж];[i];
[Т-3002_ДР_8999];[Дренаж];[i];
[Т-3002_ДР_9029];[Дренаж];[i];
[Т-3002_ДР_9093];[Дренаж];[i];
[Т-3002_ДР_9104];[Дренаж];[i];
[Т-3002_ДР_9238];[Дренаж];[i];
[Т-3002_ДР_9289];[Дренаж];[i];
[Т-3002_ДР_9300];[Дренаж];[i];
[Т-3002_ДР_9340];[Дренаж];[i];
[Т-3002_ДР_9391];[Дренаж];[i];
[Т-3002_ДР_9448];[Дренаж];[i];
[Т-3002_ДР_9459];[Дренаж];[i];
[Т-3002_ДР_9648];[Дренаж];[i];
[Т-3002_ЗАГЛ_НО_9518];[Заглушка_НО];[o];[i];
[Т-3002_ЗАГЛ_НО_9524];[Заглушка_НО];[o];[i];
[Т-3002_ЗАГЛ_НО_9544];[Заглушка_НО];[o];[i];
