FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
467;ESD_101_2_FLD0467;H1001 I-025 TRIP outputs;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
168;ESD_101_2_FLD0168;I-007 TI-785B,785B2;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;08.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
10;ESD_101_2_FLD0010;LEGEND 09;;;ЛОЖЬ;;Comment block;;;;08.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1020;ESD_101_2_FLD1020;H1001 OIL VALVE XY-804;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1026;ESD_101_2_FLD1026;H1001 MAIN GAS VALVE XY-807-FO;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
107;ESD_101_2_FLD0107;MOS ACTIVE AREA 1000;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;05.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1223;ESD_101_2_FLD1223;SIS-P-1002A TI-732,732A;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;03.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
304;ESD_101_2_FLD0304;H1001 I-026 FI-036E;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
621;ESD_101_2_FLD0621;SEQUENCE H-1001-Step 3.4;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
18;ESD_101_2_FLD0018;SYSTEM CABINET ALARMS;;;ЛОЖЬ;;Program block;ESD_101_2;;;10.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
697;ESD_101_2_FLD0697;SEQUENCE H-1001-Step 6.1;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1225;ESD_101_2_FLD1225;SIS-P-1002A VAH/VSHH-931X,Y;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;03.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
509;ESD_101_2_FLD0509;SEQUENCE H-1001- Step 1.5;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
157;ESD_101_2_FLD0157;I-006 TI-777A,777A2;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;12.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
301;ESD_101_2_FLD0301;H1001 I-026 FI-036B;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;13.09.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
6;ESD_101_2_FLD0006;LEGEND 05;;;ЛОЖЬ;;Comment block;;;;08.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
197;ESD_101_2_FLD0197;I-012 LI-015, LI-014 HH;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;16.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
408;ESD_101_2_FLD0408;H1001 I-026 PI-817A/B HH B2;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
415;ESD_101_2_FLD0415;H1001 I-026 FI-806 (compensat);1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
9;ESD_101_2_FLD0009;LEGEND 08;;;ЛОЖЬ;;Comment block;;;;08.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
511;ESD_101_2_FLD0511;SEQUENCE H-1001- Step 2.1;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
474;ESD_101_2_FLD0474;H1001 I-032 Valve CMD DISAGRE2;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;19.12.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1028;ESD_101_2_FLD1028;H1001 MAIN GAS VALVE XY-808;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
145;ESD_101_2_FLD0145;10-HS-181A/B;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;21.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
545;ESD_101_2_FLD0545;SEQUENCE H-1001-Step 2.3.16;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
436;ESD_101_2_FLD0436;H1001 I-033 BI-900/901/902 MOS;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;17.09.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1023;ESD_101_2_FLD1023;H1001 LP CLOSE COMMAND VALVES;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
593;ESD_101_2_FLD0593;SEQUENCE H-1001-Step 2.4.15;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
154;ESD_101_2_FLD0154;I-006 TI-789B,789B2;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;08.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
215;ESD_101_2_FLD0215;I-058 HS-040;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;17.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1239;ESD_101_2_FLD1239;LINE MONITORING SDIL + EARH;;;ЛОЖЬ;;Program block;ESD_101_2;;;14.07.2016;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1099;ESD_101_2_FLD1099;FIRST-UP H-1001B 4/4;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1097;ESD_101_2_FLD1097;FIRST-UP H-1001B 3/4;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
681;ESD_101_2_FLD0681;SEQUENCE H-1001-Step 5.6.1;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
615;ESD_101_2_FLD0615;SEQUENCE H-1001-Step 3.1;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
7;ESD_101_2_FLD0007;LEGEND 06;;;ЛОЖЬ;;Comment block;;;;08.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
151;ESD_101_2_FLD0151;I-006 TI-787A,787A2;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;10.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1034;ESD_101_2_FLD1034;H1001 PILOT GAS VALVE XY-811;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
441;ESD_101_2_FLD0441;H1001 I-027 TRIP outputs;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
430;ESD_101_2_FLD0430;H1001 I-030 PI-819A,PI-819B LL;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
498;ESD_101_2_FLD0498;SEQUENCE H-1001- Shutd Seq 1/4;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
422;ESD_101_2_FLD0422;H1001 I-026 TI-258A/B/C;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
557;ESD_101_2_FLD0557;SEQUENCE H-1001-Step 2.3.22;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
307;ESD_101_2_FLD0307;H1001 I-026 FI-036H;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;13.09.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
625;ESD_101_2_FLD0625;SEQUENCE H-1001-Step 3.5.2;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
709;ESD_101_2_FLD0709;SEQUENCE H-1001-Step 6.5;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
427;ESD_101_2_FLD0427;H1001 I-026 TI-261A/B/C;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1221;ESD_101_2_FLD1221;SIS-P-1002A TI-734;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;03.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
494;ESD_101_2_FLD0494;SEQUENCE H-1001- Shutd Seq 4/4;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;25.05.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
591;ESD_101_2_FLD0591;SEQUENCE H-1001-Step 2.4.14;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
715;ESD_101_2_FLD0715;SEQUENCE H-1001-Step 6.8;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
16;ESD_101_2_FLD0016;COMMON SYSTEM FAULTS - SH.1;;;ЛОЖЬ;;Program block;ESD_101_2;;;10.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
713;ESD_101_2_FLD0713;SEQUENCE H-1001-Step 6.7;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
404;ESD_101_2_FLD0404;H1001 I-031 TRIP outputs;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2410;ESD_101_2_FLD2410;OOS Type 2 - WITH TIMERS;;;ЛОЖЬ;;Function block;ESD_101_2;;;10.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1;ESD_101_2_FLD0001;COVER PAGE;;;ЛОЖЬ;;Comment block;;;;08.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
153;ESD_101_2_FLD0153;I-006 TI-789A,789A2;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;12.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
541;ESD_101_2_FLD0541;SEQUENCE H-1001-Step 2.3.14;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
531;ESD_101_2_FLD0531;SEQUENCE H-1001-Step 2.3.9;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
434;ESD_101_2_FLD0434;H1001 I-030 SO PI819, B1/B2;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2450;ESD_101_2_FLD2450;2oo3;;;ЛОЖЬ;;Function block;ESD_101_2;;;10.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
630;ESD_101_2_FLD0630;SEQUENCE H-1001-TABLE4;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1066;ESD_101_2_FLD1066;H1001 LP LEAK T. LAMP, DCS CMD;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
152;ESD_101_2_FLD0152;I-006 TI-787B,787B2;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;08.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2;ESD_101_2_FLD0002;LEGEND 01;;;ЛОЖЬ;;Comment block;;;;08.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
689;ESD_101_2_FLD0689;SEQUENCE H-1001-Step 5.8;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
169;ESD_101_2_FLD0169;I-007 TI-751,751A;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;12.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
589;ESD_101_2_FLD0589;SEQUENCE H-1001-Step 2.4.13;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
141;ESD_101_2_FLD0141;10-HS-179A/B;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;21.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
655;ESD_101_2_FLD0655;SEQUENCE H-1001-Step 4.6.3;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
577;ESD_101_2_FLD0577;SEQUENCE H-1001-Step 2.4.7;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
207;ESD_101_2_FLD0207;I-013 TRIP outputs;1000;;ЛОЖЬ;;Program block;ESD_101_2;;;16.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
527;ESD_101_2_FLD0527;SEQUENCE H-1001-Step 2.3.7;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1095;ESD_101_2_FLD1095;FIRST-UP H-1001B 2/4;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
665;ESD_101_2_FLD0665;SEQUENCE H-1001-Step 5.4.1;1000;H1001;ЛОЖЬ;;Program block;ESD_101_2;;;09.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
