FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
205;ESD_001_4_FLD0205;I-308 INPUT SIGNALS (20AI001);2200;;ЛОЖЬ;;Program block;ESD_001_4;;;01.05.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
756;ESD_001_4_FLD0756;P-4301601AX SHUTDOWN;430-16;;ЛОЖЬ;;Program block;ESD_001_4;;;23.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1300;ESD_001_4_FLD1300;LINE MONITORING DI;;;ЛОЖЬ;;Program block;ESD_001_4;;;05.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
22;ESD_001_4_FLD0022;VM;;;ЛОЖЬ;;Program block;ESD_001_4;;;24.01.2023;;;Sysdtlsmflda;Sysdtlsmflda_fp;
519;ESD_001_4_FLD0519;I-182 INPUT SIGN. (22TT001N);2200;P-2001;ЛОЖЬ;;Program block;ESD_001_4;;;25.07.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
464;ESD_001_4_FLD0464;H2001 MOS GROUP;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_4;;;12.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2311;ESD_001_4_FLD2311;MOS REQUEST AREA 2000-2;;;ЛОЖЬ;;Function block;ESD_001_4;;;27.01.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
586;ESD_001_4_FLD0586;I-183 INPUT SIGN. (22TT021C);2200;P-2001S;ЛОЖЬ;;Program block;ESD_001_4;;;26.01.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
281;ESD_001_4_FLD0281;I-301 INPUT SIGNALS (21BE028);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_4;;;28.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
624;ESD_001_4_FLD0624;P-2001S;2200;P-2001S;ЛОЖЬ;;Program block;ESD_001_4;;;26.01.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
299;ESD_001_4_FLD0299;I-301 INPUT SIGNALS (21BE046);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_4;;;28.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
282;ESD_001_4_FLD0282;I-301 INPUT SIGNALS (21BE029);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_4;;;15.01.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
263;ESD_001_4_FLD0263;I-301 INPUT SIGNALS (21BE010);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_4;;;28.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
692;ESD_001_4_FLD0692;20-I-230: 20HS431A;2000;;ЛОЖЬ;;Program block;ESD_001_4;;;20.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
252;ESD_001_4_FLD0252;I-301 INPUT SIGNALS (21PT011B);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_4;;;15.01.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
478;ESD_001_4_FLD0478;H2001 MOS GROUP;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_4;;;12.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
618;ESD_001_4_FLD0618;I-602 INPUT SIGNAL (22ZSHH005);2200;P-2001S;ЛОЖЬ;;Program block;ESD_001_4;;;26.01.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1514;ESD_001_4_FLD1514;P-2001 TRANSMITER FAULTS;2200;P-2001S;ЛОЖЬ;;Program block;ESD_001_4;;;25.07.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
