FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
746;ESD_001_5_FLD0746;I-XXX INPUT SIGNAL (22TT255A);2000;;ЛОЖЬ;;Program block;ESD_001_5;;;01.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
622;ESD_001_5_FLD0622;P-2005S;2200;P-2005S;ЛОЖЬ;;Program block;ESD_001_5;;;25.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
402;ESD_001_5_FLD0402;PILOT LINE SHUTOFF VALVES;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
670;ESD_001_5_FLD0670;20-I-051: 20XZSO410;2000;;ЛОЖЬ;;Program block;ESD_001_5;;;08.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1010;ESD_001_5_FLD1010;DISCREPANCY VALVE 21XY104;;;ЛОЖЬ;;Program block;ESD_001_5;;;10.01.2023;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1362;ESD_001_5_FLD1362;P-2005S TRANS FAULT ADD;;P-2005S;ЛОЖЬ;;Program block;ESD_001_5;;;26.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
340;ESD_001_5_FLD0340;I-315 INPUT SIGNALS (21PT114A);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
382;ESD_001_5_FLD0382;VENTILATION PERMISSIVES;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
684;ESD_001_5_FLD0684;I-154 INPUT SIGNAL (22TT135A);2200;;ЛОЖЬ;;Program block;ESD_001_5;;;06.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
8;ESD_001_5_FLD0008;LEGEND 07;;;ЛОЖЬ;;Comment block;;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
261;ESD_001_5_FLD0261;I-311 INPUT SIGNALS (21BE108);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;31.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1016;ESD_001_5_FLD1016;DISCREPANCY VALVE 21XY108;;;ЛОЖЬ;;Program block;ESD_001_5;;;10.01.2023;;;Sysdtlsmflda;Sysdtlsmflda_fp;
671;ESD_001_5_FLD0671;20-I-052: 20XZSO411;2000;;ЛОЖЬ;;Program block;ESD_001_5;;;10.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
303;ESD_001_5_FLD0303;I-311 INPUT SIGNALS (21BE150);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;31.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
754;ESD_001_5_FLD0754;I-101 P2025&S;2000;;ЛОЖЬ;;Program block;ESD_001_5;;;01.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
362;ESD_001_5_FLD0362;INTERLOCK 20-I-311;2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
338;ESD_001_5_FLD0338;I-313 INPUT SIGNALS (21TT103);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
354;ESD_001_5_FLD0354;STACK DAMPERS STATUS;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
644;ESD_001_5_FLD0644;20-I-158: 22TT183;2200;P-2012;ЛОЖЬ;;Program block;ESD_001_5;;;26.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2470;ESD_001_5_FLD2470;First-Up Block;;;ЛОЖЬ;;Function block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
771;ESD_001_5_FLD0771;20-I-064: OOS 20XV158;;;ЛОЖЬ;;Program block;ESD_001_5;;;25.07.2016;;;Sysdtlsmflda;Sysdtlsmflda_fp;
512;ESD_001_5_FLD0512;I-605 INPUT SIGN. (22TT081G);2200;P-2005;ЛОЖЬ;;Program block;ESD_001_5;;;23.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
675;ESD_001_5_FLD0675;20-I-102: 20XZSO178;2000;;ЛОЖЬ;;Program block;ESD_001_5;;;15.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
444;ESD_001_5_FLD0444;FLAME INTERLOCK;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1355;ESD_001_5_FLD1355;P-2005 TRANS FAULT ADD;;P-2005;ЛОЖЬ;;Program block;ESD_001_5;;;26.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1500;ESD_001_5_FLD1500;HW NOT USED;;;ЛОЖЬ;;Program block;ESD_001_5;;;23.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
327;ESD_001_5_FLD0327;I-312 INPUT SIGNALS (20TT123);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
424;ESD_001_5_FLD0424;FLAME INTERLOCK;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
272;ESD_001_5_FLD0272;I-311 INPUT SIGNALS (21BE119);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
712;ESD_001_5_FLD0712;INTERLOCK 20-I-118/140/178/179;2000;;ЛОЖЬ;;Program block;ESD_001_5;;;06.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
430;ESD_001_5_FLD0430;FLAME INTERLOCK;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
578;ESD_001_5_FLD0578;20-I-605-2: P-2005/2051;2200;P-2005;ЛОЖЬ;;Program block;ESD_001_5;;;11.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
554;ESD_001_5_FLD0554;I-605 INPUT SIGNAL (22ZSHH022);2200;P-2005;ЛОЖЬ;;Program block;ESD_001_5;;;23.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
176;ESD_001_5_FLD0176;MOS AREA H-2002;2200;;ЛОЖЬ;;Program block;ESD_001_5;;;11.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
681;ESD_001_5_FLD0681;I-149 INPUT SIGNAL (22TT117B);2200;;ЛОЖЬ;;Program block;ESD_001_5;;;06.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
323;ESD_001_5_FLD0323;I-311 INPUT SIGNALS (21BE170);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;31.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
716;ESD_001_5_FLD0716;20-I-250: 20HS423A;2200;;ЛОЖЬ;;Program block;ESD_001_5;;;06.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2440;ESD_001_5_FLD2440;2oo2;;;ЛОЖЬ;;Function block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1014;ESD_001_5_FLD1014;DISCREPANCY VALVE 21XY106;;;ЛОЖЬ;;Program block;ESD_001_5;;;09.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
