PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
M;792_796_1;;;;;2000_4_FlGD_FL_1;;ЛОЖЬ;ЛОЖЬ;;796;;;;;;;0;;;;723;ЛОЖЬ;0;;;;;;;PULSE=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1714_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;1714;;;;;;;0;;;;7680;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1258_8;;;;;;;ЛОЖЬ;ЛОЖЬ;;1258;;;;;;;0;;;;4021;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C458_1_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;458;;;;;;;0;;;;5488;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1223_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;1223;;;;;;;0;;;;7409;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;23HY628A_TF;;COM;;;CHANNEL OR LINE FAULT;No;ЛОЖЬ;ЛОЖЬ;;1754;;;;;;;0;;;;7803;ЛОЖЬ;0;None;;;;;;0=FAULT;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;Output;EPKS_CCB;FGS_001_3;2017;;;;;;;;;;;;;;;;
M;C1520_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1520;;;;;;;0;;;;1296;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C164_3_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;164;;;;;;;0;;;;5872;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1732_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;1732;;;;;;;0;;;;877;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1216_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;1216;;;;;;;0;;;;993;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;20GT223;;FLD;;;NEXT PH-20-4;Yes;ИСТИНА;ЛОЖЬ;;440;ЛОЖЬ;Long;0-20mA;0;3276;;;;;;376;ЛОЖЬ;46003;;None;None;None;None;;;;0;0;;;;-XXXXX.X;0;4095;;33.03;13;10;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;Output;EPKS_CCB;FGS_001_3;11381;;;;;;;;;;;;;;;;
M;C914_3_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;914;;;;;;;0;;;;4892;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C2409_4;;;;;Compiler marker (384, 258);;ЛОЖЬ;ЛОЖЬ;;2409;;;;;;;0;;;;48;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;2462_H;;;;;Cmd Fail EXEC Time;;ЛОЖЬ;ЛОЖЬ;;2462;;Long;;;;;0;;;;120;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1140_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;1140;;;;;;;0;;;;7501;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C618_2_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;618;;;;;;;0;;;;5313;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1112_1168_1;;;;;20GT409_MOC_FL;;ЛОЖЬ;ЛОЖЬ;;1168;;;;;;;0;;;;3506;ЛОЖЬ;0;;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C2406_4;;;;;Compiler marker (384, 240);;ЛОЖЬ;ЛОЖЬ;;2406;;;;;;;0;;;;152;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20GT001_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;710;;;;;;;0;;;;1964;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_001_3;1505;;;;;;;;;;;;;;;;
DO;20GT463_B2;;COM;;;Bit 2;No;ЛОЖЬ;ЛОЖЬ;;1218;;;;;;;0;;;;1617;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_001_3;1158;;;;;;;;;;;;;;;;
M;774_812_2;;;;;20GT053_RR;;ЛОЖЬ;ЛОЖЬ;;812;;;;;;;0;;;;3235;ЛОЖЬ;0;;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;100_168_8;;;;;20HS863E;;ЛОЖЬ;ЛОЖЬ;;168;;;;;;;0;;;;2873;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1120_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1120;;;;;;;0;;;;4632;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1142_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1142;;;;;;;0;;;;3586;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
