PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
M;720_9;;;862-34;;;;ЛОЖЬ;ЛОЖЬ;;720;;;;;;;0;;;;3690;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;86TS843B_MOR;;COM;862-34;A_86234;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;872;;;;;;;0;;;;530;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_861_1;179;;;;;;;;
M;1290_1308_1;;;862-34;;86TAHH914E_I;;ЛОЖЬ;ЛОЖЬ;;1308;;;;;;;0;;;;2701;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1060_3;;;862-34;;;;ЛОЖЬ;ЛОЖЬ;;1060;;;;;;;0;;;;2331;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;412_146_2;;;862-34;;86TS817;;ЛОЖЬ;ЛОЖЬ;;146;;;;;;;0;;;;2807;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1084_1_B;;;862-34;862-34;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1084;;;;;;;0;;;;3150;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C920_1_B;;;862-34;862-34;Function block marker;;ЛОЖЬ;ЛОЖЬ;;920;;;;;;;0;;;;3207;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1254_1_G;;;862-34;862-34;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1254;;;;;;;0;;;;1018;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;86VI914H_HH;;COM;862-34;A_86234;HH TRIP SETPOINT (mm/s);No;ЛОЖЬ;ЛОЖЬ;;1354;;Float;;;;;0;;;;668;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_861_1;10164;;;;;;;;
M;C484_1_B;;;862-34;862-34;Function block marker;;ЛОЖЬ;ЛОЖЬ;;484;;;;;;;0;;;;3296;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;86VAHH914G;;COM;862-34;A_86234;VENTILATOR C-8623402G;No;ЛОЖЬ;ЛОЖЬ;;1336;;;;;;;0;;;;2580;ИСТИНА;29805;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_861_1;964;;;;;;;;
AI;86VI914F;;FLD;862-34;A_86234;VENTILATOR C-8623402F;Yes;ИСТИНА;ЛОЖЬ;;1314;ИСТИНА;Float;4-20mA;0;20;mm/s;;;;;172;ЛОЖЬ;29825;;None;None;None;None;;;;-5;-5;;;;-XXXXX.X;3.64;22;;16.03;9;10;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_861_1;10111;;;;;;;;
M;2450_C;;;;;Signal 3;;ЛОЖЬ;ЛОЖЬ;;2450;;;;;;;0;;;;2972;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;140_196_1;;;862-34;;MOS_LAMP_862_34_A;;ЛОЖЬ;ЛОЖЬ;;196;;;;;;;0;;;;2887;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;86PALL911D_CA;;COM;862-34;A_86234;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;1192;;;;;;;0;;;;2413;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_861_1;548;;;;;;;;
BO;86TS833C_HH;;COM;862-34;;HH TRIP SETPOINT (°C);No;ЛОЖЬ;ЛОЖЬ;;724;;Float;;;;;0;;;;1008;;0;;None;None;None;None;;;;;;;;;-XXXXX.X;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_861_1;10383;;;;;;;;
M;C1232_1_F;;;862-34;862-34;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1232;;;;;;;0;;;;1029;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;86LI003;;FLD;862-34;A_86234;OIL SLUDGE SLAM RESERV;Yes;ИСТИНА;ЛОЖЬ;;1066;ИСТИНА;Float;4-20mA;0;100;%;;;;;176;ЛОЖЬ;29869;;None;None;None;None;;;;-25;-25;;;;-XXXXX.X;3.64;22;;16.03;9;11;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_861_1;10065;;;;;;;;
DO;86TAHH914G;;COM;862-34;A_86234;OIL IN REDUCER C8623402G;No;ЛОЖЬ;ЛОЖЬ;;1330;;;;;;;0;;;;2504;ИСТИНА;30855;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_861_1;618;;;;;;;;
