PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5
M;804_808_1;;;;;30XZSO300;;ЛОЖЬ;ЛОЖЬ;;808;;;;;;;0;;;;189;ЛОЖЬ;0;;;;;;;1=OPEN;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;C116_7_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;116;;;;;;;0;;;;3293;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C360_2_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;360;;;;;;;0;;;;2788;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;340_608_3;;;;;30GA520_FL;;ЛОЖЬ;ЛОЖЬ;;608;;;;;;;0;;;;1976;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C706_3_P;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;706;;;;;;;0;;;;2572;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;2463_12;;;;;;;ЛОЖЬ;ЛОЖЬ;;2463;;;;;;;0;;;;1156;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C160_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;160;;;;;;;0;;;;3199;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C412_6;;;;;Compiler marker (256, 151);;ЛОЖЬ;ЛОЖЬ;;412;;;;;;;0;;;;2738;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C156_3_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;156;;;;;;;0;;;;3213;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C806_3_I;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;806;;;;;;;0;;;;70;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;466_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;466;;;;;;;0;;;;1728;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;FGS_301_1.30XZLC104;;FSC;;;Задвижка 30XV104-закрыта;Yes;ЛОЖЬ;ЛОЖЬ;;1008;;;;;;;0;;;;961;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;FGS_001_1;FGS_301_1;46;;;;;;;;;;;;;;;;
M;C464_3_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;464;;;;;;;0;;;;2708;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;898_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;898;;;;;;;0;;;;331;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;174_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;174;;;;;;;0;;;;2218;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
T;914_7;;;;;;;ЛОЖЬ;ЛОЖЬ;;914;;;;;;;;1 s;0;;196;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON memorize with variable timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C310_4_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;310;;;;;;;0;;;;3035;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;602_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;602;;;;;;;0;;;;1941;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C192_2_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;192;;;;;;;0;;;;3064;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;30YA004;;COM;;;TRIP INITIATOR-Fire;No;ЛОЖЬ;ЛОЖЬ;;156;;;;;;;1;;;;884;ИСТИНА;53390;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_301_1;899;;;;
M;180_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;180;;;;;;;0;;;;1239;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;30XV300OP_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;806;;;;;;;0;;;;2023;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_301_1;970;;;;
M;C154_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;154;;;;;;;0;;;;3232;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DI;00XS301G01P01;;CAB;;;IB30-1 COMM. ALARM FGS-01 POWER SUPPLY 01;Yes;ИСТИНА;ЛОЖЬ;;22;;;;;;;;;;;8;ИСТИНА;53061;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;37.03;1;1;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_301_1;417;;;;
T;1008_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;1008;;;;;;;;1 s;0;;144;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON memorize with variable timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;354_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;354;;;;;;;0;;;;1663;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;174_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;174;;;;;;;0;;;;1224;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;300_328_2;;;;;30HS230;;ЛОЖЬ;ЛОЖЬ;;328;;;;;;;0;;;;1642;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;340_480_1;;;;;30GT520_MOC_FL;;ЛОЖЬ;ЛОЖЬ;;480;;;;;;;0;;;;1540;ЛОЖЬ;0;;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
T;190_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;190;;;;;;;;1 s;30;;32;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;310_911_3;;;;;30GA500_FL;;ЛОЖЬ;ЛОЖЬ;;911;;;;;;;0;;;;2247;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;200_11;;;;;;;ЛОЖЬ;ЛОЖЬ;;200;;;;;;;0;;;;1306;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C154_3_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;154;;;;;;;0;;;;3223;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C310_4_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;310;;;;;;;0;;;;3034;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;462_550_3;;;;;30GA504_FL;;ЛОЖЬ;ЛОЖЬ;;550;;;;;;;0;;;;1500;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C338_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;338;;;;;;;0;;;;2897;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DI;30GT519_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;338;;;;;;;0;;;;3363;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Input;EPKS_CCB;FGS_301_1;36;;;;
M;898_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;898;;;;;;;0;;;;332;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
T;914_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;914;;;;;;;;10 ms;1;;60;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON memorize with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;30XV104AL_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;1008;;;;;;;0;;;;2042;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_301_1;989;;;;
M;806_20;;;;;;;ЛОЖЬ;ЛОЖЬ;;806;;;;;;;0;;;;63;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DI;30HS210;;FLD;;;Checking 30XA536,30XA537, 30XA562;No;ИСТИНА;ЛОЖЬ;;530;;;;;;;;;;;122;ИСТИНА;53082;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;37.04;17;3;1;Low;;Digital switch without loop monitoring;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_301_1;467;;;;
M;C806_3_J;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;806;;;;;;;0;;;;71;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;362_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;362;;;;;;;0;;;;1697;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;2406_D;;;;;0=HIGH ALARM;;ЛОЖЬ;ЛОЖЬ;;2406;;;;;;;0;;;;1649;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;100_154_1;;;;;30HS363;;ЛОЖЬ;ЛОЖЬ;;154;;;;;;;0;;;;146;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;C1004_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1004;;;;;;;0;;;;2415;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
T;362_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;362;;;;;;;;100 ms;10;;388;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
