PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4
M;130_145_1;;;;;86XA191K_FL;;ЛОЖЬ;ЛОЖЬ;;145;;;;;;;0;;;;271;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C230_2_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;230;;;;;;;0;;;;1074;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
R;C12_1;;;;;Compiler register (304, 66);;ЛОЖЬ;ЛОЖЬ;;12;;Float;;;;;0;;;;36;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;
DO;86HS191D_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;116;;;;;;;0;;;;348;ИСТИНА;59077;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_861_1;556
M;C116_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;116;;;;;;;0;;;;1222;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;86HS191L_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;132;;;;;;;0;;;;384;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_861_1;587
M;200_214_1;;;;;86HS125;;ЛОЖЬ;ЛОЖЬ;;214;;;;;;;0;;;;174;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;145_15;;;;;;;ЛОЖЬ;ЛОЖЬ;;145;;;;;;;0;;;;262;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;256_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;256;;;;;;;0;;;;465;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;114_145_1;;;;;86HS191C_FL;;ЛОЖЬ;ЛОЖЬ;;145;;;;;;;0;;;;222;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C122_7_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;122;;;;;;;0;;;;1204;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;230_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;230;;;;;;;0;;;;443;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C210_2_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;210;;;;;;;0;;;;1117;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;100_114_1;;;;;86HS126;;ЛОЖЬ;ЛОЖЬ;;114;;;;;;;0;;;;401;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C218_2;;;;;Compiler marker (256, 73);;ЛОЖЬ;ЛОЖЬ;;218;;;;;;;0;;;;1078;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DI;86HS191H_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;124;;;;;;;0;;;;1376;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Input;EPKS_CCB;FGS_861_1;17
M;236_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;236;;;;;;;0;;;;424;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;FGS_861_1.86XA134_1;;FSC;;;Fl.GD act. in 862-34-GDAP-C,F,G lamp;Yes;ЛОЖЬ;ЛОЖЬ;;260;;;;;;;0;;;;182;ЛОЖЬ;0;None;;;;;;PULSE=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;FGS_001_1;FGS_861_1;5;;;;;;;;;;;;
T;122_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;122;;;;;;;;100 ms;10;;72;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C214_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;214;;;;;;;0;;;;1093;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;136_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;136;;;;;;;0;;;;296;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
AI;86HS191F;;FLD;;;Manual annuncuator. Button 86HS191F.;Yes;ИСТИНА;ЛОЖЬ;;120;ЛОЖЬ;Long;0-20mA;0;3276;;;;;;88;ЛОЖЬ;59003;;None;None;None;None;;;;0;0;;;;-XXXXX.X;0;4095;;43.03;13;6;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_861_1;11109
M;C232_2_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;232;;;;;;;0;;;;1064;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;2470_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;2470;;;;;;;0;;;;45;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;
