PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
M;240_252_1;;;4300;;GROUP TRIP (I-575);;ЛОЖЬ;ЛОЖЬ;;252;;;;;;;0;;;;1292;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;409_437_1;;;4300;;93HA155_I;;ЛОЖЬ;ЛОЖЬ;;437;;;;;;;0;;;;427;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C250_5_C;;;4300;4300;Function block marker;;ЛОЖЬ;ЛОЖЬ;;250;;;;;;;0;;;;816;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;93XZSC106;;FLD;93001;A_93001;VALVE 93XV106 CLOSED;Yes;ЛОЖЬ;ЛОЖЬ;;425;;;;;;;;;;;60;ЛОЖЬ;0;None;;;;;;0=CLOSED;;;;;;;Undefined;491;3428;;13.04;5;5;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_431_1;680;;;;;;;;
M;435_5;;;6000;;;;ЛОЖЬ;ЛОЖЬ;;435;;;;;;;0;;;;384;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;43LI442_MOC;;COM;4300;A_43015;MO ENABLED;No;ЛОЖЬ;ЛОЖЬ;;258;;;;;;;0;;;;1317;ИСТИНА;24483;None;;;;;;1=ENABLED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_431_1;468;;;;;;;;
M;C2457_2;;;;;Compiler marker (312, 24);;ЛОЖЬ;ЛОЖЬ;;2457;;;;;;;0;;;;1269;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C250_2_G;;;4300;4300;Function block marker;;ЛОЖЬ;ЛОЖЬ;;250;;;;;;;0;;;;815;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;439_5;;;6000;;;;ЛОЖЬ;ЛОЖЬ;;439;;;;;;;0;;;;432;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;180_182_1;;;;;MOS ACTIVE;;ЛОЖЬ;ЛОЖЬ;;182;;;;;;;0;;;;1347;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
