FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
180;ESD_431_1_FLD0180;MOS ACTIVE AREA 430-15;;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2420;ESD_431_1_FLD2420;LOW/HIGH TRIP NO MO;;;ЛОЖЬ;;Function block;ESD_431_1;;;30.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
300;ESD_431_1_FLD0300;PUMP BEARINGS TEMP. 43TI913A;4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
429;ESD_431_1_FLD0429;VALVE CONTROL - 93XV108;6000;;ЛОЖЬ;;Program block;ESD_431_1;;;24.01.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2495;ESD_431_1_FLD2495;DIV PROTECTION;;;ЛОЖЬ;;Function block;ESD_431_1;;;30.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
280;ESD_431_1_FLD0280;PUMP BEARINGS TEMP. 43TI903A;4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2496;ESD_431_1_FLD2496;SQRT PROTECTION;;;ЛОЖЬ;;Function block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
407;ESD_431_1_FLD0407;GROUP TRIP (I-064) 93HS154;4300;;ЛОЖЬ;;Program block;ESD_431_1;;;24.01.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2432;ESD_431_1_FLD2432;LOW/HIGH TRIP WITH MO + BAD PV;;;ЛОЖЬ;;Function block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
20;ESD_431_1_FLD0020;SafeNet Control for MOS Lamps;;;ЛОЖЬ;;Program block;ESD_431_1;;;11.03.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
423;ESD_431_1_FLD0423;VALVE CONTROL - 93XV105;6000;;ЛОЖЬ;;Program block;ESD_431_1;;;24.01.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
266;ESD_431_1_FLD0266;P-4301507SX TRIP (I-430);4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
274;ESD_431_1_FLD0274;MOV 43HV560 TRIP (I-417);4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2480;ESD_431_1_FLD2480;ALARM LAMP CONTROL;;;ЛОЖЬ;;Function block;ESD_431_1;;;30.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
3;ESD_431_1_FLD0003;LEGEND 02;;;ЛОЖЬ;;Comment block;;;;30.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
260;ESD_431_1_FLD0260;P-4301506AX TRIP (I-435);4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
19;ESD_431_1_FLD0019;Common Utility Faults Sh.1;;;ЛОЖЬ;;Program block;ESD_431_1;;;28.07.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
246;ESD_431_1_FLD0246;P-4301501SX TRIP (I-428);4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
401;ESD_431_1_FLD0401;GROUP TRIP (I-061) 93HS151;4300;;ЛОЖЬ;;Program block;ESD_431_1;;;24.01.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
11;ESD_431_1_FLD0011;FLD INDEX;;;ЛОЖЬ;;FLD index;;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
270;ESD_431_1_FLD0270;P-4301508AS TRIP (I-434);4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
409;ESD_431_1_FLD0409;GROUP TRIP (I-065) 93HS155;4300;;ЛОЖЬ;;Program block;ESD_431_1;;;24.01.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
433;ESD_431_1_FLD0433;VALVE CONTROL - 93XV110;6000;;ЛОЖЬ;;Program block;ESD_431_1;;;24.01.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
264;ESD_431_1_FLD0264;P-4301507AX TRIP (I-429);4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
278;ESD_431_1_FLD0278;PUMP BEARINGS TEMP. 43TI901B;4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
252;ESD_431_1_FLD0252;P-4301503AX TRIP (I-423);4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
312;ESD_431_1_FLD0312;P-4301504 2SXTRIP;;;ЛОЖЬ;;Program block;ESD_431_1;;;09.07.2016;;;Sysdtlsmflda;Sysdtlsmflda_fp;
25;ESD_431_1_FLD0025;VOLTAGE MONITORING;S_B431;;ЛОЖЬ;;Program block;ESD_431_1;;;20.08.2019;;;Sysdtlsmflda;Sysdtlsmflda_fp;
10;ESD_431_1_FLD0010;LEGEND 09;;;ЛОЖЬ;;Comment block;;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
250;ESD_431_1_FLD0250;P-4301502SX TRIP (I-426);4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1499;ESD_431_1_FLD1499;NOT USED POINTS IN LOGIC;S_B431;;ЛОЖЬ;;Program block;ESD_431_1;;;20.08.2019;;;Sysdtlsmflda;Sysdtlsmflda_fp;
304;ESD_431_1_FLD0304;PUMP BEARINGS TEMP. 43TI915A;4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2457;ESD_431_1_FLD2457;XooY-2 VOTING;;;ЛОЖЬ;;Function block;ESD_431_1;;;30.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
284;ESD_431_1_FLD0284;PUMP BEARINGS TEMP. 43TI905A;4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
306;ESD_431_1_FLD0306;PUMP BEARINGS TEMP. 43TI915B;4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
286;ESD_431_1_FLD0286;PUMP BEARINGS TEMP. 43TI905B;4300;;ЛОЖЬ;;Program block;ESD_431_1;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
439;ESD_431_1_FLD0439;VALVE CONTROL - 93XV113;6000;;ЛОЖЬ;;Program block;ESD_431_1;;;24.01.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2;ESD_431_1_FLD0002;LEGEND 01;;;ЛОЖЬ;;Comment block;;;;30.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
4;ESD_431_1_FLD0004;LEGEND 03;;;ЛОЖЬ;;Comment block;;;;30.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
9;ESD_431_1_FLD0009;LEGEND 08;;;ЛОЖЬ;;Comment block;;;;06.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
403;ESD_431_1_FLD0403;GROUP TRIP (I-062) 93HS152;4300;;ЛОЖЬ;;Program block;ESD_431_1;;;24.01.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
