FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
1123;FGS_001_2_FLD1123;CH-20-2 FDs voting-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;31.10.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2311;FGS_001_2_FLD2311;FIRE MOS 5800#1;;;ЛОЖЬ;;Function block;FGS_001_2;;;22.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
746;FGS_001_2_FLD0746;2000#4 Fire detector 20YT009;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
952;FGS_001_2_FLD0952;2000#4 Common Alarm FD-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;16.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
126;FGS_001_2_FLD0126;2000#1 Fire detector 20YT602;;;ЛОЖЬ;;Program block;FGS_001_2;;;01.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1418;FGS_001_2_FLD1418;5800#1 Common Alarm MCP;;;ЛОЖЬ;;Program block;FGS_001_2;;;15.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1622;FGS_001_2_FLD1622;5800#2 Common Alarm FD;;;ЛОЖЬ;;Program block;FGS_001_2;;;15.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
348;FGS_001_2_FLD0348;2000#2 DV 58XV091-Sh4;;;ЛОЖЬ;;Program block;FGS_001_2;;;07.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1834;FGS_001_2_FLD1834;H-2006-MOS Lamp Control;;;ЛОЖЬ;;Program block;FGS_001_2;;;20.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
920;FGS_001_2_FLD0920;2000#4 DV 58XV083-Sh4;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
386;FGS_001_2_FLD0386;2000#2 MOS Lamp Control-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;15.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1790;FGS_001_2_FLD1790;H-2005A-Howlers & Beacons;;;ЛОЖЬ;;Program block;FGS_001_2;;;20.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
6;FGS_001_2_FLD0006;Legend of Symbols (5);;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
270;FGS_001_2_FLD0270;2000#2 Fire detector 20YT421;;;ЛОЖЬ;;Program block;FGS_001_2;;;02.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1786;FGS_001_2_FLD1786;H-2005A-Logic;;;ЛОЖЬ;;Program block;FGS_001_2;;;20.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
716;FGS_001_2_FLD0716;2000#4 MCP 20HS528;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
212;FGS_001_2_FLD0212;2000#2 MCP 20HS507;;;ЛОЖЬ;;Program block;FGS_001_2;;;02.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
798;FGS_001_2_FLD0798;2000#4 Fire detector 20YT041;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
568;FGS_001_2_FLD0568;2000#3 DV 58XV024-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;09.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2460;FGS_001_2_FLD2460;MOV Commands;;;ЛОЖЬ;;Function block;FGS_001_2;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1824;FGS_001_2_FLD1824;H-2006-Open Buttons;;;ЛОЖЬ;;Program block;FGS_001_2;;;20.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
594;FGS_001_2_FLD0594;2000#3 DV 58XV089-Sh4;;;ЛОЖЬ;;Program block;FGS_001_2;;;09.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
294;FGS_001_2_FLD0294;2000#2 Fire detector 20YT433;;;ЛОЖЬ;;Program block;FGS_001_2;;;02.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
588;FGS_001_2_FLD0588;2000#3 DV 58XV089-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;09.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
20;FGS_001_2_FLD0020;Common System Faults-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.09.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
922;FGS_001_2_FLD0922;2000#4 DV 58XV084-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
794;FGS_001_2_FLD0794;2000#4 Fire detector 20YT039;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1146;FGS_001_2_FLD1146;CH-20-2 Howlers & Beacons;;;ЛОЖЬ;;Program block;FGS_001_2;;;14.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
852;FGS_001_2_FLD0852;2000#4 DV 58XV026-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1324;FGS_001_2_FLD1324;CH-20-4 DV 20XV491-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;12.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
456;FGS_001_2_FLD0456;2000#3 Fire detector 20YT220;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
808;FGS_001_2_FLD0808;2000#4 FDs voting-Sh8;;;ЛОЖЬ;;Program block;FGS_001_2;;;21.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
360;FGS_001_2_FLD0360;2000#2 DV 58XV093-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;07.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
982;FGS_001_2_FLD0982;2000#4 MOS Lamp Control-Sh4;;;ЛОЖЬ;;Program block;FGS_001_2;;;11.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
824;FGS_001_2_FLD0824;2000#4 DV 20XV481-Sh4;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
105;FGS_001_2_FLD0105;2000#1 FIRE MOS ENABLE;;;ЛОЖЬ;;Program block;FGS_001_2;;;13.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
144;FGS_001_2_FLD0144;2000#1 MOS Lamp Control;;;ЛОЖЬ;;Program block;FGS_001_2;;;15.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1640;FGS_001_2_FLD1640;SDOL DIAG Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;25.02.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2480;FGS_001_2_FLD2480;DV ABB;;;ЛОЖЬ;;Function block;FGS_001_2;;;09.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
683;FGS_001_2_FLD0683;2000#3 Ready to Reset-voiting2;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.07.2016;;;Sysdtlsmflda;Sysdtlsmflda_fp;
532;FGS_001_2_FLD0532;2000#3 DV 20XV494-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;09.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
