PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7
M;C1328_2_K;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1328;;;;;;;0;;;;4687;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1724_5_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1724;;;;;;;0;;;;2540;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20HS512_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;1012;;;;;;;0;;;;1691;ИСТИНА;45454;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;2382;;;;;;;;;;;;;;;;
T;1220_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;1220;;;;;;;;100 ms;5;;1628;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;976_988_1;;;;;2000_4_MOS_FL_1;;ЛОЖЬ;ЛОЖЬ;;988;;;;;;;0;;;;6810;ЛОЖЬ;0;;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;488_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;488;;;;;;;0;;;;507;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1724_6;;;;;;;ЛОЖЬ;ЛОЖЬ;;1724;;;;;;;0;;;;2265;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;20YT024;;FLD;;;P-2025/2025S;Yes;ИСТИНА;ЛОЖЬ;;764;ЛОЖЬ;Long;0-20mA;0;3276;;;;;;524;ЛОЖЬ;44003;;None;None;None;None;;;;0;0;;;;-XXXXX.X;0;4095;;32.04;1;13;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;11521;;;;;;;;;;;;;;;;
T;546_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;546;;;;;;;;1 s;0;;512;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON with variable timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C524_3_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;524;;;;;;;0;;;;9404;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;528_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;528;;;;;;;0;;;;4113;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20YT430_B2;;COM;;;Bit 2;No;ЛОЖЬ;ЛОЖЬ;;288;;;;;;;0;;;;1112;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;1287;;;;;;;;;;;;;;;;
M;522_34;;;;;;;ЛОЖЬ;ЛОЖЬ;;522;;;;;;;0;;;;3387;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58XY024_TF;;COM;;;CHANNEL OR LINE FAULT;No;ЛОЖЬ;ЛОЖЬ;;1647;;;;;;;0;;;;4175;ЛОЖЬ;0;None;;;;;;0=FAULT;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;792;;;;;;;;;;;;;;;;
M;C866_3_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;866;;;;;;;0;;;;8363;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;FGS_001_2.58TAL072;;FSC;;;Low temperaure-FDAP-C,F lamp;Yes;ЛОЖЬ;ЛОЖЬ;;1900;;;;;;;0;;;;124;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;FGS_001_1;FGS_001_2;185;;;;;;;;
M;C298_1_I;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;298;;;;;;;0;;;;10277;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20HS516E_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;884;;;;;;;0;;;;5974;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;2210;;;;;;;;;;;;;;;;
M;1316_1320_4;;;;;20YT207_BadPV_FL;;ЛОЖЬ;ЛОЖЬ;;1320;;;;;;;0;;;;6531;ЛОЖЬ;0;;;;;;;0=BadPV;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58PSH111_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;576;;;;;;;0;;;;5881;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;1804;;;;;;;;;;;;;;;;
M;576_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;576;;;;;;;0;;;;4045;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;692_694_1;;;;;2000_3_MOS_FL_5;;ЛОЖЬ;ЛОЖЬ;;694;;;;;;;0;;;;3282;ЛОЖЬ;0;;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C874_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;874;;;;;;;0;;;;8332;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C824_1_K;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;824;;;;;;;0;;;;8503;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20HS857D;;FLD;;;DELUGE VALVE 20XV-857 RESET;Yes;ИСТИНА;ЛОЖЬ;;336;;;;;;;;;;;273;ЛОЖЬ;44004;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;32.06;5;10;1;Low;;Digital switch with Loop monitoring;ИСТИНА;ЛОЖЬ;;;1;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;554;;;;;;;;;;;;;;;;
M;234_380_2;;;;;20YT401_RR;;ЛОЖЬ;ЛОЖЬ;;380;;;;;;;0;;;;3191;ЛОЖЬ;0;;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C660_7;;;;;Compiler marker (256, 151);;ЛОЖЬ;ЛОЖЬ;;660;;;;;;;0;;;;9091;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C276_4_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;276;;;;;;;0;;;;10394;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;658_24;;;;;;;ЛОЖЬ;ЛОЖЬ;;658;;;;;;;0;;;;2637;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20HS536_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;118;;;;;;;0;;;;10868;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;Input;EPKS_CCB;FGS_001_2;5;;;;;;;;;;;;;;;;
DO;20XA919R;;FLD;;;INSIDE OF CH-20-4;Yes;ИСТИНА;ЛОЖЬ;;1346;;;;;;;0;;;;188;ИСТИНА;44006;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;32.15;11;5;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;869;;;;;;;;;;;;;;;;
M;132_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;132;;;;;;;0;;;;7332;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;590_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;590;;;;;;;;100 ms;5;;1188;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C794_3_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;794;;;;;;;0;;;;8616;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1013_3_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1013;;;;;;;0;;;;7759;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;212_366_1;;;;;20XA507_FL;;ЛОЖЬ;ЛОЖЬ;;366;;;;;;;0;;;;710;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1036_1040_1;;;;;20HS851E_FL;;ЛОЖЬ;ЛОЖЬ;;1040;;;;;;;0;;;;7479;ЛОЖЬ;0;;;;;;;0=cmdTEST;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C908_3_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;908;;;;;;;0;;;;8207;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1048_1_M;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1048;;;;;;;0;;;;7838;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20YT011_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;750;;;;;;;0;;;;1474;ИСТИНА;45179;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;1885;;;;;;;;;;;;;;;;
DO;20HS516D_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;884;;;;;;;0;;;;5972;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;2208;;;;;;;;;;;;;;;;
M;C322_7_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;322;;;;;;;0;;;;10193;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;531_8;;;;;;;ЛОЖЬ;ЛОЖЬ;;531;;;;;;;0;;;;9095;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1804_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1804;;;;;;;0;;;;1960;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;426_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;426;;;;;;;0;;;;419;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;20HS528;;FLD;;;T-2002 / STAIR CASE;Yes;ИСТИНА;ЛОЖЬ;;716;ЛОЖЬ;Long;0-20mA;0;3276;;;;;;164;ЛОЖЬ;44007;;None;None;None;None;;;;0;0;;;;-XXXXX.X;0;4095;;32.03;7;8;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;11181;;;;;;;;;;;;;;;;
DI;32-TempLL_Alarm;;SYS;;;Temp low-low alarm;Yes;ЛОЖЬ;;;21;;;;;;;1;;;;5;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;1001;;;;;;;;;;;;;;;;
DI;20HS869H;;COM;;;RESET CH-20-4-FIRE;No;ЛОЖЬ;ИСТИНА;;1300;;;;;;;0;;;;11206;ИСТИНА;44008;None;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;Input;EPKS_CCB;FGS_001_2;343;;;;;;;;;;;;;;;;
M;C805_1_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;805;;;;;;;0;;;;3348;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
