Оценка1;;;;;;;
F002.#Показания(разм);2;223.750;0.000;5.000;т/ч;Остаток висбрекинга на ГУ;34
F012.#Показания(разм);2;260.300;0.000;5.000;т/ч;Сырье печи H-3001;34
F030.#Показания(разм);2;20200.000;0.000;5.000;кг/ч;Газойль на смешение;34
F036.#Показания(разм);2;12350.000;0.000;5.000;кг/ч;Стабильная нафта на ГУ;34
F091_10.#Показания(разм);2;260.000;0.000;5.000;т/ч;Гудрон от С1000;34
U041.#Показания(разм);2;3400.000;0.000;5.000;кг/ч;Кислый газ на ГУ;34
