FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
270;ESD_551_1_FLD0270;INPUT SIGNALS (55LT118);5500;;ЛОЖЬ;;Program block;ESD_551_1;;;17.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
913;ESD_551_1_FLD0913;SEQUENCE H-6051-Step 5.3.1;6000;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
330;ESD_551_1_FLD0330;INPUT SIGNALS (60PT957);6000;;ЛОЖЬ;;Program block;ESD_551_1;;;19.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
887;ESD_551_1_FLD0887;SEQUENCE H-6051- Step 4.9.2;;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1459;ESD_551_1_FLD1459;VALVE CONTROL - 60XV059;6000;;ЛОЖЬ;;Program block;ESD_551_1;;;17.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
935;ESD_551_1_FLD0935;SEQUENCE H-6051-Step 5.4.8;6000;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
961;ESD_551_1_FLD0961;SEQUENCE H-6051-Step 5.16.4;6000;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
849;ESD_551_1_FLD0849;SEQUENCE H-6051- Step 3.7.2;;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
895;ESD_551_1_FLD0895;SEQUENCE H-6051- Step 4.11.3;;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
390;ESD_551_1_FLD0390;INPUT SIGNALS (60LT307);6000;;ЛОЖЬ;;Program block;ESD_551_1;;;23.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
803;ESD_551_1_FLD0803;SEQUENCE H-6051- Step 1.2;;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
208;ESD_551_1_FLD0208;MOS AREA C-6001A;;;ЛОЖЬ;;Program block;ESD_551_1;;;08.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
801;ESD_551_1_FLD0801;SEQUENCE H-6051- Step 1.1;;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1211;ESD_551_1_FLD1211;SEQUENCE H-6052- Step 5.5.7.4;;;ЛОЖЬ;;Program block;ESD_551_1;;;28.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1031;ESD_551_1_FLD1031;SEQUENCE H-6052- Step 3.6.2.;;;ЛОЖЬ;;Program block;ESD_551_1;;;27.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
909;ESD_551_1_FLD0909;SEQUENCE H-6051-Step 5.2;6000;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
753;ESD_551_1_FLD0753;SEQUENCE H-6001-Step 5.11.2;6000;;ЛОЖЬ;;Program block;ESD_551_1;;;15.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1305;ESD_551_1_FLD1305;VALVE 60XV005 MOR;6000;;ЛОЖЬ;;Program block;ESD_551_1;;;08.11.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1089;ESD_551_1_FLD1089;SEQUENCE H-6052- Step 4.4.8.3;;;ЛОЖЬ;;Program block;ESD_551_1;;;27.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
837;ESD_551_1_FLD0837;SEQUENCE H-6051- Step 3.3;;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
647;ESD_551_1_FLD0647;SEQUENCE H-6001- Step 3.6;;;ЛОЖЬ;;Program block;ESD_551_1;;;15.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1481;ESD_551_1_FLD1481;VALVE CONTROL - 60XY924;;;ЛОЖЬ;;Program block;ESD_551_1;;;17.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
931;ESD_551_1_FLD0931;SEQUENCE H-6051-Step 5.4.6;6000;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1123;ESD_551_1_FLD1123;SEQUENCE H-6052- Step 4.5.10.;;;ЛОЖЬ;;Program block;ESD_551_1;;;27.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
807;ESD_551_1_FLD0807;SEQUENCE H-6051- Step 1.4;;;ЛОЖЬ;;Program block;ESD_551_1;;;26.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
654;ESD_551_1_FLD0654;SEQUENCE H-6001- Step 3.8.1;;;ЛОЖЬ;;Program block;ESD_551_1;;;15.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1051;ESD_551_1_FLD1051;SEQUENCE H-6052- Step 4.3.6;;;ЛОЖЬ;;Program block;ESD_551_1;;;27.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
349;ESD_551_1_FLD0349;60HS907A / 60HS907A_2;;;ЛОЖЬ;;Program block;ESD_551_1;;;23.07.2019;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1073;ESD_551_1_FLD1073;SEQUENCE H-6052- Step 4.4.2.;;;ЛОЖЬ;;Program block;ESD_551_1;;;27.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
572;ESD_551_1_FLD0572;C-6001B;6000;;ЛОЖЬ;;Program block;ESD_551_1;;;03.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
637;ESD_551_1_FLD0637;SEQUENCE H-6001- Step 3.3;;;ЛОЖЬ;;Program block;ESD_551_1;;;15.11.2011;;;Sysdtlsmflda;Sysdtlsmflda_fp;
