PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14;ComAllocationType15;Master15;Slave15;PLCAddress15;ComAllocationType16;Master16;Slave16;PLCAddress16;ComAllocationType17;Master17;Slave17;PLCAddress17;ComAllocationType18;Master18;Slave18;PLCAddress18;ComAllocationType19;Master19;Slave19;PLCAddress19;ComAllocationType20;Master20;Slave20;PLCAddress20;ComAllocationType21;Master21;Slave21;PLCAddress21;ComAllocationType22;Master22;Slave22;PLCAddress22;ComAllocationType23;Master23;Slave23;PLCAddress23;ComAllocationType24;Master24;Slave24;PLCAddress24;ComAllocationType25;Master25;Slave25;PLCAddress25;ComAllocationType26;Master26;Slave26;PLCAddress26;ComAllocationType27;Master27;Slave27;PLCAddress27;ComAllocationType28;Master28;Slave28;PLCAddress28
T;79_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;79;;;;;;;;100 ms;10;;120;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20XL281A_ON;;FSC;2000;H-2006;EMERGENCY STEAM TO H-2006 VALVE OP;No;ЛОЖЬ;ЛОЖЬ;;240;;;;;;;0;;;;2531;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_001_6;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;30XL118_ON;;FSC;3000;A_3000;STOP P-3021 FIRE - N. 02;No;ЛОЖЬ;ЛОЖЬ;;208;;;;;;;0;;;;2336;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_301_1;16;;;;;;;;;;;;;;;;;;;;
DO;30XL047B;;PNL;3000;A_3000;C-3001A EMERG. SD;Yes;ЛОЖЬ;ЛОЖЬ;;206;;;;;;;0;;;;45;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.05;5;6;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;52XL026_ON;;FSC;5200;A_5200;GROUP SHUTDOWN;No;ЛОЖЬ;ЛОЖЬ;;292;;;;;;;0;;;;2047;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;Input;ESD_001_1;ESD_511_1;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;22_292_10;;;;;14-01 - ESD511_1;;ЛОЖЬ;ЛОЖЬ;;292;;;;;;;0;;;;769;ЛОЖЬ;0;;;;;;;Blink on Failure;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20XAPAN_TF_SM04_01;;FSC;2000;H-2001;PAN_FAULT;Yes;ЛОЖЬ;ЛОЖЬ;;24;;;;;;;0;;;;1382;ЛОЖЬ;0;None;;;;;;1=FAULT;;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_001_4;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XL990BA;;PNL;2000;A_2000;MOS ENABLED AREA 2000-2;Yes;ЛОЖЬ;ЛОЖЬ;;53;;;;;;;0;;;;234;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.06;13;3;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XL442;;PNL;2000;A_2000;ED FROM V-2016;Yes;ЛОЖЬ;ЛОЖЬ;;262;;;;;;;0;;;;303;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.07;5;8;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;21_222_11;;;;;06-01 - ESD001_6;;ЛОЖЬ;ЛОЖЬ;;222;;;;;;;0;;;;627;ЛОЖЬ;0;;;;;;;Blink on Failure;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XL433B7;;PNL;;;VALVE 20XV433B OPEN;Yes;ЛОЖЬ;ЛОЖЬ;;232;;;;;;;0;;;;446;ЛОЖЬ;0;None;;;;;;1=LAMP ON;1=LAMP ON;;;;;;Undefined;;;;01.06;17;7;1;Appl;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;43HS902A;;PNL;4300;A_43015;MOS ENABLE AREA 430-15;Yes;ЛОЖЬ;ЛОЖЬ;;49;;;;;;;;;;;60;ЛОЖЬ;0;None;;;;;;1=ENABLE;;;;;;;Undefined;491;3428;;01.03;7;5;1;Hold;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;33_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;33;;;;;;;;100 ms;10;;8;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XL279A;;PNL;2000;;EMERGENCY SHT.VLV. TO OPEN;Yes;ЛОЖЬ;ЛОЖЬ;;266;;;;;;;0;;;;96;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;;;;01.05;13;9;1;Appl;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;CB001_ESD1_T;;COM;2000;;TEMPERATURE ALARM;No;ЛОЖЬ;ЛОЖЬ;;18;;;;;;;0;;;;77;ЛОЖЬ;0;None;;;;;;;State High;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;31_39_1;;;;;20HS846A;;ЛОЖЬ;ЛОЖЬ;;39;;;;;;;0;;;;547;ЛОЖЬ;0;;;;;;;1=TEST;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20XZLC434A_SN;;FSC;;;VALVE 20XV434A CLOSE;No;ЛОЖЬ;ЛОЖЬ;;242;;;;;;;0;;;;851;ЛОЖЬ;0;None;;;;;;1=CLOSE;1=CLOSE;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;View only;;;;;;;;;;;;;Input;ESD_001_1;ESD_001_8;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;CB001_ESD1_DAY;;COM;;;DAY;No;ЛОЖЬ;ЛОЖЬ;;15;;Byte;;;;;0;;;;59;;0;;None;None;None;None;;;;;;;;;-XXXXX.X;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;10071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;51HS903A;;PNL;5100;A_5100;MOS ENABLE AREA 5140S;Yes;ЛОЖЬ;ЛОЖЬ;;107;;;;;;;;;;;154;ЛОЖЬ;0;None;;;;;;1=ENABLE;;;;;;;Undefined;491;3428;;01.04;3;3;1;Hold;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20HS846C;;PNL;2000;A_P20_1;TEST LAMPS ON SP1-3;Yes;ЛОЖЬ;ЛОЖЬ;;87;;;;;;;;;;;142;ЛОЖЬ;0;None;;;;;;1=TEST;;;;;;;Undefined;491;3428;;01.04;1;7;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;10XL600KB_ON_08;;FSC;1000;A_1000;ESD MOS ACT AREA H-1001A;No;ЛОЖЬ;ЛОЖЬ;;31;;;;;;;0;;;;2897;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_101_1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20XL990BB_ON_08;;FSC;A_2000;;ESD MOS ACT AREA 2000-2;No;ЛОЖЬ;ЛОЖЬ;;53;;;;;;;0;;;;819;ЛОЖЬ;0;None;;;;;;1=LAMP ON;1=LAMP ON;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;View only;;;;;;;;;;;;;Input;ESD_001_1;ESD_001_8;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;51HS903B;;PNL;5100;A_5100;MOS RELEASE AREA 5140S;Yes;ЛОЖЬ;ЛОЖЬ;;107;;;;;;;;;;;155;ЛОЖЬ;0;None;;;;;;0=RELEASE;;;;;;;Undefined;491;3428;;01.04;3;4;1;Hold;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20XL278_ON;;FSC;2000;A_2000;ED FROM V-2001;No;ЛОЖЬ;ЛОЖЬ;;262;;;;;;;0;;;;2164;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_001_7;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;51_252_2;;;;;20HS846B_2;;ЛОЖЬ;ЛОЖЬ;;252;;;;;;;0;;;;1060;ЛОЖЬ;0;;;;;;;1=TEST;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41HS265C1;;PNL;4100;A_4100;MOS ENABLE AREA C-4103;Yes;ЛОЖЬ;ЛОЖЬ;;87;;;;;;;;;;;122;ЛОЖЬ;0;None;;;;;;1=ENABLE;;;;;;;Undefined;491;3428;;01.03;15;3;1;Hold;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41XL709_ON;;FSC;4100;A_4100;OOS FOR 41TSLL714;No;ЛОЖЬ;ЛОЖЬ;;280;;;;;;;0;;;;1850;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_411_1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;21_256_7;;;;;02-01 - ESD001_2;;ЛОЖЬ;ЛОЖЬ;;256;;;;;;;0;;;;739;ЛОЖЬ;0;;;;;;;Blink on Failure;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;24_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;24;;;;;;;0;;;;57;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;51XL054;;PNL;5100;A_5100;GROUP SHUTDOWN;Yes;ЛОЖЬ;ЛОЖЬ;;290;;;;;;;0;;;;352;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.07;13;9;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20HS990P_EN;;FSC;2000;A_2000;ESD MOS EN AREA H-2005A;No;ЛОЖЬ;ЛОЖЬ;;77;;;;;;;0;;;;718;ЛОЖЬ;0;None;;;;;;1=ENABLED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;ESD_001_1;ESD_001_2;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20XL589B_ON;;FSC;2000;;C-2003A/B/S EMERG. SD;No;ЛОЖЬ;ЛОЖЬ;;236;;;;;;;0;;;;2253;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_001_3;29;;;;
DO;20XL405;;PNL;2000;A_2000;CLOSE VALVE 20XV405;Yes;ЛОЖЬ;ЛОЖЬ;;228;;;;;;;0;;;;175;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.06;5;8;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20XL280B_ON;;FSC;2000;H-2005B;EMERGENCY SHT.VLV. TO CLOSE;No;ЛОЖЬ;ЛОЖЬ;;240;;;;;;;0;;;;2259;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_001_3;35;;;;
DI;10XL153B_ON;;FSC;1000;A_1000;10XV153;No;ЛОЖЬ;ЛОЖЬ;;202;;;;;;;0;;;;1558;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;Input;ESD_001_1;ESD_101_2;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;10HS602_REL;;FSC;1000;A_1000;ESD MOS REL AREA 1000;No;ЛОЖЬ;ЛОЖЬ;;35;;;;;;;0;;;;105;ЛОЖЬ;0;None;;;;;;1=RELEASED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;ESD_001_1;ESD_101_2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;ESD_001_1;ESD_101_1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;14_01_SNESD_FLT;;FSC;;;;No;ЛОЖЬ;ЛОЖЬ;;22;;;;;;;0;;;;2050;ЛОЖЬ;0;None;;;;;;0=Fault;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;Input;ESD_001_1;ESD_511_1;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;21_202_6;;;;;08-01 - ESD101_1;;ЛОЖЬ;ЛОЖЬ;;202;;;;;;;0;;;;659;ЛОЖЬ;0;;;;;;;Blink on Failure;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41XL002_SNESD;;FSC;;;LAMP ACTIVATION;No;ЛОЖЬ;ЛОЖЬ;;284;;;;;;;0;;;;1869;ЛОЖЬ;0;None;;;;;;1=ON;1=ON;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;View only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_411_1;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XL990HA;;PNL;2000;A_2000;MOS ENABLED AREA CH-20-3;Yes;ЛОЖЬ;ЛОЖЬ;;65;;;;;;;0;;;;248;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.06;15;1;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;43XL901B;;PNL;4300;A_43012;MOS ACT/REL AREA 430-12;Yes;ЛОЖЬ;ЛОЖЬ;;47;;;;;;;0;;;;91;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.05;11;4;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;23_0_2;;;;;19-01 - ESD931_1;;ЛОЖЬ;ЛОЖЬ;;23;;;;;;;0;;;;555;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20HS990M_REL;;FSC;2000;A_2000;ESD MOS REL AREA H-2003;No;ЛОЖЬ;ЛОЖЬ;;73;;;;;;;0;;;;706;ЛОЖЬ;0;None;;;;;;1=RELEASED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;ESD_001_1;ESD_001_6;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41XL265BA;;PNL;4100;A_4100;MOS ENABLED AREA 4100;Yes;ЛОЖЬ;ЛОЖЬ;;91;;;;;;;0;;;;312;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.07;7;1;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41HS265F2;;PNL;4100;A_4100;MOS RELEASE AREA 4200;Yes;ЛОЖЬ;ЛОЖЬ;;97;;;;;;;;;;;113;ЛОЖЬ;0;None;;;;;;0=RELEASE;;;;;;;Undefined;491;3428;;01.03;15;10;1;Hold;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XA116A;;PNL;2000;A_2000;H-2003 EMERG. SD;Yes;ЛОЖЬ;ЛОЖЬ;;224;;;;;;;0;;;;186;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.06;7;3;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
