PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
M;C914_3_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;914;;;;;;;0;;;;2083;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C236_2_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;236;;;;;;;0;;;;2943;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;58HS199D;;COM;;;RESET CB-00-1-TOXIC GAS;No;ЛОЖЬ;ИСТИНА;;1400;;;;;;;0;;;;3556;ИСТИНА;48368;None;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;FGS_001_4;85;;;;
DO;43GT603_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;1510;;;;;;;0;;;;529;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_4;1139;;;;
M;1312_1344_3;;;;;58GT041;;ЛОЖЬ;ЛОЖЬ;;1344;;;;;;;0;;;;4695;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;914_984_2;;;;;20GT624_FL;;ЛОЖЬ;ЛОЖЬ;;984;;;;;;;0;;;;1420;ЛОЖЬ;0;;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1414_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;1414;;;;;;;0;;;;2425;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;110_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;110;;;;;;;;100 ms;10;;64;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XA905F;;FLD;;;NEXT V-2025S;Yes;ИСТИНА;ЛОЖЬ;;132;;;;;;;0;;;;120;ИСТИНА;48003;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;34.06;3;1;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_4;569;;;;
M;218_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;218;;;;;;;0;;;;4240;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
