PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
M;C450_4_C;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;450;;;;;;;0;;;;4026;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;296_3;;;5100;;;;ЛОЖЬ;ЛОЖЬ;;296;;;;;;;0;;;;1443;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;51TI983A;;FLD;5100;A_5100;LINE BEARING;Yes;ИСТИНА;ЛОЖЬ;;370;ИСТИНА;Float;4-20mA;0;150;°C;;;;;44;ЛОЖЬ;27313;;None;None;None;None;;;;-37.5;-37.5;;;;-XXXXX.X;3.76;21;;14.06;1;12;1;Top scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10146;;;;;;;;
M;812_220_2;;;5100;;51PT885A;;ЛОЖЬ;ЛОЖЬ;;220;;;;;;;0;;;;1827;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C582_3_F;;;5200;5200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;582;;;;;;;0;;;;3889;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C808_3_F;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;808;;;;;;;0;;;;3622;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;00XS511EMC03;;MAR;5100;S_B51_1;IB511 COMM ALARM EMC03;Yes;ИСТИНА;ЛОЖЬ;;18;;;;;;;;;;;71;ИСТИНА;26847;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;14.03;11;16;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;1240;;;;;;;;
M;C816_6_E;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;816;;;;;;;0;;;;3594;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C366_3_E;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;366;;;;;;;0;;;;4152;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C806_1_E;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;806;;;;;;;0;;;;1903;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C336_1_C;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;336;;;;;;;0;;;;2768;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C552_3_E;;;5200;5200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;552;;;;;;;0;;;;3932;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C348_1_G;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;348;;;;;;;0;;;;2754;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;51TI984A2;;FLD;5100;;LINE BEARING;Yes;ИСТИНА;ЛОЖЬ;;380;ИСТИНА;Float;4-20mA;0;150;°C;;;;;1172;ЛОЖЬ;26782;;None;None;None;None;;;;;;;;;-XXXXX.X;3.76;21;;14.07;17;5;1;Top scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10437;;;;;;;;
M;756_768_8;;;5100;;CAPACITY 100%;;ЛОЖЬ;ЛОЖЬ;;768;;;;;;;0;;;;2887;ЛОЖЬ;0;;;;;;;1=ACTIVE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;444_190_2;;;5100;;51TT996A;;ЛОЖЬ;ЛОЖЬ;;190;;;;;;;0;;;;1770;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;51VAHH975_PA;;COM;5100;A_C5140;1oo2 PRE ALARM;No;ЛОЖЬ;ЛОЖЬ;;822;;;;;;;0;;;;1527;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;890;;;;;;;;
M;C528_4_D;;;5200;5200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;528;;;;;;;0;;;;3978;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;51TI983A_MOC;;COM;5100;A_5100;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;370;;;;;;;0;;;;366;ИСТИНА;26848;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;734;;;;;;;;
DO;51LAHH057;;COM;5100;A_5100;SETTLED WATER IN V-5140;No;ЛОЖЬ;ЛОЖЬ;;332;;;;;;;0;;;;263;ИСТИНА;26849;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;493;;;;;;;;
AI;51TI926;;FLD;5100;A_5100;THRUST BEARING;Yes;ИСТИНА;ЛОЖЬ;;310;ИСТИНА;Float;4-20mA;-30;120;°C;;;;;0;ЛОЖЬ;27311;;None;None;None;None;;;;-67.5;-67.5;;;;-XXXXX.X;3.76;21;;14.06;1;1;1;Top scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10137;;;;;;;;
DO;51TAHH926;;COM;5100;A_5100;THRUST BEARING;No;ЛОЖЬ;ЛОЖЬ;;310;;;;;;;0;;;;185;ИСТИНА;27156;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;831;;;;;;;;
T;568_2;;;5200;;;;ЛОЖЬ;ЛОЖЬ;;568;;;;;;;;100 ms;5;;2412;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;51TI926_HH;;COM;5100;A_5100;HH TRIP SETPOINT (°C);No;ЛОЖЬ;ЛОЖЬ;;310;;Float;;;;;0;;;;508;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10334;;;;;;;;
DI;51HS963_B2_OUT_P;;COM;5100;A_5100;CAP CTRL BIT 2;No;ЛОЖЬ;ИСТИНА;;756;;;;;;;0;;;;3042;ИСТИНА;27250;None;;;;;;1=TRUE;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;Input;CC_CCB_1;ESD_511_1;3;Output;EPKS_CCB;ESD_511_1;2006;;;;;;;;
M;C312_3_F;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;312;;;;;;;0;;;;4249;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
