PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9
M;494_1108_5;;;4100;;41XY045_I;;ЛОЖЬ;ЛОЖЬ;;1108;;;;;;;0;;;;3575;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C572_1_C;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;572;;;;;;;0;;;;4149;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1002_1_J;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1002;;;;;;;0;;;;4120;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;2432_D;;;;;SIGNAL 2;;ЛОЖЬ;ИСТИНА;;2432;;Float;;;;;0;;;;442;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C384_4_D;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;384;;;;;;;0;;;;3125;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41HA068F;;COM;4100;A_4100;C-4103 EMERGENCY SD;No;ЛОЖЬ;ЛОЖЬ;;764;;;;;;;0;;;;1213;ИСТИНА;21382;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;600;;;;;;;;;;;;
M;528_564_5;;;4100;H-4101;H4101B FUEL GAS VALVES;;ЛОЖЬ;ЛОЖЬ;;564;;;;;;;0;;;;88;ЛОЖЬ;0;;;;;;;1=OPEN;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C91_2;;;4100;4100;Compiler marker (352, 90);;ЛОЖЬ;ЛОЖЬ;;91;;;;;;;0;;;;2680;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C248_1_C;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;248;;;;;;;0;;;;3623;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;159_162_1;;;4100;;MOS_LAMP_H_4100B_3;;ЛОЖЬ;ЛОЖЬ;;162;;;;;;;0;;;;5850;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41BL705;;LCP;4100;A_4100;FLAME  ROW3 LEFT H4101A;Yes;ЛОЖЬ;ЛОЖЬ;;552;;;;;;;0;;;;268;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;11.08;7;5;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1580;;;;;;;;;;;;
DO;41XS797_MOC;;COM;4100;A_C4103;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;288;;;;;;;0;;;;3691;ИСТИНА;20862;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1280;;;;;;;;;;;;
DO;40HS200B1;;COM;411;P-4103/S;PV SOURCE FOR BUTTON;No;ЛОЖЬ;ЛОЖЬ;;694;;;;;;;0;;;;5003;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1834;;;;;;;;;;;;
M;430_4;;;4100;H-4101;;;ЛОЖЬ;ЛОЖЬ;;430;;;;;;;0;;;;5285;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C994_1_L;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;994;;;;;;;0;;;;4303;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1324_3_G;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1324;;;;;;;0;;;;6402;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;363_24;;;4100;H-4101;;;ЛОЖЬ;ЛОЖЬ;;363;;;;;;;0;;;;6000;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;923_2;;;4100;H-4101A;;;ЛОЖЬ;ЛОЖЬ;;923;;;;;;;0;;;;688;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
