PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9
M;372_450_1;;;4100;;41TAHH765B_I;;ЛОЖЬ;ЛОЖЬ;;450;;;;;;;0;;;;699;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;724_980_1;;;4100;P-4104S;41HS725_RST;;ЛОЖЬ;ЛОЖЬ;;980;;;;;;;0;;;;2342;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1324_4_F;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1324;;;;;;;0;;;;6404;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C521_2_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;521;;;;;;;0;;;;6640;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;325_486_6;;;4100;H-4101;41XZSC_045;;ЛОЖЬ;ЛОЖЬ;;486;;;;;;;0;;;;805;ЛОЖЬ;0;;;;;;;1=CLOSE;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C406_2_F;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;406;;;;;;;0;;;;5903;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;41TI865B_HH;;COM;4100;A_C4103;HH TRIP SETPOINT (°C);No;ЛОЖЬ;ЛОЖЬ;;238;;Float;;;;;0;;;;498;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;10234;;;;;;;;;;;;
M;992_6;;;4100;C-4103;;;ЛОЖЬ;ЛОЖЬ;;992;;;;;;;0;;;;2933;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41ZSLL701;;FLD;4100;A_C4104;C-4104 LIMIT SWITCH;Yes;ИСТИНА;ЛОЖЬ;;614;;;;;;;;;;;160;ИСТИНА;20804;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;11.04;5;9;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1412;;;;;;;;;;;;
M;C348_2_F;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;348;;;;;;;0;;;;5779;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;536_1112_4;;;4100;;41XY145_I;;ЛОЖЬ;ЛОЖЬ;;1112;;;;;;;0;;;;3587;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41BI710_MOC;;COM;4100;H-4101;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;420;;;;;;;0;;;;5075;ИСТИНА;20807;None;;;;;;1=CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1918;;;;;;;;;;;;
M;760_684_2;;;4100;;41SIS003_I;;ЛОЖЬ;ЛОЖЬ;;684;;;;;;;0;;;;2843;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41PALL717_CA;;COM;4100;H-4101;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;382;;;;;;;0;;;;2191;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1956;;;;;;;;;;;;
M;290_954_1;;;4100;;41TSLL 994A;;ЛОЖЬ;ЛОЖЬ;;954;;;;;;;0;;;;3658;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C748_5_G;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;748;;;;;;;0;;;;6965;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C934_1_I;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;934;;;;;;;0;;;;1668;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;500_6;;;4100;H-4101AB;;;ЛОЖЬ;ЛОЖЬ;;500;;;;;;;0;;;;6475;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41TI710ABC_MOR;;COM;4100;H-4101;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;363;;;;;;;0;;;;4691;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;;;;;;;;Freeze;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_411_1;140;;;;;;;;;;;;
DI;41HS002A2;;FLD;;;PROC EMERGENCY STOP BUTTON H4101A LOCAL CONT2 PUSHED;Yes;ИСТИНА;ЛОЖЬ;;582;;;;;;;;;;;382;ИСТИНА;21006;None;;;;;;0=TRIP;0=TRIP;;;;;;Undefined;;;;11.12;3;7;1;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;View only;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;2255;;;;;;;;;;;;
DO;41TAHH179_FU;;COM;4100;A_4100;H-4101B;No;ЛОЖЬ;ЛОЖЬ;;938;;;;;;;0;;;;4906;ИСТИНА;20814;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1826;;;;;;;;;;;;
T;1322_4;;;4100;H-4101A;;;ЛОЖЬ;ЛОЖЬ;;1322;;;;;;;;100 ms;5;;1892;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41PAHH070_CA;;COM;4100;H-4101;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;381;;;;;;;0;;;;433;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1945;;;;;;;;;;;;
DO;41PAHH059A_P;;COM;4100;;C-4103 DISCHARGE;No;ЛОЖЬ;ЛОЖЬ;;744;;;;;;;0;;;;2449;ЛОЖЬ;0;None;;;;;;1=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;CC_CCB_1;ESD_411_1;59;;;;
M;C1110_1_I;;;4100;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1110;;;;;;;0;;;;3827;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C925_1_L;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;925;;;;;;;0;;;;2709;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;1330_1334_3;;;4100;H-4101A;41PI031B;;ЛОЖЬ;ЛОЖЬ;;1334;;Float;;;;;0;;;;1806;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;442_934_1;;;4100;;41FALL126_I;;ЛОЖЬ;ЛОЖЬ;;934;;;;;;;0;;;;2059;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;440_485_9;;;;;41HS017B RES;;ЛОЖЬ;ЛОЖЬ;;485;;;;;;;0;;;;5202;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41PI936A_TF;;COM;4100;CB-4103;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;281;;;;;;;0;;;;6265;ИСТИНА;21602;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;2194;;;;;;;;;;;;
DO;41BI704_TF;;COM;4100;A_4100;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;414;;;;;;;0;;;;1050;ИСТИНА;20806;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;498;;;;;;;;;;;;
R;C2495_2;;;4100;;Compiler register (336, 36);;ЛОЖЬ;ИСТИНА;;2495;;Float;;;;;0;;;;994;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;380_381_8;;;4100;H-4101;41PAHH087 R ALARM2;;ЛОЖЬ;ЛОЖЬ;;381;;;;;;;0;;;;1349;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41BI736_MOR;;COM;4100;H-4101;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;436;;;;;;;0;;;;4677;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;;;;;;;;Freeze;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_411_1;229;;;;;;;;;;;;
M;C238_3_F;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;238;;;;;;;0;;;;5718;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41TAHH765C_CA;;COM;4100;A_4100;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;372;;;;;;;0;;;;704;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;995;;;;;;;;;;;;
M;325_151_1;;;4100;;41XZSC_045;;ЛОЖЬ;ЛОЖЬ;;151;;;;;;;0;;;;796;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41TI860B_MOR;;COM;4100;A_C4103;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;273;;;;;;;0;;;;4573;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_411_1;144;;;;;;;;;;;;
T;1120_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;1120;;;;;;;;1 s;0;;240;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with variable timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C586_3_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;586;;;;;;;0;;;;6572;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C927_1_M;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;927;;;;;;;0;;;;2704;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41PI709_TF;;COM;4100;A_4100;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;332;;;;;;;0;;;;65;ИСТИНА;22129;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1681;;;;;;;;;;;;
DO;41TAHH862B_CA;;COM;4100;A_C4103;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;275;;;;;;;0;;;;239;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1038;;;;;;;;;;;;
DO;41FALL214_30sDel;;COM;4100;A_P41_1;P-4103 REFLUX TO T-4101;No;ЛОЖЬ;ЛОЖЬ;;692;;;;;;;0;;;;610;ИСТИНА;22011;None;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1764;;;;;;;;;;;;
M;1348_1;;;4101;H-4101A;;;ЛОЖЬ;ЛОЖЬ;;1348;;;;;;;0;;;;6221;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;41TI765C;;FLD;4100;A_4100;TEMP GAS H4101B RAD SEC;Yes;ЛОЖЬ;ЛОЖЬ;;372;ИСТИНА;Float;4-20mA;0;1000;°C;;;;;424;ЛОЖЬ;0;;None;None;None;None;;;;-250;-250;;;;-XXXXX.X;3.76;21;;11.05;9;5;1;Top scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;10178;;;;;;;;;;;;
M;414_149_2;;;4100;H-4101;41BI703;;ЛОЖЬ;ЛОЖЬ;;149;;;;;;;0;;;;4875;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41HY765B;;MCC;4100;A_C4103;BAR GEAR CB4103PM2 STOP;Yes;ИСТИНА;ЛОЖЬ;;294;;;;;;;0;;;;126;ИСТИНА;20812;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;11.09;9;7;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1650;;;;;;;;;;;;
M;476_925_1;;;4100;H-4101AB;41-I-012SD_I;;ЛОЖЬ;ЛОЖЬ;;925;;;;;;;0;;;;1975;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41PI964_MOC;;COM;4100;A_C4103;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;251;;;;;;;0;;;;513;ИСТИНА;20831;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;923;;;;;;;;;;;;
M;748_751_2;;;4100;C-4104;41PAHH237B_I;;ЛОЖЬ;ЛОЖЬ;;751;;;;;;;0;;;;2627;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41HA068F_PA;;COM;4100;A_4100;1oo2 PRE ALARM;No;ЛОЖЬ;ЛОЖЬ;;764;;;;;;;0;;;;1212;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;601;;;;;;;;;;;;
DO;41XS979;;COM;4100;A_C4103;DEPRESS.STDWN & TURB.STDWN;No;ИСТИНА;ЛОЖЬ;;260;;;;;;;0;;;;1586;ИСТИНА;20815;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1283;;;;;;;;;;;;
M;758_2;;;4100;;;;ЛОЖЬ;ЛОЖЬ;;758;;;;;;;0;;;;2406;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1118_1_A;;;;;Compiler marker;;ЛОЖЬ;ЛОЖЬ;;1118;;;;;;;0;;;;6596;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C990_1_M;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;990;;;;;;;0;;;;4317;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2457_I;;;4100;;X OUT OF Y;;ЛОЖЬ;ЛОЖЬ;;2457;;;;;;;0;;;;141;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;1320_1324_6;;;4100;H-4101A;41PI013B;;ЛОЖЬ;ЛОЖЬ;;1324;;Float;;;;;0;;;;1766;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41HS031B1;;FLD;4101;H-4101A;TEST BUTTON PPK 41PSV031B. CONTACT 1;No;ЛОЖЬ;ЛОЖЬ;;1338;;;;;;;;;;;284;ЛОЖЬ;0;None;;;;;;1=PRESS;1=PRESS;;;;;;Undefined;;;;11.10;5;5;1;Low;;Digital switch with Loop monitoring;ИСТИНА;ЛОЖЬ;ИСТИНА;;1;ЛОЖЬ;View only;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;2072;;;;;;;;;;;;
DO;41TAHH864B;;COM;4100;A_C4103;D.E. BEARING COMPR TEMP;No;ЛОЖЬ;ЛОЖЬ;;240;;;;;;;0;;;;439;ИСТИНА;20816;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1043;;;;;;;;;;;;
M;273_298_2;;;4100;CB-4103;41TAHH860B_I;;ЛОЖЬ;ЛОЖЬ;;298;;;;;;;0;;;;2397;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;918_923_2;;;4100;H-4101A;H4101A RESET FUP;;ЛОЖЬ;ЛОЖЬ;;923;;;;;;;0;;;;2600;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;305_306_1;;;2000;CB-2001;41XZSO940 STEAM INLET VALVE;;ЛОЖЬ;ЛОЖЬ;;306;;;;;;;0;;;;1907;ЛОЖЬ;0;;;;;;;1=OPEN;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;284_3;;;4100;;;;ЛОЖЬ;ИСТИНА;;284;;;;;;;;100 ms;5;;88;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41HA156A;;COM;4100;A_4100;H4101B REFORMER EMERG.SD;No;ЛОЖЬ;ЛОЖЬ;;510;;;;;;;0;;;;1431;ИСТИНА;20817;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;605;;;;;;;;;;;;
M;C994_1_M;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;994;;;;;;;0;;;;4305;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1117_1_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1117;;;;;;;0;;;;6604;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;954_1;;;4100;;;;ЛОЖЬ;ЛОЖЬ;;954;;;;;;;0;;;;2122;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;456_486_2;;;4100;H-4101;41BSLL715 FLAME SCANNERS/COIL RUPTURE DETECTION;;ЛОЖЬ;ЛОЖЬ;;486;;;;;;;0;;;;4346;ЛОЖЬ;0;;;;;;;1=ALL/START OVER;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;937_938_1;;;4100;H-4101B;FIRST OUT SEQUENCE;;ЛОЖЬ;ЛОЖЬ;;938;;;;;;;0;;;;4992;ЛОЖЬ;0;;;;;;;1=FU ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;694_4;;;4100;P-4103/S;;;ЛОЖЬ;ЛОЖЬ;;694;;;;;;;;100 ms;30;;740;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Pulse with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C748_5_F;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;748;;;;;;;0;;;;6964;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41VAH701XY;;COM;4100;A_4100;1oo2 PRE ALARM;No;ЛОЖЬ;ЛОЖЬ;;704;;;;;;;0;;;;350;ИСТИНА;20818;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1190;;;;;;;;;;;;
DO;41HA721A_FU;;COM;4100;H-4101B;CB-4101CX Trip button on LP;No;ЛОЖЬ;ЛОЖЬ;;932;;;;;;;0;;;;6723;ИСТИНА;21705;None;;;;;;1=FIRST;1=FIRST;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;425;;;;;;;;;;;;
