FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
425;FGS_002_1_FLD0425;872-21 Ready to Reset;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.02.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
23;FGS_002_1_FLD0023;Common Utility Faults-Sh2;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
435;FGS_002_1_FLD0435;872-21 MCP, FD act.;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.02.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
806;FGS_002_1_FLD0806;IB-55-1(PH-60-1) TGD act.;;;ЛОЖЬ;;Program block;FGS_002_1;;;30.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
350;FGS_002_1_FLD0350;740-20 FACP Alarms;;;ЛОЖЬ;;Program block;FGS_002_1;;;29.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
545;FGS_002_1_FLD0545;IB-91-2(901-10) MCP,FD act.Sh2;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2450;FGS_002_1_FLD2450;Lamp Control GDAP-U;;;ЛОЖЬ;;Function block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
50;FGS_002_1_FLD0050;Reset Slave Systems-Sh1;;;ЛОЖЬ;;Program block;FGS_002_1;;;19.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
509;FGS_002_1_FLD0509;IB-91-1(901-09) MOS activated;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
10;FGS_002_1_FLD0010;Legend of Symbols (9);;;ЛОЖЬ;;Comment block;;;;02.06.2010;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2444;FGS_002_1_FLD2444;Lamp Control GDAP-U MO;;;ЛОЖЬ;;Function block;FGS_002_1;;;18.02.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
215;FGS_002_1_FLD0215;880-14 PH Fl.Gas det. 88GT004;;;ЛОЖЬ;;Program block;FGS_002_1;;;29.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
21;FGS_002_1_FLD0021;Common System Faults-Sh2;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
546;FGS_002_1_FLD0546;IB-91-2(901-10) TGD act.-Sh1;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
260;FGS_002_1_FLD0260;880-14 Ready to Reset;;;ЛОЖЬ;;Program block;FGS_002_1;;;02.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
521;FGS_002_1_FLD0521;IB-91-2(901-05/1) GAS MOS, ACK;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
265;FGS_002_1_FLD0265;880-14 MOS Lamp Control;;;ЛОЖЬ;;Program block;FGS_002_1;;;02.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
746;FGS_002_1_FLD0746;IB-55-1(6050-1) TGD act.;;;ЛОЖЬ;;Program block;FGS_002_1;;;30.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
544;FGS_002_1_FLD0544;IB-91-2(901-10) MCP, FD act.Sh1;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.02.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
101;FGS_002_1_FLD0101;880-14 GAS MOS, ACK;;;ЛОЖЬ;;Program block;FGS_002_1;;;29.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2432;FGS_002_1_FLD2432;LOW/HIGH TRIP WITH MO+ BAD PV;;;ЛОЖЬ;;Function block;FGS_002_1;;;12.07.2016;;;Sysdtlsmflda;Sysdtlsmflda_fp;
528;FGS_002_1_FLD0528;IB-91-2(901-05) MOS activated;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
360;FGS_002_1_FLD0360;880-14, 730-30 FACP Alarms;;;ЛОЖЬ;;Program block;FGS_002_1;;;29.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
210;FGS_002_1_FLD0210;880-14 PH Fl.Gas det. 88GT001;;;ЛОЖЬ;;Program block;FGS_002_1;;;29.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
501;FGS_002_1_FLD0501;IB-91-1(901-09) GAS MOS, ACK;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
560;FGS_002_1_FLD0560;IB-91-2(901-10) Valves-Sh6;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2404;FGS_002_1_FLD2404;Fire-Manual Call Point;;;ЛОЖЬ;;Function block;FGS_002_1;;;27.02.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
462;FGS_002_1_FLD0462;730-30 Howlers & Beacons Sh2;;;ЛОЖЬ;;Program block;FGS_002_1;;;12.05.2016;;;Sysdtlsmflda;Sysdtlsmflda_fp;
90;FGS_002_1_FLD0090;GDAP-U Comm ACK, Test But.-Sh1;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
9;FGS_002_1_FLD0009;Legend of Symbols (8);;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1;FGS_002_1_FLD0001;Cover Page;;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
22;FGS_002_1_FLD0022;Common Utility Faults-Sh1;;;ЛОЖЬ;;Program block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
456;FGS_002_1_FLD0456;730-30 Common Alarm O2.GD;;;ЛОЖЬ;;Program block;FGS_002_1;;;13.05.2016;;;Sysdtlsmflda;Sysdtlsmflda_fp;
519;FGS_002_1_FLD0519;IB-91-2(901-05/1) FIRE MOS,ACK;;;ЛОЖЬ;;Program block;FGS_002_1;;;27.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
454;FGS_002_1_FLD0454;730-30 O2 Gas detector 73AT004C;;;ЛОЖЬ;;Program block;FGS_002_1;;;12.05.2016;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2446;FGS_002_1_FLD2446;Lamp Control FDAP-F;;;ЛОЖЬ;;Function block;FGS_002_1;;;28.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
