PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5
M;C276_7_E;;;901-09;901-09;Function block marker;;ЛОЖЬ;ЛОЖЬ;;276;;;;;;;0;;;;880;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
BI;17-Hour;;SYS;;;Hour;No;ЛОЖЬ;;;19;;Byte;;;;;;;;;5;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91XY250;;MCC;901-09;A_90109;AUTO CLOSING 91 XV 250;Yes;ИСТИНА;ЛОЖЬ;;340;;;;;;;0;;;;72;ЛОЖЬ;31881;None;;;;;;1=CLOSE;;;;;;;Undefined;491;3428;;17.04;7;1;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91XY252_P;;COM;901-09;;AUTO CLOSE 91 XV 252;No;ИСТИНА;ЛОЖЬ;;360;;;;;;;0;;;;432;ЛОЖЬ;31670;None;;;;;;1=CLOSE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;CC_UCB_1;ESD_911_1;68;;;;
DO;91XY222A_C;;COM;901-09;;AUTO OPENING 91 XV 222;No;ИСТИНА;ЛОЖЬ;;440;;;;;;;0;;;;321;ИСТИНА;31614;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_911_1;589
M;C2440_1;;;;;Compiler marker (312, 84);;ЛОЖЬ;ЛОЖЬ;;2440;;;;;;;0;;;;1693;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91LAHH221_P;;COM;901-09;A_90109;25% AMM-H2O TO V9010903?;No;ЛОЖЬ;ЛОЖЬ;;550;;;;;;;0;;;;204;ЛОЖЬ;0;None;;;;;;1=ACTIVE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;CC_UCB_1;ESD_911_1;39;;;;
T;259_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;259;;;;;;;;100 ms;10;;468;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Pulse retriggerable with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;91XY221_P;;COM;901-09;;AUTO CLOSE 91 XV 221;No;ИСТИНА;ЛОЖЬ;;430;;;;;;;0;;;;423;ЛОЖЬ;31669;None;;;;;;1=CLOSE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;CC_UCB_1;ESD_911_1;59;;;;
DO;91LALL228_CA;;COM;;;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;281;;;;;;;0;;;;1342;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_911_1;477
M;2470_I;;;;;Out 2;;ЛОЖЬ;ЛОЖЬ;;2470;;;;;;;0;;;;160;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91XY220A;;MCC;901-09;A_P90109;AUTO ST P9010901SX;Yes;ИСТИНА;ЛОЖЬ;;480;;;;;;;0;;;;136;ЛОЖЬ;31668;None;;;;;;1=START;;;;;;;Undefined;491;3428;;17.05;3;1;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91TAHH999_CA;;COM;901-09;A_90109;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;252;;;;;;;0;;;;1321;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_911_1;533
M;2499_F;;;;;TRIP 6;;ЛОЖЬ;ЛОЖЬ;;2499;;;;;;;0;;;;180;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;240_370_3;;;901-09;;91TAHH969_I;;ЛОЖЬ;ЛОЖЬ;;370;;;;;;;0;;;;1508;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91TAHH972;;COM;901-09;A_P90109;HERMET SHELL  P9010902SX;No;ЛОЖЬ;ЛОЖЬ;;242;;;;;;;0;;;;1300;ИСТИНА;31820;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_911_1;522
M;2432_G;;;;;0=TRIP INITIATOR;;ЛОЖЬ;ЛОЖЬ;;2432;;;;;;;0;;;;43;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;91LI223_MOC;;COM;901-09;;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;274;;;;;;;0;;;;1262;ИСТИНА;31798;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_911_1;500
AI;91LI210;;FLD;901-09;A_90109;УРОВЕНЬ. V-9010902A;Yes;ИСТИНА;ЛОЖЬ;;261;ИСТИНА;Float;4-20mA;0;100;%;;;;;172;ЛОЖЬ;31691;;None;None;None;None;;;;;;;;;-XXXXX.X;3.64;22;;17.03;13;10;1;Bottom scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_911_1;10152
DO;17-FaultReset;;SYS;;;FAULT RESET;No;ЛОЖЬ;;;17;;;;;;;;;;;36;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;IB911_ESD1_D1;;COM;862-34;;FORCE ENABLE;No;ЛОЖЬ;ЛОЖЬ;;17;;;;;;;0;;;;135;ИСТИНА;31687;None;;;;;;0=ENABLE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_911_1;442
T;287_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;287;;;;;;;;100 ms;5;;740;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;260_3;;;901-09;;;;ЛОЖЬ;ЛОЖЬ;;260;;;;;;;0;;;;670;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;C257_2_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;257;;;;;;;0;;;;609;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;278_340_1;;;901-09;;91LAHHH226_I;;ЛОЖЬ;ЛОЖЬ;;340;;;;;;;0;;;;744;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;281_280_2;;;901-09;;91LI227_F;;ЛОЖЬ;ЛОЖЬ;;280;;;;;;;0;;;;779;ЛОЖЬ;0;;;;;;;0=FAULT;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;246_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;246;;;;;;;0;;;;367;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C273_1_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;273;;;;;;;0;;;;904;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;C264_7_E;;;901-09;901-09;Function block marker;;ЛОЖЬ;ЛОЖЬ;;264;;;;;;;0;;;;963;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;91HS851A;;COM;901-09;A_90109;ESD MOS EN AREA 901-09;No;ЛОЖЬ;ЛОЖЬ;;169;;;;;;;0;;;;196;ИСТИНА;31853;None;;;;;;1=ENABLED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_911_1;623
T;270_1;;;901-09;;;;ЛОЖЬ;ЛОЖЬ;;270;;;;;;;;100 ms;10;;92;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Pulse retriggerable with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;272_273_1;;;;;91LT221;;ЛОЖЬ;ЛОЖЬ;;273;;;;;;;0;;;;701;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;430_460_2;;;901-09;;91LALL203_5_7_I;;ЛОЖЬ;ЛОЖЬ;;460;;;;;;;0;;;;327;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C269_2_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;269;;;;;;;0;;;;930;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;C272_7_E;;;901-09;901-09;Function block marker;;ЛОЖЬ;ЛОЖЬ;;272;;;;;;;0;;;;914;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;91LAHHH211_P;;COM;901-09;A_90109;20% NAOH TO V9010902A;No;ЛОЖЬ;ЛОЖЬ;;630;;;;;;;0;;;;337;ЛОЖЬ;0;None;;;;;;1=ACTIVE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;CC_UCB_1;ESD_911_1;51;;;;
M;C240_2_B;;;901-09;901-09;Function block marker;;ЛОЖЬ;ЛОЖЬ;;240;;;;;;;0;;;;1852;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
R;264_266_3;;;901-09;;91LI213;;ЛОЖЬ;ЛОЖЬ;;266;;Float;;;;;0;;;;288;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;91XY263_P;;COM;901-09;;AUTO CLOSE 91 XV 263;No;ИСТИНА;ЛОЖЬ;;680;;;;;;;0;;;;434;ЛОЖЬ;31654;None;;;;;;1=CLOSE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;CC_UCB_1;ESD_911_1;70;;;;
M;C257_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;257;;;;;;;0;;;;610;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;C258_7_F;;;901-09;901-09;Function block marker;;ЛОЖЬ;ЛОЖЬ;;258;;;;;;;0;;;;649;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;91LAHH228_CA;;COM;901-09;;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;280;;;;;;;0;;;;1269;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_911_1;441
M;410_420_1;;;901-09;;91LALL211_213_215_I;;ЛОЖЬ;ЛОЖЬ;;420;;;;;;;0;;;;1581;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91LI202_TF;;COM;901-09;;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;254;;;;;;;0;;;;582;ИСТИНА;31606;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_911_1;664
DO;91LI231_TF;;COM;901-09;;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;284;;;;;;;0;;;;579;ИСТИНА;31605;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_911_1;661
DI;91TI972_MOR;;COM;901-09;A_90109;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;242;;;;;;;0;;;;1874;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Input;EPKS_UCB;ESD_911_1;19
