PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5
BO;93LI212_LL;;COM;930-09;A_93009;LL TRIP SETPOINT (%);No;ЛОЖЬ;ЛОЖЬ;;244;;Float;;;;;0;;;;320;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_931_1;10103;;;;;;;;
DO;93LALL267_P;;COM;930-09;A_93009;ACIDIC H2O FL9300901 SX;No;ЛОЖЬ;ЛОЖЬ;;300;;;;;;;0;;;;206;ЛОЖЬ;0;None;;;;;;0=OPEN;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;CC_CCB_1;ESD_931_1;73;;;;;;;;;;;;;;;;
T;318_3;;;862-34;;;;ЛОЖЬ;ЛОЖЬ;;318;;;;;;;;100 ms;5;;636;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;288_1;;;930-09;;;;ЛОЖЬ;ЛОЖЬ;;288;;;;;;;0;;;;1428;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C296_2_G;;;930-09;930-09;Function block marker;;ЛОЖЬ;ЛОЖЬ;;296;;;;;;;0;;;;714;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DI;93LI201_MOR;;COM;930-09;A_93009;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;240;;;;;;;0;;;;1780;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;Input;EPKS_CCB;ESD_931_1;5;;;;;;;;
DO;93LALL200_CA;;COM;862-34;;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;240;;;;;;;0;;;;74;ЛОЖЬ;0;None;;;;;;0=TRIP;0=TRIP;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;Output;EPKS_CCB;ESD_931_1;702;;;;;;;;
DO;93LAHH263_CA;;COM;930-09;A_93009;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;262;;;;;;;0;;;;1295;ЛОЖЬ;35333;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_931_1;440;;;;;;;;
M;256_1;;;930-09;;;;ЛОЖЬ;ЛОЖЬ;;256;;;;;;;0;;;;1388;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;440_11;;;862-34;;;;ЛОЖЬ;ЛОЖЬ;;440;;;;;;;0;;;;70;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
