PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
DI;41HS601BA2;;F01;;;GR. TRIP AT FIRE HVAC'S OF CH-41-1;Yes;ИСТИНА;ЛОЖЬ;;1572;;;;;;;;;;;340;ЛОЖЬ;54816;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;38.06;9;13;1;Low;;Digital switch without loop monitoring;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;Output;EPKS_CCB;FGS_411_1;589;;;;;;;;;;;;;;;;
DO;41HS601A7_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;1574;;;;;;;0;;;;457;ИСТИНА;55084;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_411_1;1895;;;;;;;;;;;;;;;;
M;1820_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;1820;;;;;;;0;;;;7458;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1912_2_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1912;;;;;;;0;;;;5030;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C152_4_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;152;;;;;;;0;;;;2214;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2128_7;;;;;;;ЛОЖЬ;ЛОЖЬ;;2128;;;;;;;0;;;;3056;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;42GT091C_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;1168;;;;;;;0;;;;4458;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;Input;EPKS_CCB;FGS_411_1;139;;;;;;;;;;;;;;;;
M;1862_1866_3;;;;;42GA093_FL;;ЛОЖЬ;ЛОЖЬ;;1866;;;;;;;0;;;;1035;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;42XA028;;COM;;;TRIP INITIATOR-Fire;No;ЛОЖЬ;ЛОЖЬ;;410;;;;;;;1;;;;392;ИСТИНА;54722;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_411_1;1265;;;;;;;;;;;;;;;;
M;C1034_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1034;;;;;;;0;;;;5957;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
