Тип;Название;K;T;Td;Цель;Задание;Мин;Макс;
Откл;V-3003_L;1.0000;5.000;0.000;V-3003.@Уровень;60.0000;0.000;100.000;
Вых;LV-019/Положение клапана.#Положение клапана;0.000;100.000;
Откл;V-3003_LW;1.0000;5.000;0.000;V-3003.@Уровень_воды;20.0000;0.000;100.000;
Вых;LV-015/Положение клапана.#Положение клапана;0.000;100.000;
Откл;T-3001_L_16;1.0000;5.000;0.000;T-3001/Колонна.#Уровень жидкости на тарелке т.16;1.2000;0.000;2.000;
Вых;Т-3001_ЗКЛ_7873.Коэффициент проходимости;0.000;100.000;
Откл;T-3001_T_3;1.0000;20.000;0.000;T-3001/Колонна.#Температура газа т. 3;170.0000;150.000;180.000;
Вых;FV-031/Положение клапана.#Положение клапана;0.000;100.000;
Откл;V3009_L;-1.0000;15.000;0.000;V-3009.#Уровень жидкости, %;60.0000;0.000;100.000;
Вых;E-3009.Теплоотдача;100.000;300.000;
Рег;T-3001_L_20;1.0000;5.000;0.000;T-3001/Колонна.#Уровень жидкости на тарелке т.20;1.1160;0.000;2.000;
Вых;T-3001/Колонна.т.20-k_L;0.000;10000.000;
