HYDROGEN;0.0000000000000000e+000;-253
NITROGEN;0.0000000000000000e+000;-196
Tb 450;7.4156167066501220e-003;450
Tb 460;2.2789038962679506e-003;460
Tb 470;3.6101963471383471e-003;470
Tb 480;5.6547150376580445e-003;480
Tb 490;8.3505250740416159e-003;490
Tb 500;1.2067901241274319e-002;500
Tb 510;1.7187359794331090e-002;510
Tb 520;2.3404997927838164e-002;520
Tb 530;6.2424530852542973e-002;530
Tb 540;1.2994215692284319e-001;540
Tb 550;1.9954491230156643e-001;550
Tb 560;2.1431070427912077e-001;560
Tb 570;3.1380747961872713e-001;570
