NITROGEN;0.0000000000000000e+000;-196
Tb 180;2.5267826396089526e-002;180
Tb 200;0.0000000000000000e+000;200
Tb 300;0.0000000000000000e+000;300
Tb 310;6.0980158875831296e-002;310
Tb 320;5.8651707337200987e-002;320
Tb 330;5.6364416548264455e-002;330
Tb 340;5.4175567884771923e-002;340
Tb 350;5.2150367088032709e-002;350
Tb 360;5.0271122952148257e-002;360
Tb 370;4.8334621067516702e-002;370
Tb 380;4.6511860203985636e-002;380
Tb 390;4.4845703750765610e-002;390
Tb 400;4.3170364198506936e-002;400
Tb 410;4.1500838221934191e-002;410
Tb 420;3.9955635341406885e-002;420
Tb 430;3.8511931529216219e-002;430
Tb 440;3.7120806584032107e-002;440
Tb 450;3.5727162556933249e-002;450
Tb 460;3.4378344309196715e-002;460
Tb 470;3.3109211194672084e-002;470
Tb 480;3.1877187449018463e-002;480
Tb 490;3.0628614856343925e-002;490
Tb 500;2.9498759954294917e-002;500
Tb 510;2.8330602384918732e-002;510
Tb 520;2.7232503751649303e-002;520
Tb 530;2.6233902001785280e-002;530
Tb 540;2.5170783561483879e-002;540
Tb 550;0.0000000000000000e+000;550
