NITROGEN;0.0000000000000000e+000;-196
HYDROGEN SULFIDE;0.0000000000000000e+000;-60
Tb 350;1.5052201915150399e-002;350
Tb 360;4.0208090669110727e-002;360
Tb 370;5.0223096387043344e-002;370
Tb 380;5.1685307482545968e-002;380
Tb 390;5.2293158559095089e-002;390
Tb 400;6.6812110055681051e-002;400
Tb 410;6.1449294248812625e-002;410
Tb 420;3.3328713439315635e-002;420
Tb 430;3.9571996722636948e-002;430
Tb 440;4.3071115828424343e-002;440
Tb 450;4.3928946762627229e-002;450
Tb 460;4.9910923719111662e-002;460
Tb 470;4.8355070031246360e-002;470
Tb 480;4.5359638130976293e-002;480
Tb 490;5.0655271151424826e-002;490
Tb 500;7.4073979687676705e-002;500
Tb 510;4.5137505285282951e-002;510
Tb 520;4.8182653352642525e-002;520
Tb 530;4.4901438113931720e-002;530
Tb 540;4.7476894608074541e-002;540
Tb 550;4.8322593849189105e-002;550
