FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
546;FGS_101_1_FLD0546;1000 Howlers & Beacons-Sh13;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
420;FGS_101_1_FLD0420;1000 Common Alarm Fl.GD-Sh6;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
450;FGS_101_1_FLD0450;1000 GAS RESET;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
608;FGS_101_1_FLD0608;1000 GAS Alarm to GDAP-Sh5;;;ЛОЖЬ;;Program block;FGS_101_1;;;10.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
396;FGS_101_1_FLD0396;1000 Fl.Gas detector 10GT564;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
352;FGS_101_1_FLD0352;1000 Fl.Gas detector 10GT521;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
518;FGS_101_1_FLD0518;1000 Howlers & Beacons-Sh6;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
178;FGS_101_1_FLD0178;1000 Fire detector 10YT016;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
110;FGS_101_1_FLD0110;1000 MCP 10HS1001;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
500;FGS_101_1_FLD0500;1000 Common Alarm Fl.GD-Sh1;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2403;FGS_101_1_FLD2403;Fire Detector - X3301/X3302;;;ЛОЖЬ;;Function block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
602;FGS_101_1_FLD0602;1000 GAS Alarm to GDAP-Sh2;;;ЛОЖЬ;;Program block;FGS_101_1;;;10.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
4;FGS_101_1_FLD0004;Legend of Symbols (3);;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
720;FGS_101_1_FLD0720;1000 10XV038 Buttons;;;ЛОЖЬ;;Program block;FGS_101_1;;;11.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
372;FGS_101_1_FLD0372;1000 Fl.Gas detector 10GT532;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
410;FGS_101_1_FLD0410;1000 Common Alarm Fl.GD-Sh1;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
132;FGS_101_1_FLD0132;1000 Common Alarm FAC-06;;;ЛОЖЬ;;Program block;FGS_101_1;;;19.06.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
116;FGS_101_1_FLD0116;1000 MCP 10HS1004;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
368;FGS_101_1_FLD0368;1000 Fl.Gas detector 10GT530;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
422;FGS_101_1_FLD0422;1000 Ready to Reset-Sh1;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
522;FGS_101_1_FLD0522;1000 Howlers & Beacons-Sh7;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
810;FGS_101_1_FLD0810;H-1001A/B-Howlers & Beacons;;;ЛОЖЬ;;Program block;FGS_101_1;;;11.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
170;FGS_101_1_FLD0170;1000 Fire detector 10YT012;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
398;FGS_101_1_FLD0398;1000 Fl.Gas detector 10GT565;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
154;FGS_101_1_FLD0154;1000 Fire detector 10YT006;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
166;FGS_101_1_FLD0166;1000 Horns & Beacons FAC-03;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
330;FGS_101_1_FLD0330;1000 Fl.Gas detector 10GT510;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2410;FGS_101_1_FLD2410;Field & Panel Switch/Button;;;ЛОЖЬ;;Function block;FGS_101_1;;;11.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
162;FGS_101_1_FLD0162;1000 Fire detector 10YT010;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
708;FGS_101_1_FLD0708;1000 10XV036 Torque & Ready;;;ЛОЖЬ;;Program block;FGS_101_1;;;11.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
336;FGS_101_1_FLD0336;1000 Fl.Gas detector 10GT513;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
548;FGS_101_1_FLD0548;1000 Common Alarm Fl.GD-Sh12;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
156;FGS_101_1_FLD0156;1000 Fire detector 10YT007;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
248;FGS_101_1_FLD0248;1000 Ready to Reset FAC-03;;;ЛОЖЬ;;Program block;FGS_101_1;;;18.06.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
7;FGS_101_1_FLD0007;Legend of Symbols (6);;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
305;FGS_101_1_FLD0305;1000 GAS MOS ENABLE;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
392;FGS_101_1_FLD0392;1000 Fl.Gas detector 10GT542;;;ЛОЖЬ;;Program block;FGS_101_1;;;06.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
