ID;PROP_ID;COMP_ID;LiquidViscosityA;LiquidViscosityB;LiquidViscosityC;LiquidViscosityD;LiquidViscosityTmin;LiquidViscosityTmax
21188;12019;21191;-12321;-12321;-12321;-12321;-12321;-12321
21189;7837;21192;-12321;-12321;-12321;-12321;-12321;-12321
21190;10935;21193;-12321;-12321;-12321;-12321;-12321;-12321
21191;11914;21194;-12321;-12321;-12321;-12321;-12321;-12321
21192;17391;21195;-12321;-12321;-12321;-12321;-12321;-12321
21193;18261;21196;-12321;-12321;-12321;-12321;-12321;-12321
21194;17390;21197;-12321;-12321;-12321;-12321;-12321;-12321
21195;18258;21198;-12321;-12321;-12321;-12321;-12321;-12321
21196;11100;21199;-12321;-12321;-12321;-12321;-12321;-12321
21197;10893;21200;-12321;-12321;-12321;-12321;-12321;-12321
21198;10969;21201;-12321;-12321;-12321;-12321;-12321;-12321
21199;10894;21202;-12321;-12321;-12321;-12321;-12321;-12321
21200;10891;21203;-12321;-12321;-12321;-12321;-12321;-12321
21201;10895;21204;-12321;-12321;-12321;-12321;-12321;-12321
21202;10896;21205;-12321;-12321;-12321;-12321;-12321;-12321
21203;8814;21206;-12321;-12321;-12321;-12321;-12321;-12321
21204;9376;21207;-12321;-12321;-12321;-12321;-12321;-12321
21205;12526;21208;-12321;-12321;-12321;-12321;-12321;-12321
21206;11947;21209;-11.123222;1703.3483;0;0;293;364.17499
21207;8148;21210;-12321;-12321;-12321;-12321;-12321;-12321
21208;8138;21211;-12321;-12321;-12321;-12321;-12321;-12321
21209;8124;21212;-12321;-12321;-12321;-12321;-12321;-12321
21210;19058;21213;-12321;-12321;-12321;-12321;-12321;-12321
21211;9839;21214;-12321;-12321;-12321;-12321;-12321;-12321
21212;9740;21215;-12321;-12321;-12321;-12321;-12321;-12321
21213;9805;21216;-12321;-12321;-12321;-12321;-12321;-12321
21214;10518;21217;-12321;-12321;-12321;-12321;-12321;-12321
21215;8582;21218;-12321;-12321;-12321;-12321;-12321;-12321
21216;12996;21219;-12321;-12321;-12321;-12321;-12321;-12321
21217;6070;21220;-12321;-12321;-12321;-12321;-12321;-12321
21218;9597;21221;-12321;-12321;-12321;-12321;-12321;-12321
21219;8265;21222;-12321;-12321;-12321;-12321;-12321;-12321
21220;10539;21223;-12321;-12321;-12321;-12321;-12321;-12321
21221;9629;21224;-12321;-12321;-12321;-12321;-12321;-12321
21222;17179;21225;-12321;-12321;-12321;-12321;-12321;-12321
21223;11009;21226;-12321;-12321;-12321;-12321;-12321;-12321
21224;10369;21227;-12321;-12321;-12321;-12321;-12321;-12321
21225;7901;21228;-12321;-12321;-12321;-12321;-12321;-12321
21226;15127;21229;-12321;-12321;-12321;-12321;-12321;-12321
21227;6069;21230;-54.124374;7764.1113;0.09973;-8.0999998E-5;292.79999;475.20001
21228;9810;21231;-12321;-12321;-12321;-12321;-12321;-12321
21229;17412;21232;-12321;-12321;-12321;-12321;-12321;-12321
21230;11487;21233;-12321;-12321;-12321;-12321;-12321;-12321
21231;9074;21234;-12321;-12321;-12321;-12321;-12321;-12321
21232;9870;21235;-12321;-12321;-12321;-12321;-12321;-12321
21233;13727;21236;-12321;-12321;-12321;-12321;-12321;-12321
21234;6660;21237;-12321;-12321;-12321;-12321;-12321;-12321
21235;7513;21238;-12321;-12321;-12321;-12321;-12321;-12321
21236;18620;21239;-162.61707;21361.115;0.394335;-3.4999999E-4;289.94;408.6825
