ID;PROP_ID;COMP_ID;SurfaceTensionA;SurfaceTensionB;SurfaceTensionN;SurfaceTensionTmin;SurfaceTensionTmax
35916;19661;35919;-12321;-12321;-12321;-12321;-12321
35917;19662;35920;-12321;-12321;-12321;-12321;-12321
35918;19417;35921;-12321;-12321;-12321;-12321;-12321
35919;19562;35922;-12321;-12321;-12321;-12321;-12321
35920;19139;35923;-12321;-12321;-12321;-12321;-12321
35921;19137;35924;-12321;-12321;-12321;-12321;-12321
35922;19138;35925;-12321;-12321;-12321;-12321;-12321
35923;18782;35926;-12321;-12321;-12321;-12321;-12321
35924;19663;35927;-12321;-12321;-12321;-12321;-12321
35925;18748;35928;-12321;-12321;-12321;-12321;-12321
35926;18990;35929;-12321;-12321;-12321;-12321;-12321
35927;18927;35930;-12321;-12321;-12321;-12321;-12321
35928;19098;35931;-12321;-12321;-12321;-12321;-12321
35929;19374;35932;-12321;-12321;-12321;-12321;-12321
35930;18991;35933;-12321;-12321;-12321;-12321;-12321
35931;19664;35934;-12321;-12321;-12321;-12321;-12321
35932;19239;35935;-12321;-12321;-12321;-12321;-12321
35933;18777;35936;-12321;-12321;-12321;-12321;-12321
35934;18781;35937;-12321;-12321;-12321;-12321;-12321
35935;19103;35938;-12321;-12321;-12321;-12321;-12321
35936;19274;35939;-12321;-12321;-12321;-12321;-12321
35937;19102;35940;-12321;-12321;-12321;-12321;-12321
35938;19532;35941;-12321;-12321;-12321;-12321;-12321
35939;18828;35942;-12321;-12321;-12321;-12321;-12321
35940;18779;35943;-12321;-12321;-12321;-12321;-12321
35941;19238;35944;-12321;-12321;-12321;-12321;-12321
35942;19094;35945;-12321;-12321;-12321;-12321;-12321
35943;19296;35946;-12321;-12321;-12321;-12321;-12321
35944;19539;35947;-12321;-12321;-12321;-12321;-12321
35945;18749;35948;-12321;-12321;-12321;-12321;-12321
35946;18750;35949;-12321;-12321;-12321;-12321;-12321
35947;18780;35950;-12321;-12321;-12321;-12321;-12321
35948;18778;35951;-12321;-12321;-12321;-12321;-12321
35949;19512;35952;-12321;-12321;-12321;-12321;-12321
35950;19237;35953;-12321;-12321;-12321;-12321;-12321
35951;13358;35954;-12321;-12321;-12321;-12321;-12321
35952;19446;35955;-12321;-12321;-12321;-12321;-12321
35953;19065;35956;-12321;-12321;-12321;-12321;-12321
35954;18933;35957;-12321;-12321;-12321;-12321;-12321
35955;19049;35958;-12321;-12321;-12321;-12321;-12321
35956;19649;35959;-12321;-12321;-12321;-12321;-12321
