ID;PROP_ID;COMP_ID;Antoine5LogA;Antoine5LogB;Antoine5LogC;Antoine5LogD;Antoine5LogE;Antoine5LogTmin;Antoine5LogTmax
35926;18990;35929;41.034443;-4747.2188;-10.809618;-0.00254;3.0000001E-6;200;720
35927;18927;35930;49.07819;-7122.9624;-12.601217;-3.1099999E-3;3.0000001E-6;200;919
35928;19098;35931;49.940029;-7302.4136;-12.728507;-0.003609;3.0000001E-6;200;914
35929;19374;35932;49.534454;-7058.001;-12.723789;-3.3120001E-3;3.0000001E-6;200;899
35930;18991;35933;42.464272;-5174.7583;-11.079535;-2.7310001E-3;3.0000001E-6;200;761
35931;19664;35934;48.393707;-6977.0068;-12.4834;-2.7999999E-3;0.000002;200;920
35932;19239;35935;47.941383;-6794.9795;-12.386697;-0.002758;0.000002;200;905
35933;18777;35936;47.680237;-6611.6411;-12.378616;-0.002601;0.000002;200;890
35934;18781;35937;47.295784;-6691.8027;-12.268788;-2.4359999E-3;0.000002;200;911
35935;19103;35938;45.52702;-6317.0825;-11.880228;-0.001947;0.000002;200;903
35936;19274;35939;48.043419;-6682.9502;-12.44264;-2.7719999E-3;3.0000001E-6;200;889
35937;19102;35940;45.52702;-6317.0825;-11.880228;-0.001947;0.000002;200;903
35938;19532;35941;46.880856;-6612.2681;-12.183658;-0.002297;0.000002;200;911
35939;18828;35942;46.543484;-6425.3735;-12.149765;-0.00214;0.000002;200;896
35940;18779;35943;48.047512;-6729.7046;-12.465215;-0.002654;0.000002;200;898
35941;19238;35944;46.981411;-6505.8174;-12.242451;-2.2799999E-3;0.000002;200;896
35942;19094;35945;50.200962;-7368.7891;-12.755764;-0.003794;3.0000001E-6;200;913
35943;19296;35946;49.830158;-7126.5547;-12.762353;-3.4980001E-3;3.0000001E-6;200;898
35944;19539;35947;48.316078;-6873.4009;-12.45522;-2.9120001E-3;3.0000001E-6;200;905
35945;18749;35948;48.043419;-6682.9502;-12.44264;-2.7719999E-3;3.0000001E-6;200;889
35946;18750;35949;47.380184;-6578.3267;-12.321239;-2.4369999E-3;0.000002;200;895
35947;18780;35950;48.641075;-6943.1826;-12.50567;-0.003087;3.0000001E-6;200;904
35948;18778;35951;48.425934;-6762.1895;-12.512106;-0.002935;3.0000001E-6;200;889
35949;19512;35952;47.295784;-6691.8027;-12.268788;-2.4359999E-3;0.000002;200;911
35950;19237;35953;46.981411;-6505.8174;-12.242451;-2.2799999E-3;0.000002;200;896
35951;13358;35954;27.101416;-5385.7852;-4.9829521;-6.1229998E-3;3.0000001E-6;427.60001;883
35952;19446;35955;48.6311;-6983.5298;-12.530505;-2.9430001E-3;3.0000001E-6;200;913
35953;19065;35956;47.36953;-6504.2622;-12.371024;-0.002356;0.000002;200;887
35954;18933;35957;49.449684;-6965.8262;-12.732081;-0.003273;3.0000001E-6;200;890
35955;19049;35958;46.765327;-6607.7373;-12.21489;-2.1289999E-3;0.000002;200;916
35956;19649;35959;52.112305;-8144.1362;-13.029648;-4.5790002E-3;3.0000001E-6;200;950
35957;18848;35960;52.048889;-8015.8237;-13.052006;-4.4940002E-3;3.0000001E-6;200;940
35958;18846;35961;48.184963;-6844.5903;-12.461123;-2.7689999E-3;0.000002;200;907
35959;19638;35962;50.545456;-7581.6758;-12.783522;-0.003978;3.0000001E-6;200;927
35960;9207;35963;49.596516;-7336.439;-12.606747;-3.4439999E-3;3.0000001E-6;200;929
35961;19650;35964;52.727562;-8398.041;-13.077173;-0.004925;3.0000001E-6;200;959
35962;18847;35965;50.385338;-7480.8882;-12.800369;-0.003789;3.0000001E-6;200;923
35963;19592;35966;49.653366;-7221.5737;-12.746784;-3.2279999E-3;3.0000001E-6;200;919
35964;7810;35967;44.985161;-6163.6177;-11.761504;-0.001753;0.000002;200;897
35965;19159;35968;46.716106;-6548.2104;-12.148662;-0.002292;0.000002;200;905
35966;19670;35969;49.791904;-7230.2021;-12.698912;-3.6249999E-3;3.0000001E-6;200;907
35967;19653;35970;51.382092;-7796.9995;-12.957295;-4.1809999E-3;3.0000001E-6;200;934
35968;9206;35971;40.7047;-5557.9282;-10.74921;-8.6799997E-4;0.000002;200;904
35969;19636;35972;50.466316;-7516.2417;-12.815065;-0.00379;3.0000001E-6;200;926
35970;19681;35973;48.297455;-6886.9546;-12.485559;-2.7640001E-3;0.000002;200;911
35971;11883;35974;27.029079;-4404.4873;-5.5925961;-4.9939998E-3;3.0000001E-6;313;789
35972;18876;35975;38.884754;-4762.9419;-10.315667;-0.001214;0.000002;200;789
35973;12569;35976;33.971848;-4401.8237;-8.6725035;-0.00153;0.000002;322.20001;789
35974;6319;35977;27.977688;-16891.092;3.836149;-0.02856;9.0000003E-6;200;1155
35975;18197;35978;36.689602;-3989.5945;-8.6654081;-8.6070001E-3;0.000008;200;562
35976;18223;35979;46.595291;-5461.0464;-12.347182;-3.6239999E-3;0.000004;200;724
35977;18213;35980;45.942314;-5063.6406;-12.249208;-0.003766;0.000004;200;677
35978;18221;35981;46.347492;-5332.7842;-12.298045;-3.6899999E-3;0.000004;200;709
35979;18219;35982;45.751606;-5168.6587;-12.082864;-4.1430001E-3;4.9999999E-6;200;686
