ID;PROP_ID;COMP_ID;LiquidThermalConductivityA;LiquidThermalConductivityB;LiquidThermalConductivityC;LiquidThermalConductivityTmin;LiquidThermalConductivityTmax
20652;11297;20655;0.371705;-0.000101;0;200;670
20653;11296;20656;0.36478701;-9.4000003E-5;0;200;660
20654;12553;20657;0.38541901;-0.000111;0;200;667.25
20655;12552;20658;0.378672;-0.000106;0;200;680
20656;12555;20659;-1.169239;0.80019999;800;222.75;677.75
20657;15129;20660;0.32158199;-8.9000001E-5;0;200;672.5
20658;15454;20661;0.132654;-3.6000001E-5;0;200;660
20659;11732;20662;0.33231601;-8.9000001E-5;0;200;660
20660;17360;20663;0.335769;-0.000087;0;200;680
20661;12023;20664;0.15781701;-3.9999999E-5;0;200;640
20662;17943;20665;-1.421815;0.78415602;855;224;704
20663;17231;20666;0.160282;-0.000043;0;200;650
20664;16413;20667;0.161679;-4.6000001E-5;0;221.75;670
20665;17327;20668;0.14929999;-0.000042;0;221.5;660
20666;17232;20669;0.161557;-0.000043;0;200;650
20667;12273;20670;0.16447601;-0.000043;0;200;620
20668;17052;20671;0.12718099;-0.000032;0;200;590
20669;16727;20672;0.14534301;-0.000042;0;200;630
20670;17239;20673;0.12171;-0.000031;0;200;670
20671;2651;20674;0.1657;-6.7000001E-5;0;262;601
20672;5502;20675;-12321;-12321;-12321;-12321;-12321
20673;1961;20676;0.16689999;-0.000085;0;158;643
20674;18487;20677;0.14897101;-3.8999999E-5;0;200;620
20675;13212;20678;0.17600299;-5.1999999E-5;0;221.75;670
20676;17344;20679;-12321;-12321;-12321;-12321;-12321
20677;10037;20680;0.14384601;-3.8999999E-5;0;170;550
20678;17343;20681;-12321;-12321;-12321;-12321;-12321
20679;7725;20682;-12321;-12321;-12321;-12321;-12321
20680;10162;20683;0.166971;-4.0999999E-5;0;200;660
20681;13890;20684;0.21955299;-7.1000002E-5;0;221.25;650
20682;11496;20685;0.16736101;-4.5000001E-5;0;200;640
20683;7978;20686;0.153955;-3.8999999E-5;0;200;630
20684;10786;20687;0.182221;-5.0999999E-5;0;344.25;492.75
20685;10559;20688;-12321;-12321;-12321;-12321;-12321
20686;17282;20689;0.16644099;-3.8999999E-5;0;200;640
20687;17410;20690;0.16924;-4.0999999E-5;0;200;610
20688;14216;20691;0.14690401;-3.6000001E-5;0;200;630
20689;16734;20692;0.143915;-0.000042;0;220.75;594.25
20690;16968;20693;0.144407;-4.0999999E-5;0;220.75;594.25
20691;13342;20694;0.158134;-3.9999999E-5;0;200;630
20692;10058;20695;0.15223099;-0.000042;0;200;630
20693;16963;20696;0.147231;-3.9999999E-5;0;200;610
20694;19410;20697;0.15211;-0.000032;0;200;510
20695;16719;20698;0.133745;-0.000032;0;200;620
20696;10159;20699;0.16220599;-3.9999999E-5;0;200;600
20697;16971;20700;0.150313;-0.000026;0;200;520
20698;17326;20701;0.156085;-4.0999999E-5;0;221.75;670
20699;16733;20702;0.154485;-4.8999998E-5;0;220.75;594.25
20700;17331;20703;0.15701699;-4.0999999E-5;0;222;680
20701;17347;20704;0.14743;-3.9999999E-5;0;200;620
20702;15059;20705;0.148719;-3.8999999E-5;0;200;610
20703;17233;20706;0.161808;-3.9999999E-5;0;200;630
20704;16760;20707;0.14955901;-0.000053;0;221.5;608.5
20705;19423;20708;0.163304;-0.000026;0;200;500
20706;10051;20709;0.147791;-3.9999999E-5;0;200;620
20707;9217;20710;0.202251;-0.000044;0;388;492
20708;9019;20711;0.172988;-4.9999999E-5;0;200;620
20709;16723;20712;0.15701699;-0.000044;0;200;610
20710;16972;20713;0.141666;-0.000033;0;200;550
20711;12090;20714;-1.174214;0.695885;1056;382.5;902.5
20712;11153;20715;0.122651;-0.000032;0;200;630
20713;16741;20716;0.139953;-0.000044;0;220.75;594.25
20714;14006;20717;0.17960601;-0.000043;0;200;600
20715;16739;20718;0.16024099;-4.9999999E-5;0;221;599
20716;16798;20719;0.174622;-3.6000001E-5;0;200;520
20717;14339;20720;0.14620601;-4.5000001E-5;0;170;530
20718;11414;20721;0.17240299;-4.9999999E-5;0;200;660
20719;10156;20722;0.154908;-0.000043;0;180;540
20720;16970;20723;0.149151;-0.000028;0;200;490
20721;16965;20724;0.149955;-0.000044;0;200;589.5
20722;10167;20725;0.144811;-2.9999999E-5;0;200;590
20723;10932;20726;0.151246;-3.6000001E-5;0;200;640
20724;9086;20727;0.148771;-0.000032;0;200;630
20725;17287;20728;0.170123;-0.000042;0;200;670
20726;9543;20729;0.141856;-0.000028;0;200;490
20727;9423;20730;0.171615;-0.000015;0;250;590
20728;18884;20731;0.205603;-0.000042;0;200;520
20729;18137;20732;0.135941;-0.000031;0;200;610
20730;10499;20733;0.138283;-0.000028;0;200;570
20731;18138;20734;0.136255;-0.000031;0;200;620
20732;7856;20735;0.133808;-0.000026;0;200;550
20733;7904;20736;0.16728;-2.9000001E-5;0;240;630
20734;14518;20737;0.14943001;-3.7000002E-5;0;200;620
20735;9214;20738;0.202251;-0.000044;0;388;492
20736;13343;20739;0.167794;-1.9999999E-5;0;293;615
20737;8993;20740;0.159989;-3.6000001E-5;0;200;610
20738;16594;20741;0.144223;-2.9999999E-5;0;200;520
20739;16761;20742;0.17447799;-4.5000001E-5;0;283.5;680
20740;13528;20743;-1.549101;0.85862702;791;268.25;313.75
20741;17352;20744;-1.524917;0.83655798;790;268.25;677.75
20742;17191;20745;0.161486;-3.4000001E-5;0;200;570
20743;13671;20746;0.168569;-0.000042;0;200;660
20744;17244;20747;0.17600299;-5.1999999E-5;0;221.75;670
20745;17059;20748;0.158409;-4.0999999E-5;0;200;610
20746;10446;20749;0.153348;-3.9999999E-5;0;200;590
20747;16991;20750;0.155028;-3.7999998E-5;0;200;580
20748;10520;20751;0.14088801;-0.000042;0;160;500
20749;16728;20752;0.159898;-4.8000002E-5;0;200;589.5
20750;13686;20753;-12321;-12321;-12321;-12321;-12321
20751;5680;20754;-1.755137;0.80641001;1105;475.75;833.25
20752;9812;20755;-12321;-12321;-12321;-12321;-12321
20753;11022;20756;0.12385;-0.000026;0;200;590
20754;6885;20757;0.111964;0.000101;0;460;660
20755;9445;20758;-12321;-12321;-12321;-12321;-12321
20756;8930;20759;0.122106;-2.4999999E-5;0;200;570
20757;12468;20760;0.108854;-2.9000001E-5;0;200;620
20758;9089;20761;0.18319499;-0.000229;0;320;590
20759;14213;20762;0.142644;-0.000028;0;200;530
20760;19277;20763;-12321;-12321;-12321;-12321;-12321
20761;11021;20764;0.121196;-2.3000001E-5;0;220;570
20762;10157;20765;0.14787599;-0.000033;0;200;610
20763;6884;20766;0.111964;0.000101;0;460;660
20764;11102;20767;0.122106;-2.4999999E-5;0;200;570
20765;7128;20768;0.157006;-3.7999998E-5;0;200;650
20766;6883;20769;0.160486;-0.000201;0;200;600
20767;8250;20770;-12321;-12321;-12321;-12321;-12321
20768;11416;20771;0.14307199;-3.5000001E-5;0;200;620
20769;12966;20772;0.136795;-3.5000001E-5;0;200;550
20770;10265;20773;-12321;-12321;-12321;-12321;-12321
20771;18131;20774;0.108854;-2.9000001E-5;0;200;620
20772;19163;20775;0.13053501;-0.000031;0;200;560
20773;18133;20776;0.087412;-2.4999999E-5;0;200;640
20774;18129;20777;0.108854;-2.9000001E-5;0;200;620
20775;12965;20778;0.138349;-2.9999999E-5;0;200;550
20776;13119;20779;-12321;-12321;-12321;-12321;-12321
20777;14418;20780;0.129558;-0.000033;0;200;550
20778;14417;20781;0.129558;-0.000033;0;200;550
20779;11819;20782;0.139972;-0.000028;0;200;530
20780;19267;20783;0.132548;-2.4999999E-5;0;200;530
20781;14419;20784;0.129558;-0.000033;0;200;550
20782;18132;20785;0.087412;-2.4999999E-5;0;200;640
20783;18130;20786;0.108854;-2.9000001E-5;0;200;620
20784;12843;20787;0.126155;-3.8999999E-5;0;220.5;589.5
20785;19162;20788;0.13053501;-0.000031;0;200;560
20786;10814;20789;0.124781;-0.000028;0;200;580
20787;5880;20790;0.17294601;-1.9399999E-4;0;310;620
20788;12830;20791;0.123219;-0.000027;0;200;580
20789;17111;20792;0.146635;-4.0999999E-5;0;200;590
20790;11394;20793;0.14307199;-3.5000001E-5;0;200;620
20791;18134;20794;0.118196;-2.9999999E-5;0;200;670
20792;18135;20795;0.118196;-2.9999999E-5;0;200;670
20793;17112;20796;0.145528;-3.5000001E-5;0;200;600
20794;10155;20797;0.14307199;-3.5000001E-5;0;200;620
20795;13091;20798;0.14754499;-4.8999998E-5;0;220.75;594.25
20796;16986;20799;0.150708;-3.9999999E-5;0;200;630
20797;17246;20800;0.15902799;-4.6000001E-5;0;200;630
20798;12403;20801;0.13637;-2.9000001E-5;0;200;580
20799;5819;20802;-12321;-12321;-12321;-12321;-12321
20800;17281;20803;0.34595099;-7.3000003E-5;0;200;620
20801;16722;20804;0.113473;-2.9000001E-5;0;200;650
20802;12701;20805;0.154515;-0.000042;0;200;650
20803;17221;20806;0.151346;-0.000031;0;230;620
20804;11287;20807;0.36435801;-9.4000003E-5;0;200;650
20805;11291;20808;0.35619199;-8.0999998E-5;0;200;640
20806;5950;20809;-12321;-12321;-12321;-12321;-12321
20807;12278;20810;0.15844899;-0.000042;0;200;670
20808;16934;20811;0.152876;-0.000043;0;221.25;650
20809;8230;20812;0.181126;-4.5000001E-5;0;200;620
20810;5508;20813;-12321;-12321;-12321;-12321;-12321
20811;2654;20814;0.1663;-6.9000002E-5;0;252;611
20812;6121;20815;0.13253801;-0.000026;0;220;650
20813;16979;20816;0.16260301;-3.9999999E-5;0;200;570
20814;17416;20817;0.17447899;-4.8000002E-5;0;200;640
20815;17578;20818;0.17308301;-0.000031;0;284.25;672.25
20816;16886;20819;-12321;-12321;-12321;-12321;-12321
20817;16887;20820;-12321;-12321;-12321;-12321;-12321
20818;16884;20821;-12321;-12321;-12321;-12321;-12321
20819;16885;20822;-12321;-12321;-12321;-12321;-12321
20820;7528;20823;-12321;-12321;-12321;-12321;-12321
20821;5818;20824;-12321;-12321;-12321;-12321;-12321
20822;14449;20825;0.193809;-0.000055;0;200;667.25
20823;13625;20826;-12321;-12321;-12321;-12321;-12321
20824;10784;20827;0.18094701;-5.1999999E-5;0;383.75;482.75
20825;10702;20828;0.175585;3.0000001E-6;0;380;760
20826;17286;20829;0.16832601;-0.000044;0;200;650
20827;16912;20830;0.151995;-0.000042;0;221;640
20828;13894;20831;0.14808699;-3.5000001E-5;0;200;620
20829;8637;20832;0.16341101;-3.9999999E-5;0;200;610
20830;10445;20833;0.17200001;-4.6000001E-5;0;200;640
20831;16223;20834;0.22141901;-0.000237;0;367;740
20832;17220;20835;0.18107;-4.6000001E-5;0;200;630
20833;16456;20836;0.15826;-4.5000001E-5;0;222;680
20834;10699;20837;-1.111912;0.61130601;1056;454.25;950
20835;6326;20838;-1.225939;0.62401801;932;338.5;794.5
20836;14937;20839;0.129752;-0.000031;0;200;690
20837;9333;20840;0.211079;-0.000013;0;360;800
20838;17228;20841;0.16658799;-0.000042;0;200;660
20839;15216;20842;0.163653;-3.9999999E-5;0;200;650
20840;17230;20843;0.153412;-3.9999999E-5;0;200;660
20841;17229;20844;0.17849299;-0.000044;0;200;630
20842;10381;20845;0.143831;-3.6000001E-5;0;200;650
20843;9607;20846;0.15776999;-3.7999998E-5;0;200;610
20844;13978;20847;0.186886;-0.000053;0;200;650
20845;17190;20848;0.169554;-0.000044;0;200;670
20846;15104;20849;0.170454;-0.000043;0;200;630
20847;11714;20850;0.178464;-3.7999998E-5;0;200;580
20848;11393;20851;0.14307199;-3.5000001E-5;0;200;620
20849;12524;20852;-12321;-12321;-12321;-12321;-12321
20850;9938;20853;0.232988;-7.9999998E-5;0;200;589.5
20851;12523;20854;-12321;-12321;-12321;-12321;-12321
20852;12114;20855;0.232988;-7.9999998E-5;0;200;589.5
20853;11135;20856;0.174714;-4.8000002E-5;0;200;680
20854;11136;20857;0.15902799;-4.6000001E-5;0;200;630
20855;11299;20858;0.37162599;-0.000101;0;200;660
20856;11298;20859;0.36373499;-9.0000001E-5;0;200;650
20857;17283;20860;0.35374501;-0.000086;0;200;630
20858;17284;20861;0.184416;-4.9999999E-5;0;200;630
20859;17304;20862;-1.406551;0.79532498;865;272.75;369.75
20860;17291;20863;0.17666601;-5.1999999E-5;0;222;680
20861;17292;20864;0.16854601;-0.000044;0;222.25;667.25
20862;17273;20865;0.16611101;-4.7000001E-5;0;221.5;660
20863;12107;20866;0.167244;-4.9999999E-5;0;221.25;650
20864;16476;20867;0.21223199;-0.000055;0;200;680
20865;14954;20868;0.17515001;-4.8999998E-5;0;221.75;670
20866;16757;20869;0.164437;-4.8000002E-5;0;221.5;660
20867;17085;20870;0.112142;-0.000028;0;200;580
20868;17334;20871;0.15088201;-0.000043;0;222;680
20869;14924;20872;0.184508;-5.0999999E-5;0;222;680
20870;16758;20873;0.15188;-4.8000002E-5;0;221.25;603.75
20871;12132;20874;0.166859;-0.000042;0;200;630
20872;13749;20875;0.171453;-4.0999999E-5;0;200;660
20873;8234;20876;0.153993;-3.8999999E-5;0;200;650
20874;11484;20877;0.170871;-4.6000001E-5;0;200;640
20875;17288;20878;0.170287;-4.5000001E-5;0;200;650
20876;17301;20879;0.162563;-3.8999999E-5;0;200;680
20877;17409;20880;0.162563;-3.8999999E-5;0;200;680
20878;17361;20881;0.177404;-4.6000001E-5;0;200;670
20879;17302;20882;0.181391;-0.000053;0;222.25;667.25
20880;8228;20883;0.147588;-3.4000001E-5;0;200;570
20881;14677;20884;0.170459;-0.000043;0;200;630
20882;17336;20885;0.17569999;-4.9999999E-5;0;222;680
20883;10456;20886;0.137318;-3.7000002E-5;0;250;568.5
20884;15810;20887;0.26849899;-2.9999999E-5;0;356.25;720
20885;16732;20888;0.159688;-4.8999998E-5;0;220.75;594.25
20886;10267;20889;0.145384;-3.6000001E-5;0;200;560
20887;11990;20890;0.145384;-3.6000001E-5;0;200;560
20888;5790;20891;-1.887707;1.134446;1109;516.75;590.25
20889;14407;20892;-12321;-12321;-12321;-12321;-12321
20890;8397;20893;-12321;-12321;-12321;-12321;-12321
20891;9979;20894;-12321;-12321;-12321;-12321;-12321
20892;14168;20895;-12321;-12321;-12321;-12321;-12321
20893;13387;20896;0.155845;-0.000043;0;200;620
20894;17263;20897;0.153258;-0.000044;0;221.25;650
20895;17293;20898;0.180967;-0.000053;0;222.25;667.25
20896;17579;20899;0.17576399;-3.9999999E-5;0;264;696
20897;5973;20900;-12321;-12321;-12321;-12321;-12321
20898;6375;20901;-12321;-12321;-12321;-12321;-12321
20899;9976;20902;-12321;-12321;-12321;-12321;-12321
20900;15026;20903;0.18551899;-5.9000002E-5;0;200;640
20901;16380;20904;0.222664;-2.3999999E-4;0;346.5;740
20902;17415;20905;-1.4982359;0.845397;795;268.25;541.25
20903;17398;20906;-1.515604;0.79237902;793;268.25;541.25
20904;16764;20907;0.183138;-0.000064;0;267.5;627.5
20905;12344;20908;0.41382399;-3.8899999E-4;0;485;905
20906;6133;20909;0.181987;1.8000001E-5;0;360;690
20907;17118;20910;0.153102;-4.5000001E-5;0;242;638
20908;17285;20911;0.17236599;-4.7000001E-5;0;200;650
20909;16763;20912;0.146213;-5.0999999E-5;0;266;618
20910;16762;20913;0.152606;-0.000055;0;265.25;613.25
20911;11627;20914;0.19526599;-4.8000002E-5;0;200;670
20912;17275;20915;0.173978;-4.9999999E-5;0;222.25;667.25
20913;8650;20916;0.179122;-0.000054;0;200;630
20914;10457;20917;0.183661;-4.9999999E-5;0;333.5;529.5
20915;10374;20918;0.184553;-4.6000001E-5;0;200;590
20916;17303;20919;-1.511619;0.80080998;802;223;683
20917;17295;20920;0.190502;-5.8000001E-5;0;222;680
20918;9488;20921;0.17589299;-5.0999999E-5;0;222.5;672.5
20919;12557;20922;0.36566201;-0.000101;0;200;660
20920;11757;20923;0.184414;-5.0999999E-5;0;200;650
20921;17668;20924;0.19526599;-4.8000002E-5;0;200;670
20922;11293;20925;0.355149;-9.5000003E-5;0;200;670
20923;11756;20926;0.171294;-4.8999998E-5;0;200;620
20924;12556;20927;0.36998099;-9.5000003E-5;0;200;680
20925;17289;20928;0.189043;-0.000054;0;200;660
20926;6496;20929;-1.5282919;0.82144803;1097;485.75;914.75
20927;13660;20930;-12321;-12321;-12321;-12321;-12321
20928;9813;20931;0.159179;-3.7999998E-5;0;200;650
