ID;PROP_ID;COMP_ID;Poly5IdealGasCpA;Poly5IdealGasCpB;Poly5IdealGasCpC;Poly5IdealGasCpD;Poly5IdealGasCpE;Poly5IdealGasCpTmin;Poly5IdealGasCpTmax
20630;14147;20632;-19.491354;0.921287;-4.8300001E-4;0;0;200;980
20631;8917;20633;-29.189825;1.011277;-5.6900003E-4;0;0;200;980
20632;16959;20634;-29.933231;1.068012;-4.5200001E-4;0;0;200;980
20633;11064;20635;-22.446997;0.96669298;-2.4199999E-4;0;0;200;980
20634;19271;20636;0.974217;0.53058398;-3.0300001E-4;0;0;200;980
20635;17356;20637;-38.755909;2.16098;-0.001227;0;0;200;980
20636;11566;20638;-30.784512;1.202897;-6.7899999E-4;0;0;200;980
20637;11900;20639;-29.987204;1.107087;-6.2399998E-4;0;0;200;980
20638;12752;20640;-29.135506;0.97219801;-0.000398;0;0;200;980
20639;14035;20641;-30.388338;0.91942602;-0.000432;0;0;200;980
20640;18757;20642;9.7959871;0.699821;-4.0300001E-4;0;0;200;980
20641;12632;20643;-37.161766;1.969364;-0.001117;0;0;200;980
20642;16765;20644;-37.90657;2.0261121;-1.0010001E-3;0;0;200;980
20643;17335;20645;-42.690613;1.525944;-0.000879;0;0;200;980
20644;16740;20646;-33.123138;1.451257;-6.7199999E-4;0;0;200;980
20645;16768;20647;-54.231968;2.361223;-0.001202;0;0;200;980
20646;17252;20648;-50.61034;1.369944;-8.0500002E-4;0;0;200;980
20647;12554;20649;17.698236;1.0570771;-0.000398;0;0;200;980
20648;5942;20650;-8.6087828;0.69944501;-4.6800001E-4;0;0;200;980
20649;13888;20651;20.267462;0.71190101;-0.000178;0;0;200;980
20650;14120;20652;-43.122601;1.058952;-6.0600002E-4;0;0;200;980
20651;17245;20653;-43.920174;1.1547641;-6.6100003E-4;0;0;200;980
20652;10839;20654;-26.585985;0.77082098;-0.000351;0;0;200;980
20653;11297;20655;20.089121;0.76965702;-2.3400001E-4;0;0;200;980
20654;11296;20656;20.886076;0.67385;-0.000179;0;0;200;980
20655;12553;20657;18.495199;0.96126997;-3.4299999E-4;0;0;200;980
20656;12552;20658;19.292162;0.86546302;-2.8800001E-4;0;0;200;980
20657;12555;20659;16.90127;1.152884;-4.5299999E-4;0;0;200;980
20658;15129;20660;32.057667;0.90271699;-2.6100001E-4;0;0;200;980
20659;15454;20661;-9.405406;0.79524797;-5.2200002E-4;0;0;200;980
20660;11732;20662;39.543346;0.59174299;-6.2999999E-5;0;0;200;980
20661;17360;20663;38.746582;0.68754798;-0.000118;0;0;200;980
20662;12023;20664;1.424899;0.78856999;-0.000272;0;0;200;980
20663;17943;20665;-64.216728;1.562564;-9.9900004E-4;0;0;200;980
20664;17231;20666;0.62765998;0.88437998;-3.2699999E-4;0;0;200;980
20665;16413;20667;-57.421383;1.669435;-0.000971;0;0;200;980
20666;17327;20668;-41.096062;1.334325;-7.6899998E-4;0;0;200;980
20667;17232;20669;0.62765998;0.88437998;-3.2699999E-4;0;0;200;980
20668;12273;20670;-43.920174;1.1547641;-6.6100003E-4;0;0;200;980
20669;17052;20671;13.69197;0.70888698;-0.000136;0;0;200;980
20670;16727;20672;-45.461601;1.307315;-5.9900002E-4;0;0;200;980
20671;17239;20673;36.52895;0.724208;-0.00012;0;0;200;980
20672;2651;20674;-44.779999;0.86082;-5.7700003E-4;0;0;273;1000
20673;5502;20675;-12321;-12321;-12321;-12321;-12321;-12321;-12321
20674;1961;20676;-18.688999;0.67931002;-4.0200001E-4;0;0;273;1000
20675;18487;20677;-20.310856;0.765576;-4.6400001E-4;0;0;200;980
20676;13212;20678;8.5475826;1.040378;-0.000401;0;0;200;980
20677;17344;20679;-49.551426;2.9395001;-0.001667;0;0;200;980
20678;10037;20680;10.534788;0.66555703;-1.9399999E-4;0;0;200;980
20679;17343;20681;-46.363293;2.5562711;-0.001448;0;0;200;980
20680;7725;20682;-24.801424;0.68733299;-4.2900001E-4;0;0;200;980
20681;10162;20683;-33.975578;0.92500198;-3.4999999E-4;0;0;200;980
20682;13890;20684;-15.374718;1.000012;-2.5499999E-4;0;0;200;980
20683;11496;20685;-40.62138;0.89648598;-4.3499999E-4;0;0;200;980
20684;7978;20686;-38.592598;0.83336598;-0.000481;0;0;200;980
20685;10786;20687;-47.567085;2.464469;-0.001311;0;0;200;980
20686;10559;20688;-48.754398;2.843693;-1.6120001E-3;0;0;200;980
20687;17282;20689;21.43412;0.567159;-9.5000003E-5;0;0;200;980
20688;17410;20690;-23.910191;0.93334597;-0.000485;0;0;200;980
20689;14216;20691;-39.501282;1.142704;-6.6000002E-4;0;0;200;980
20690;16734;20692;-41.840149;1.391067;-6.5200002E-4;0;0;200;980
20691;16968;20693;-41.840149;1.391067;-6.5200002E-4;0;0;200;980
20692;13342;20694;-19.491354;0.921287;-4.8300001E-4;0;0;200;980
20693;10058;20695;-29.987204;1.107087;-6.2399998E-4;0;0;200;980
20694;16963;20696;-30.730833;1.163824;-5.0700002E-4;0;0;200;980
20695;19410;20697;22.420576;0.61208302;-0.00026;0;0;200;980
20696;16719;20698;-29.933231;1.068012;-4.5200001E-4;0;0;200;980
20697;10159;20699;11.735932;0.65714699;-0.000182;0;0;200;980
20698;16971;20700;27.32675;0.46609399;0.000016;0;0;200;980
20699;17326;20701;-31.58177;1.298707;-0.000734;0;0;200;980
20700;16733;20702;-32.325771;1.3554471;-6.1699998E-4;0;0;200;980
20701;17331;20703;-32.378986;1.394515;-7.8900001E-4;0;0;200;980
20702;17347;20704;-39.501282;1.142704;-6.6000002E-4;0;0;200;980
20703;15059;20705;20.267462;0.71190101;-0.000178;0;0;200;980
20704;17233;20706;0.62765998;0.88437998;-3.2699999E-4;0;0;200;980
20705;16760;20707;-54.544212;1.809929;-9.0699998E-4;0;0;200;980
20706;19423;20708;18.0012;0.624147;-2.6199999E-4;0;0;200;980
20707;10051;20709;-34.352123;1.080071;-4.5399999E-4;0;0;200;980
20708;9217;20710;-44.769192;2.364656;-1.3379999E-3;0;0;200;980
20709;9019;20711;-34.406109;1.1191469;-6.2599999E-4;0;0;200;980
20710;16723;20712;-35.149769;1.175884;-5.0899998E-4;0;0;200;980
20711;16972;20713;3.1332419;0.664841;-2.3200001E-4;0;0;200;980
20712;12090;20714;-20.360325;1.134686;-5.5699999E-4;0;0;200;980
20713;11153;20715;-25.258495;0.72599298;-5.3600001E-4;0;0;200;980
20714;16741;20716;-52.152035;1.522498;-7.4300001E-4;0;0;200;980
20715;14006;20717;-14.798692;0.89674503;-4.4100001E-4;0;0;200;980
20716;16739;20718;-47.056618;1.498938;-7.0899999E-4;0;0;200;980
20717;16798;20719;20.895714;0.41690201;-7.6999997E-5;0;0;200;980
20718;14339;20720;27.32675;0.46609399;0.000016;0;0;200;980
20719;11414;20721;9.3446417;0.94457102;-3.4599999E-4;0;0;200;980
20720;10156;20722;26.532436;0.561885;-3.8999999E-5;0;0;200;980
20721;16970;20723;28.12006;0.37031001;7.0000002E-5;0;0;200;980
20722;16965;20724;-31.528339;1.259636;-5.6199997E-4;0;0;200;980
20723;10167;20725;-34.806751;0.93148202;-4.3399999E-4;0;0;200;980
20724;10932;20726;-47.272652;0.90233201;-0.000505;0;0;200;980
20725;9086;20727;-53.21368;0.87066299;-5.8400002E-4;0;0;200;980
20726;17287;20728;19.840105;0.75877398;-0.000205;0;0;200;980
20727;9543;20729;-2.5580959;0.50536901;-1.4800001E-4;0;0;200;980
20728;9423;20730;-3.69047;0.66951299;-2.9600001E-4;0;0;200;980
20729;18884;20731;-2.648191;0.446841;-2.5000001E-4;0;0;200;980
20730;18137;20732;6.4841628;0.64041799;-3.6000001E-5;0;0;200;980
20731;10499;20733;3.8793001;0.59372199;-8.3999999E-5;0;0;200;980
20732;18138;20734;9.7653847;0.684071;0.000017;0;0;200;980
20733;7856;20735;2.6242621;0.54096901;-0.000119;0;0;200;980
20734;7904;20736;-35.203461;1.214957;-0.00068;0;0;200;980
20735;14518;20737;-36.403164;1.123118;-5.4400001E-4;0;0;200;980
20736;9214;20738;-44.769192;2.364656;-1.3379999E-3;0;0;200;980
20737;13343;20739;-36.000751;1.3107671;-7.3500001E-4;0;0;200;980
20738;8993;20740;12.533092;0.56133801;-1.2700001E-4;0;0;200;980
20739;16594;20741;-31.878681;0.767685;-0.000382;0;0;200;980
20740;16761;20742;-40.731316;1.8465559;-8.9299999E-4;0;0;200;980
20741;13528;20743;-43.122871;2.1339819;-0.001057;0;0;200;980
20742;17352;20744;5.3594518;1.4236079;-6.2000001E-4;0;0;200;980
20743;17191;20745;6.7231908;0.53164899;-0.000043;0;0;200;980
20744;13671;20746;10.141716;0.84876299;-0.000291;0;0;200;980
20745;17244;20747;8.5475826;1.040378;-0.000401;0;0;200;980
20746;17059;20748;-11.964506;1.0278701;-3.4299999E-4;0;0;200;980
20747;10446;20749;-36.403164;1.123118;-5.4400001E-4;0;0;200;980
20748;16991;20750;-23.855656;0.894265;-0.000313;0;0;200;980
20749;10520;20751;12.1254;0.47396401;-8.3999999E-5;0;0;200;980
20750;16728;20752;-35.947311;1.271696;-5.6399999E-4;0;0;200;980
20751;13686;20753;-51.94249;3.226922;-0.001832;0;0;200;980
20752;5680;20754;-30.714474;1.703675;-7.2499999E-4;0;0;200;980
20753;9812;20755;-34.690838;2.182631;-9.9900004E-4;0;0;200;980
20754;11022;20756;-54.272396;0.97129101;-6.6000002E-4;0;0;200;980
20755;6885;20757;-22.939911;0.874654;-4.5600001E-4;0;0;200;980
20756;9445;20758;-12321;-12321;-12321;-12321;-12321;-12321;-12321
20757;8930;20759;-74.370605;1.094926;-8.6099998E-4;0;0;200;980
20758;12468;20760;8.9056625;0.57992798;-1.7299999E-4;0;0;200;980
20759;9089;20761;-17.307152;0.87838501;-2.8199999E-4;0;0;200;980
20760;14213;20762;-17.674063;0.638789;-0.000155;0;0;200;980
20761;19277;20763;16.72612;0.32882401;-0.000264;0;0;200;1000
20762;11021;20764;-54.272396;0.97129101;-6.6000002E-4;0;0;200;980
20763;10157;20765;-22.939911;0.874654;-4.5600001E-4;0;0;200;980
20764;6884;20766;-22.939911;0.874654;-4.5600001E-4;0;0;200;980
