ID;PROP_ID;COMP_ID;RackettLiquidDensityA;RackettLiquidDensityB;RackettLiquidDensityN;RackettLiquidDensityTc;RackettLiquidDensityTmin;RackettLiquidDensityTmax
30036;8952;30039;297.49356;0.233199;0.28240401;733;350.60001;733
30037;6389;30040;452.7287;0.238076;0.27587301;858;110;858
30038;17147;30041;272.03363;0.25575599;0.28624699;632;100;632
30039;16330;30042;239.88203;0.257873;0.28515601;569.90002;110;569.90002
30040;15184;30043;250.33418;0.256244;0.28271601;596;110;596
30041;10452;30044;-12321;-12321;-12321;-12321;-12321;-12321
30042;14080;30045;287.3497;0.25381899;0.28251201;757;110;757
30043;13993;30046;359.85553;0.247752;0.27916801;858;421.60001;858
30044;13938;30047;244.33759;0.258899;0.28560999;580;110;580
30045;19726;30048;250.45215;0.247502;0.28660101;634;100;634
30046;9635;30049;385.89917;0.21421701;0.251874;1194;570;1194
30047;6299;30050;282.84167;0.247834;0.28075701;707;110;707
30048;10062;30051;280.08051;0.242125;0.27264801;731;110;731
30049;9510;30052;286.97388;0.22303601;0.25167701;666;110;666
30050;12313;30053;281.73343;0.24406999;0.273287;715;110;715
30051;15144;30054;238.14218;0.23615;0.265708;789;110;789
30052;15143;30055;238.69249;0.234155;0.26466101;800;110;800
30053;13842;30056;237.97115;0.23600601;0.25873601;762;110;762
30054;12634;30057;238.82315;0.23660401;0.26620799;770;110;770
30055;15147;30058;238.41833;0.233954;0.26533899;784;110;784
30056;17379;30059;269.0401;0.254343;0.28581101;812;110;812
30057;14965;30060;238.98222;0.234007;0.266628;768;110;768
30058;17906;30061;267.84061;0.26642001;0.295416;1025;110;1020
30059;9719;30062;277.57962;0.25001401;0.28619799;651;100;651
30060;15501;30063;265.98102;0.240528;0.27384701;674;110;674
30061;17732;30064;280.45959;0.244517;0.27879101;696;110;696
30062;15075;30065;260.99936;0.24401399;0.27765;707;110;707
30063;2915;30066;262.70999;0.25163999;0.28571001;638.53998;232.78;638.53998
30064;2923;30067;265.35001;0.25764;0.28571001;641.33002;217.78;641.33002
30065;2931;30068;264.91;0.25422001;0.28571001;623.33002;250.2;623.33002
30066;3415;30069;244.92;0.26209;0.28571001;643.42999;194.5;643.42999
30067;3152;30070;244.42999;0.26265001;0.28571001;628.35999;183.23;628.35999
30068;3024;30071;305.57001;0.24377;0.28571001;781.84998;352.14999;781.84998
30069;8449;30072;269.78793;0.24158201;0.26927999;666;110;666
30070;17826;30073;255.51372;0.247188;0.280635;794;110;794
30071;11330;30074;251.91205;0.252148;0.27953801;626;110;626
30072;14994;30075;264.06287;0.240418;0.274831;752;110;752
30073;13393;30076;271.87601;0.23973399;0.27449301;759;110;759
30074;6207;30077;267.07639;0.240251;0.27465799;746;110;746
30075;10243;30078;237.62483;0.25137401;0.280909;586;110;586
30076;8654;30079;256.46841;0.243754;0.27196199;657;110;657
30077;17743;30080;264.04593;0.235557;0.27117199;711;110;711
30078;17930;30081;258.36334;0.230905;0.26897001;710;110;710
