ID;PROP_ID;COMP_ID;EnthalpyOfVapourizationA;EnthalpyOfVapourizationB;EnthalpyOfVapourizationN;EnthalpyOfVapourizationTmin;EnthalpyOfVapourizationTmax
37851;1462;37854;102015;685.78003;0.38;332.14999;685.78003
37852;10652;37855;98268.609;824;0.36552501;231;824
37853;13599;37856;-12321;-12321;-12321;-12321;-12321
37854;18840;37857;-12321;-12321;-12321;-12321;-12321
37855;13285;37858;-12321;-12321;-12321;-12321;-12321
37856;6302;37859;-12321;-12321;-12321;-12321;-12321
37857;18772;37860;45182.91;446;0.42793599;200;446
37858;6688;37861;45866.535;457.14661;0.41620299;336.01999;457.14661
37859;12688;37862;73700.148;758;0.42417499;200;758
37860;8668;37863;108895.88;864;0.442191;509.20001;864
37861;8318;37864;108738.15;814;0.39395601;374.89999;814
37862;10920;37865;98938.148;695;0.460807;200;695
37863;18942;37866;93518.203;684;0.50240701;200;684
37864;10688;37867;82590.93;723;0.363296;200;723
37865;12737;37868;84922.695;685;0.48040801;200;685
37866;9162;37869;97554.117;692;0.47215;200;692
37867;9163;37870;100381.73;692;0.469365;200;692
37868;9164;37871;100745.2;692;0.46915299;200;692
37869;10604;37872;72559.508;670;0.37129101;223.7;670
37870;12288;37873;82784.641;707;0.48927;181.2;707
37871;9165;37874;100020.35;692;0.469583;200;692
37872;10565;37875;76917.898;670;0.38241601;215;670
37873;14005;37876;104165.45;778;0.39999399;200;778
37874;10875;37877;103355.51;715;0.48358601;200;715
37875;6474;37878;-12321;-12321;-12321;-12321;-12321
37876;8724;37879;-12321;-12321;-12321;-12321;-12321
37877;8722;37880;122957.94;790;0.475328;316.89999;790
37878;6292;37881;78187.313;750;0.361601;200;750
37879;13422;37882;-12321;-12321;-12321;-12321;-12321
37880;10673;37883;111633.2;751;0.46510899;298.10001;751
37881;16210;37884;84208.695;713;0.35206401;277.10001;713
37882;12000;37885;99576.023;851;0.365538;355;851
37883;11337;37886;-12321;-12321;-12321;-12321;-12321
37884;10828;37887;-12321;-12321;-12321;-12321;-12321
37885;12971;37888;-12321;-12321;-12321;-12321;-12321
37886;8948;37889;99928.367;811;0.33562201;309.39999;811
37887;17104;37890;118905.35;766;0.52821499;200;766
37888;17102;37891;88765.875;704;0.38568199;200;704
37889;11010;37892;-12321;-12321;-12321;-12321;-12321
37890;13012;37893;-12321;-12321;-12321;-12321;-12321
37891;10862;37894;-12321;-12321;-12321;-12321;-12321
37892;9745;37895;93802.852;882;0.30087599;369.12;882
37893;7380;37896;-12321;-12321;-12321;-12321;-12321
37894;7038;37897;99730.648;843;0.40649599;384.57001;843
37895;13601;37898;-12321;-12321;-12321;-12321;-12321
37896;13646;37899;-12321;-12321;-12321;-12321;-12321
37897;13600;37900;-12321;-12321;-12321;-12321;-12321
37898;13486;37901;-12321;-12321;-12321;-12321;-12321
37899;18842;37902;-12321;-12321;-12321;-12321;-12321
37900;10712;37903;-12321;-12321;-12321;-12321;-12321
37901;9219;37904;-12321;-12321;-12321;-12321;-12321
37902;9212;37905;-12321;-12321;-12321;-12321;-12321
37903;9213;37906;-12321;-12321;-12321;-12321;-12321
37904;18899;37907;-12321;-12321;-12321;-12321;-12321
37905;11104;37908;99285.969;810;0.37234899;200;810
37906;9968;37909;140878.7;830;0.542777;364.92001;830
37907;11157;37910;76489.977;697;0.347718;200;697
37908;5773;37911;81695.836;678;0.41001201;200;678
37909;7006;37912;88003.578;671;0.439484;474.79999;671
37910;18530;37913;64909.363;637;0.388964;200;637
37911;9625;37914;72111.359;721;0.395363;331.17999;721
37912;8577;37915;55953.629;623;0.387465;200;623
37913;7858;37916;42042.863;624;0.345792;278.24701;624
