PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14;ComAllocationType15;Master15;Slave15;PLCAddress15;ComAllocationType16;Master16;Slave16;PLCAddress16
M;282_290_1;;;2000;P-2003S;22TAHH936-944_I;;ЛОЖЬ;ЛОЖЬ;;290;;;;;;;0;;;;816;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1392_1_H;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1392;;;;;;;0;;;;7531;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XZSO403_MOC;;COM;2000;A_2000;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;910;;;;;;;0;;;;4015;ИСТИНА;11865;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;627_738_2;;;;;21BALL314CA;;ЛОЖЬ;ЛОЖЬ;;738;;;;;;;0;;;;1933;ЛОЖЬ;0;;;;;;;1=FLAME ON;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20LI026_MOR;;COM;2000;A_2000;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;1238;;;;;;;0;;;;5920;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_001_7;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;463_1396_2;;;2000;P-2053;22VAHH098X_I;;ЛОЖЬ;ЛОЖЬ;;1396;;;;;;;0;;;;1785;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;2430_B;;;;;Signal 1;;ЛОЖЬ;ЛОЖЬ;;2430;;Float;;;;;0;;;;112;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;21BI321_MOR;;COM;2100;A_2000;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;788;;;;;;;0;;;;5921;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_001_7;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C255_4_C;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;255;;;;;;;0;;;;7305;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;912_1;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;912;;;;;;;0;;;;1432;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
