PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5
M;C1502_1_K;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1502;;;;;;;0;;;;993;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DI;91HS073A_P;;COM;901-10;A_90110;91XV073 OPEN;No;ИСТИНА;ИСТИНА;;398;;;;;;;0;;;;2169;ЛОЖЬ;33584;None;;;;;;1=OPEN (MOM);;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Input;EPKS_UCB;ESD_912_1;153
M;536_9;;;9100;;;;ЛОЖЬ;ЛОЖЬ;;536;;;;;;;0;;;;629;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;316_317_1;;;;;91PT081;;ЛОЖЬ;ЛОЖЬ;;317;;;;;;;0;;;;2644;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;91PI048_TF;;COM;9100;;TRANSM FAULT;No;ЛОЖЬ;ЛОЖЬ;;438;;;;;;;0;;;;2614;ИСТИНА;33889;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;954
BO;IB912_ESD1_DAY;;COM;;;DAY;No;ЛОЖЬ;ЛОЖЬ;;19;;Byte;;;;;0;;;;27;;0;;None;None;None;None;;;;;;;;;-XXXXX.X;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;10187
M;C624_1_C;;;9100;9100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;624;;;;;;;0;;;;580;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91PAHH752_FU;;COM;901-10;A_C90111;C9011001AX GAS PRS;No;ИСТИНА;ЛОЖЬ;;1500;;;;;;;0;;;;801;ИСТИНА;34099;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;805
DO;91HS815B_B2_IN_P;;COM;901-10;A_90110;CAP CTRL BIT 2;No;ИСТИНА;ЛОЖЬ;;628;;;;;;;0;;;;540;ЛОЖЬ;33986;None;;;;;;1=ACTIVE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;CC_UCB_1;ESD_912_1;101;;;;
R;325_324_2;;;9100;;91LI054;;ЛОЖЬ;ЛОЖЬ;;324;;Float;;;;;0;;;;620;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;606_1320_3;;;;;91PAH805_PERM;;ЛОЖЬ;ЛОЖЬ;;1320;;;;;;;0;;;;1710;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
