PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14
M;338_1002_3;;;2000;;FUEL GAS TO MAIN BURNERS;;ЛОЖЬ;ЛОЖЬ;;1002;;;;;;;0;;;;4657;ЛОЖЬ;0;;;;;;;1=OPEN;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;268_3;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;268;;;;;;;0;;;;2713;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C530_3_F;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;530;;;;;;;0;;;;3388;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20SIS210A_RR;;COM;2000;A_P20_2;P-2011S READY TO RESET;No;ЛОЖЬ;ЛОЖЬ;;972;;;;;;;0;;;;2810;ЛОЖЬ;0;None;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_2;1420
BO;21PI411B_L;;COM;2100;A_2000;L SETPOINT (kPa);No;ЛОЖЬ;ЛОЖЬ;;258;;Float;;;;;0;;;;1108;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_2;10254
M;275_2;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;275;;;;;;;0;;;;2648;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;350_900_2;;;2000;H-2005A;20HS300B_I;;ЛОЖЬ;ЛОЖЬ;;900;;;;;;;0;;;;2367;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;637_1098_3;;;2000;C-2004C;C-2004A LUBR PM2;;ЛОЖЬ;ЛОЖЬ;;1098;;;;;;;0;;;;571;ЛОЖЬ;0;;;;;;;1=RUNNING;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;21BALL414;;COM;2100;A_2000;BURNER 14 FLAME OUT;No;ЛОЖЬ;ЛОЖЬ;;273;;;;;;;0;;;;449;ИСТИНА;2028;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_2;536
M;838_1120_3;;;2000;;20PAHH308_I;;ЛОЖЬ;ЛОЖЬ;;1120;;;;;;;0;;;;5649;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;22HS478B_2;;LCP;2000;C-2004A;C-2004B EMERG.SD;Yes;ИСТИНА;ЛОЖЬ;;686;;;;;;;;;;;70;ИСТИНА;3316;None;;;;;;0=TRIP;0=TRIP;;;;;;Undefined;;;;02.03;9;15;1;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;View only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_2;2155
M;C609_1_G;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;609;;;;;;;0;;;;7357;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;21BI427_TF;;COM;2100;A_2000;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;286;;;;;;;0;;;;1812;ЛОЖЬ;0;None;;;;;;0=FAIL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_2;588
DI;22TI721_MOR;;COM;2200;A_C2004;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;726;;;;;;;0;;;;6272;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_001_2;2
DO;20HS020A_MOC;;COM;2000;C-2001;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;541;;;;;;;0;;;;7460;ИСТИНА;2136;None;;;;;;1=CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_2;2315
T;532_4;;;2000;C-2001;;;ЛОЖЬ;ЛОЖЬ;;532;;;;;;;;1 s;0;;956;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with variable timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;706_707_4;;;2000;C-2004C;SETPOINT_HH;;ЛОЖЬ;ЛОЖЬ;;707;;Float;;;;;0;;;;2048;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;436_3;;;2000;H-2005A;;;ЛОЖЬ;ЛОЖЬ;;436;;;;;;;0;;;;7722;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;206_348_2;;;2000;;20PALL362C_FL;;ЛОЖЬ;ЛОЖЬ;;348;;;;;;;0;;;;289;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;274_1;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;274;;;;;;;0;;;;798;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;752_902_1;;;2000;;SAFENET TO SM2;;ЛОЖЬ;ЛОЖЬ;;902;;;;;;;0;;;;2370;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C780_3_E;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;780;;;;;;;0;;;;6825;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;434_4;;;2000;H-2005A;;;ЛОЖЬ;ЛОЖЬ;;434;;;;;;;0;;;;4943;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22TI272_MOC;;COM;2200;A_C2001;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;568;;;;;;;0;;;;1253;ИСТИНА;2031;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_2;881
M;C832_4_C;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;832;;;;;;;0;;;;6141;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22TAHH671A_CA;;COM;2200;A_C2004;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;677;;;;;;;0;;;;6876;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_2;2223
M;C264_2_G;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;264;;;;;;;0;;;;4579;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;544_2;;;2000;C-2001;;;ЛОЖЬ;ЛОЖЬ;;544;;;;;;;0;;;;5885;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;286_420_1;;;2000;;21BALL427CA;;ЛОЖЬ;ЛОЖЬ;;420;;;;;;;0;;;;928;ЛОЖЬ;0;;;;;;;1=FLAME ON;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;317_384_2;;;2000;H-2005A;21PAH414_I;;ЛОЖЬ;ЛОЖЬ;;384;;;;;;;0;;;;4624;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;20PDI309_HH;;COM;2000;;HH TRIP SETPOINT (MPa);No;ЛОЖЬ;ЛОЖЬ;;840;;Float;;;;;0;;;;900;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_2;10255
M;C942_4_D;;;2200;2200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;942;;;;;;;0;;;;1699;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
