PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
M;C1468_1;;;3000;;Compiler marker (240, 198);;ЛОЖЬ;ЛОЖЬ;;1468;;;;;;;0;;;;3228;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;599_1170_1;;;;;Shutdown Sequence;;ЛОЖЬ;ЛОЖЬ;;1170;;;;;;;0;;;;4654;ЛОЖЬ;0;;;;;;;1=ACTIVE;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C510_4_E;;;3000;3000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;510;;;;;;;0;;;;5690;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C291_2_F;;;3000;3000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;291;;;;;;;0;;;;6405;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C530_3_F;;;3000;3000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;530;;;;;;;0;;;;2301;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;380_11;;;3000;;;;ЛОЖЬ;ЛОЖЬ;;380;;;;;;;0;;;;5912;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;30HS319;;COM;3000;A_3000;RESET I-019;No;ЛОЖЬ;ИСТИНА;;394;;;;;;;0;;;;3421;ИСТИНА;19002;None;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;Input;EPKS_CCB;ESD_301_1;30;;;;;;;;;;;;
DO;30TI896A_TF;;COM;3000;A_3000;TRANSM FAIL;No;ЛОЖЬ;ЛОЖЬ;;412;;;;;;;0;;;;5862;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;Output;EPKS_CCB;ESD_301_1;1678;;;;;;;;;;;;
M;C1213_3_G;;;3000;3000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1213;;;;;;;0;;;;5281;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;547_4;;;3000;H3001;;;ЛОЖЬ;ЛОЖЬ;;547;;;;;;;0;;;;5358;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
