PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11
DO;73TI068A3_MOC;;COM;730-30;A_C73031;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;917;;;;;;;0;;;;2662;ИСТИНА;13803;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73ZSHH001A_MOC;;COM;730-30;A_C73031;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;931;;;;;;;0;;;;4913;ИСТИНА;13889;None;;;;;;1=CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;447_5;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;447;;;;;;;0;;;;476;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;545_94_1;;;730-30;;73PI149;;ЛОЖЬ;ЛОЖЬ;;94;;;;;;;0;;;;1913;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74PDAHH912_CA;;COM;740-20;A_C74021;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;625;;;;;;;0;;;;5500;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;699_1513_4;;;;;74PI802 TF;;ЛОЖЬ;ЛОЖЬ;;1513;;;;;;;0;;;;5136;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C693_6_G;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;693;;;;;;;0;;;;6471;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C555_3_B;;;C7303001;C7303001;Function block marker;;ЛОЖЬ;ЛОЖЬ;;555;;;;;;;0;;;;5456;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73PAH159;;COM;730-30;;HI ALARM;No;ЛОЖЬ;ЛОЖЬ;;541;;;;;;;0;;;;1897;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;2035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C463_4_E;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;463;;;;;;;0;;;;5618;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;7-ControllerFault;;SYS;;;FSC CONTROLLER FAULT;Yes;ЛОЖЬ;;;16;;;;;;;;;;;20;ИСТИНА;13800;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74VSHH878B_FU;;COM;740-20;;C-7402002BX EMERGENCY SD;No;ЛОЖЬ;ЛОЖЬ;;1031;;;;;;;0;;;;3557;ЛОЖЬ;0;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
