PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11
DO;73XY034A;;MCC;730-30;;EXPANSION TURBINE;Yes;ИСТИНА;ЛОЖЬ;;435;;;;;;;0;;;;94;ИСТИНА;13863;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;07.08;13;7;1;Appl;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C443_2_C;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;443;;;;;;;0;;;;706;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73TAH068B1;;COM;C7303001;;HI ALARM;No;ЛОЖЬ;ЛОЖЬ;;963;;;;;;;0;;;;2473;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;2058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74TI861C_TF;;COM;740-20;A_C74021;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;587;;;;;;;0;;;;1989;ИСТИНА;13864;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73TAHH132_FU;;COM;730-30;;С-7303001 EMERGENCY SD;No;ЛОЖЬ;ЛОЖЬ;;1047;;;;;;;0;;;;4434;ЛОЖЬ;0;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;73TI066B;;FLD;730-30;A_C73031;C7303001B W DE WINDING;Yes;ИСТИНА;ЛОЖЬ;;969;ИСТИНА;Float;4-20mA;0;160;°C;;;;;272;ЛОЖЬ;15286;;None;None;None;None;;;;-40;-40;;;;-XXXXX.X;3.76;21;;07.05;3;1;1;Top scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;Output;EPKS_UCB;ESD_002_1;10105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;73VAH002A2;;BNS;730-30;A_C73031;C7303001A COUNT VIB Y;Yes;ИСТИНА;ЛОЖЬ;;929;;;;;;;;;;;125;ИСТИНА;13865;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;07.03;15;6;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;Output;EPKS_UCB;ESD_002_1;1223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;318_3;;;740-20;;;;ЛОЖЬ;ЛОЖЬ;;318;;;;;;;0;;;;1442;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;73HS083B;;COM;730-30;A_73030;RESET;No;ЛОЖЬ;ИСТИНА;;475;;;;;;;0;;;;3803;ИСТИНА;13866;None;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;Input;EPKS_UCB;ESD_002_1;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73TI104B_MOC;;COM;730-30;A_73030;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;461;;;;;;;0;;;;1739;ИСТИНА;13867;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;957_2;;;C7303001;;;;ЛОЖЬ;ЛОЖЬ;;957;;;;;;;;100 ms;5;;500;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;641_6;;;C742001;;;;ЛОЖЬ;ЛОЖЬ;;641;;;;;;;0;;;;5098;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C727_1_D;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;727;;;;;;;0;;;;393;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;551_2;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;551;;;;;;;0;;;;1935;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73PI105A_TF;;COM;730-30;A_C73031;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;909;;;;;;;0;;;;2643;ИСТИНА;13868;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;73TI089B;;FLD;730-30;A_C73031;C7303001B COOLER;Yes;ИСТИНА;ЛОЖЬ;;961;ИСТИНА;Float;4-20mA;0;160;°C;;;;;304;ЛОЖЬ;15298;;None;None;None;None;;;;-40;-40;;;;-XXXXX.X;3.76;21;;07.05;3;9;1;Top scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;Output;EPKS_UCB;ESD_002_1;10117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74VSHH802A_FU;;COM;740-20;;C-7402002AX EMERGENCY SD;No;ЛОЖЬ;ЛОЖЬ;;1019;;;;;;;0;;;;3440;ЛОЖЬ;0;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C971_6_F;;;C7303001;C7303001;Function block marker;;ЛОЖЬ;ЛОЖЬ;;971;;;;;;;0;;;;5370;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C709_8_G;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;709;;;;;;;0;;;;6397;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;721_5;;;C742002;;;;ЛОЖЬ;ЛОЖЬ;;721;;;;;;;0;;;;5170;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74VAH954AB;;COM;740-20;A_C74022;1oo2 PRE ALARM;No;ЛОЖЬ;ЛОЖЬ;;795;;;;;;;0;;;;2337;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;1140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73TAHH067B_CA;;COM;730-30;A_C73031;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;971;;;;;;;0;;;;2883;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74ZSHH906_MOC;;COM;740-20;A_C74021;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;651;;;;;;;0;;;;5023;ИСТИНА;14121;None;;;;;;1=CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C324_4_C;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;324;;;;;;;0;;;;6001;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1011_2_K;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1011;;;;;;;0;;;;3329;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C439_3_C;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;439;;;;;;;0;;;;715;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73TAHH068A2_FU;;COM;730-30;;С-7303001A EMERGENCY SD;No;ЛОЖЬ;ЛОЖЬ;;1053;;;;;;;0;;;;4451;ЛОЖЬ;0;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74TAH877;;COM;740-20;;HI ALARM;No;ЛОЖЬ;ЛОЖЬ;;738;;;;;;;0;;;;5200;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;2110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;91HS852B;;PNL;901-10;A_90110;ESD MOS REL A 90110;Yes;ИСТИНА;ЛОЖЬ;;171;;;;;;;;;;;81;ЛОЖЬ;13871;None;;;;;;1=RELEASED;;;;;;;Undefined;491;3428;;07.03;11;10;1;Hold;;;;ЛОЖЬ;;;;ЛОЖЬ;;Output;EPKS_UCB;ESD_002_1;1428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;971_4;;;C7303001;;;;ЛОЖЬ;ЛОЖЬ;;971;;;;;;;;100 ms;5;;944;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1031_11;;;740-20;;;;ЛОЖЬ;ЛОЖЬ;;1031;;;;;;;0;;;;3551;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;74VSHH954A;;BNS;740-20;A_C74022;C7402002CX VIB 2 STEP X;Yes;ИСТИНА;ЛОЖЬ;;795;;;;;;;;;;;270;ИСТИНА;13872;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;07.10;7;7;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;Output;EPKS_UCB;ESD_002_1;1339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;73TI068B1_HH;;COM;730-30;A_C73031;HH TRIP SETPOINT (°C);No;ЛОЖЬ;ЛОЖЬ;;963;;Float;;;;;0;;;;822;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;10265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C543_1_G;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;543;;;;;;;0;;;;5589;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C635_8_F;;;C742001;C742001;Function block marker;;ЛОЖЬ;ЛОЖЬ;;635;;;;;;;0;;;;6504;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C787_7_D;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;787;;;;;;;0;;;;6227;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1009_1_M;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1009;;;;;;;0;;;;3337;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;405_3;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;405;;;;;;;;100 ms;10;;1328;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;73TI029B_LL;;COM;730-30;A_73030;LL TRIP SETPOINT (°C);No;ЛОЖЬ;ЛОЖЬ;;457;;Float;;;;;0;;;;444;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;10245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;701_6;;;C742002;;;;ЛОЖЬ;ЛОЖЬ;;701;;;;;;;0;;;;5131;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C606_1_D;;;C742001;C742001;Function block marker;;ЛОЖЬ;ЛОЖЬ;;606;;;;;;;0;;;;5707;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;913_6;;;C7303001;;;;ЛОЖЬ;ЛОЖЬ;;913;;;;;;;;100 ms;5;;856;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;707_5;;;C742002;;;;ЛОЖЬ;ЛОЖЬ;;707;;;;;;;0;;;;5185;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;00XS002E01FAN;;CAB;;S_B002;CB002 ESD-01 ALARM FAN;Yes;ИСТИНА;ЛОЖЬ;;18;;;;;;;;;;;2;ИСТИНА;13873;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;07.03;1;11;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;Output;EPKS_UCB;ESD_002_1;1203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;766_767_1;;;C742002;;C7402002BX EM. STOP;;ЛОЖЬ;ЛОЖЬ;;767;;;;;;;0;;;;3507;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C731_1;;;C742002;;Compiler marker (248, 60);;ЛОЖЬ;ЛОЖЬ;;731;;;;;;;0;;;;5931;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C721_4_B;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;721;;;;;;;0;;;;5364;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;555_104_4;;;C7303001;;73VSHH006;;ЛОЖЬ;ЛОЖЬ;;104;;;;;;;0;;;;4984;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73TI029A_MOC;;COM;730-30;A_73030;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;419;;;;;;;0;;;;1525;ИСТИНА;13874;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;74TI924;;FLD;740-20;A_C74021;C7402001SX FEED OIL;Yes;ИСТИНА;ЛОЖЬ;;623;ИСТИНА;Float;4-20mA;0;100;°C;;;;;444;ЛОЖЬ;15361;;None;None;None;None;;;;-25;-25;;;;-XXXXX.X;3.76;21;;07.05;7;10;1;Top scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;Output;EPKS_UCB;ESD_002_1;10180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C738_3_D;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;738;;;;;;;0;;;;6355;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;799_1039_1;;;C742002;;74VAHH952A_I;;ЛОЖЬ;ЛОЖЬ;;1039;;;;;;;0;;;;3719;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;533_1502_3;;;730-30;;73PI143 TF;;ЛОЖЬ;ЛОЖЬ;;1502;;;;;;;0;;;;281;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;583_6;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;583;;;;;;;;100 ms;5;;1612;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74TALL078_CA;;COM;740-20;;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;328;;;;;;;0;;;;1225;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73PALL143_CA;;COM;730-30;A_C73032;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;533;;;;;;;0;;;;1690;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;915_1504_3;;;C7303001;;73TI068A2 TF;;ЛОЖЬ;ЛОЖЬ;;1504;;;;;;;0;;;;2895;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;328_5;;;740-20;;;;ЛОЖЬ;ЛОЖЬ;;328;;;;;;;0;;;;5890;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74UY881_1_F;;COM;;;LINE FAULT;No;ЛОЖЬ;ЛОЖЬ;;1556;;;;;;;0;;;;270;ИСТИНА;15115;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;2206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C705_7_E;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;705;;;;;;;0;;;;6417;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C806_2_D;;;C742002;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;806;;;;;;;0;;;;670;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73TAH067A;;COM;C7303001;;HI ALARM;No;ЛОЖЬ;ЛОЖЬ;;921;;;;;;;0;;;;2283;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;2040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74XY878C;;DCS;C742002;;C-7402002CX EM.STOP;Yes;ИСТИНА;ЛОЖЬ;;767;;;;;;;0;;;;301;ИСТИНА;14661;None;;;;;;0=TRIP;;;;;;;Undefined;;;;07.07;17;6;1;Appl;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74TI861B2_TF;;COM;730-30;;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;585;;;;;;;0;;;;3648;ИСТИНА;14544;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;2134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74PALL844_CA;;COM;730-30;;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;571;;;;;;;0;;;;1967;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C606_1_C;;;C742001;C742001;Function block marker;;ЛОЖЬ;ЛОЖЬ;;606;;;;;;;0;;;;5706;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1049_1043_1;;;730-30;;FIRST OUT SEQUENCE;;ЛОЖЬ;ЛОЖЬ;;1043;;;;;;;0;;;;4543;ЛОЖЬ;0;;;;;;;1=FU ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74TAHH831A_FU;;COM;740-20;;C-7402002AX EMERGENCY SD;No;ЛОЖЬ;ЛОЖЬ;;1017;;;;;;;0;;;;3420;ЛОЖЬ;0;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;745_763_2;;;C742002;;74TAHH906B_I;;ЛОЖЬ;ЛОЖЬ;;763;;;;;;;0;;;;2533;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73TAH066B;;COM;C7303001;;HI ALARM;No;ЛОЖЬ;ЛОЖЬ;;969;;;;;;;0;;;;2402;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;2052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
