FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
919;ESD_002_1_FLD0919;C-7303001A-73TI066A;C7303001;;ЛОЖЬ;;Program block;ESD_002_1;;;19.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1512;ESD_002_1_FLD1512;TF FOR C-7402002AX;;;ЛОЖЬ;;Program block;ESD_002_1;;;19.09.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
986;ESD_002_1_FLD0986;C-7303001B-73-I-702-502;C7303001;;ЛОЖЬ;;Program block;ESD_002_1;;;25.06.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
583;ESD_002_1_FLD0583;C-7402001AX-74TI861A;730-30;;ЛОЖЬ;;Program block;ESD_002_1;;;12.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
959;ESD_002_1_FLD0959;C-7303001B-73PI105B;C7303001;;ЛОЖЬ;;Program block;ESD_002_1;;;22.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
913;ESD_002_1_FLD0913;C-7303001A-73TI068A1;C7303001;;ЛОЖЬ;;Program block;ESD_002_1;;;19.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1509;ESD_002_1_FLD1509;TF FOR C-7402001AX NEW;;;ЛОЖЬ;;Program block;ESD_002_1;;;26.10.2020;;;Sysdtlsmflda;Sysdtlsmflda_fp;
439;ESD_002_1_FLD0439;AS-7303001-73XY120A  (A);730-30;;ЛОЖЬ;;Program block;ESD_002_1;;;08.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
728;ESD_002_1_FLD0728;C-7402002AX-74-I-703-503;;;ЛОЖЬ;;Program block;ESD_002_1;;;14.04.2021;;;Sysdtlsmflda;Sysdtlsmflda_fp;
302;ESD_002_1_FLD0302;74-I-034 GR SD 74HS015/16/17;740-20;;ЛОЖЬ;;Program block;ESD_002_1;;;04.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2456;ESD_002_1_FLD2456;XooY-1 VOTING;;;ЛОЖЬ;;Function block;ESD_002_1;;;29.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1558;ESD_002_1_FLD1558;DO LINE MONITORING;;;ЛОЖЬ;;Program block;ESD_002_1;;;15.05.2021;;;Sysdtlsmflda;Sysdtlsmflda_fp;
374;ESD_002_1_FLD0374;TRIP   P-7402005CX;740-20;;ЛОЖЬ;;Program block;ESD_002_1;;;05.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1526;ESD_002_1_FLD1526;TF FOR C-7303001A NEW;730-30;;ЛОЖЬ;;Program block;ESD_002_1;;;19.10.2020;;;Sysdtlsmflda;Sysdtlsmflda_fp;
403;ESD_002_1_FLD0403;AS-7303001-TI058;730-30;;ЛОЖЬ;;Program block;ESD_002_1;;;08.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
731;ESD_002_1_FLD0731;C-7402002BX-74PI889;C742002;;ЛОЖЬ;;Program block;ESD_002_1;;;17.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
741;ESD_002_1_FLD0741;C-7402002BX-74TI891;C742002;;ЛОЖЬ;;Program block;ESD_002_1;;;17.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
641;ESD_002_1_FLD0641;C-7402001SX-74TI939;C742001;;ЛОЖЬ;;Program block;ESD_002_1;;;16.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
314;ESD_002_1_FLD0314;74-I-030  HH 74TI901;740-20;;ЛОЖЬ;;Program block;ESD_002_1;;;04.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
555;ESD_002_1_FLD0555;C-7303001-73-VAHH-005, 6;C7303001;;ЛОЖЬ;;Program block;ESD_002_1;;;16.02.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
733;ESD_002_1_FLD0733;C-7402002BX-74TI894;C742002;;ЛОЖЬ;;Program block;ESD_002_1;;;17.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2499;ESD_002_1_FLD2499;X IN Y  VOTING;;;ЛОЖЬ;;Function block;ESD_002_1;;;29.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
977;ESD_002_1_FLD0977;C-7303001B-X/Y VIBR 001B1/2;C7303001;;ЛОЖЬ;;Program block;ESD_002_1;;;22.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
415;ESD_002_1_FLD0415;AS-7303001-PI125A  (A);730-30;;ЛОЖЬ;;Program block;ESD_002_1;;;05.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
447;ESD_002_1_FLD0447;AS-7303001-73SSLL001A  (A);730-30;;ЛОЖЬ;;Program block;ESD_002_1;;;09.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
165;ESD_002_1_FLD0165;MOS ENABLE AREA  880-14;;;ЛОЖЬ;;Program block;ESD_002_1;;;29.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1015;ESD_002_1_FLD1015;C-7402002AX First-Up;740-20;;ЛОЖЬ;;Program block;ESD_002_1;;;06.06.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
961;ESD_002_1_FLD0961;C-7303001B-73TI089B;C7303001;;ЛОЖЬ;;Program block;ESD_002_1;;;22.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
773;ESD_002_1_FLD0773;C-7402002CX-74TI969;C742002;;ЛОЖЬ;;Program block;ESD_002_1;;;18.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
983;ESD_002_1_FLD0983;C-7303001B-VAHH-TAHH;C7303001;;ЛОЖЬ;;Program block;ESD_002_1;;;22.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1515;ESD_002_1_FLD1515;TF FOR C-7402002BX;740-20;;ЛОЖЬ;;Program block;ESD_002_1;;;30.10.2020;;;Sysdtlsmflda;Sysdtlsmflda_fp;
999;ESD_002_1_FLD0999;C-7402001AX First-Up;740-20;;ЛОЖЬ;;Program block;ESD_002_1;;;04.06.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
905;ESD_002_1_FLD0905;C-7303001A-73PDT104A;C7303001;;ЛОЖЬ;;Program block;ESD_002_1;;;18.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
112;ESD_002_1_FLD0112;MOS ACTIVE LAMP C-7402001;;;ЛОЖЬ;;Program block;ESD_002_1;;;16.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
114;ESD_002_1_FLD0114;MOS ACTIVE LAMP C-7402001;740-20;;ЛОЖЬ;;Program block;ESD_002_1;;;23.09.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
457;ESD_002_1_FLD0457;AS-7303001-TI029B (B);730-30;;ЛОЖЬ;;Program block;ESD_002_1;;;09.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1522;ESD_002_1_FLD1522;TF FOR P-7303001B2;730-30;;ЛОЖЬ;;Program block;ESD_002_1;;;16.10.2020;;;Sysdtlsmflda;Sysdtlsmflda_fp;
300;ESD_002_1_FLD0300;74-I-034 GR SD 74HS013/14;740-20;;ЛОЖЬ;;Program block;ESD_002_1;;;04.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
578;ESD_002_1_FLD0578;C-7402001AX-74TI832 PREALARM;;;ЛОЖЬ;;Program block;ESD_002_1;;;26.10.2020;;;Sysdtlsmflda;Sysdtlsmflda_fp;
