PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5
DO;93GT201_B2;;COM;;;Bit 2;No;ЛОЖЬ;ЛОЖЬ;;310;;;;;;;0;;;;186;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_931_1;694;;;;;;;;;;;;
M;100_166_6;;;;;93HS399;;ЛОЖЬ;ЛОЖЬ;;166;;;;;;;0;;;;2765;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;93HS679_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;126;;;;;;;0;;;;322;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_931_1;827;;;;;;;;;;;;
M;C2470_1;;;;;Compiler marker (168, 157);;ЛОЖЬ;ЛОЖЬ;;2470;;;;;;;0;;;;96;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DI;93YT201_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;240;;;;;;;0;;;;3411;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;;;;;;;;Freeze;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;Input;EPKS_CCB;FGS_931_1;68;;;;;;;;;;;;
M;C145_11;;;;;Compiler marker (256, 223);;ЛОЖЬ;ЛОЖЬ;;145;;;;;;;0;;;;2615;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;132_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;132;;;;;;;0;;;;2108;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;2464_F;;;;;DCS Bit 1 (1=cmdCLOSE);;ЛОЖЬ;ЛОЖЬ;;2464;;;;;;;0;;;;1780;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C740_5_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;740;;;;;;;0;;;;1817;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;93PT294B_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;175;;;;;;;0;;;;472;ИСТИНА;62186;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_931_1;876;;;;;;;;;;;;
