FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
550;ESD_001_8_FLD0550;AUTO CLOSE 20XV434A;;;ЛОЖЬ;;Program block;ESD_001_8;;;28.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
306;ESD_001_8_FLD0306;20HS433B;;;ЛОЖЬ;;Program block;ESD_001_8;;;12.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
310;ESD_001_8_FLD0310;AUTO CLOSE 20XV433B;;;ЛОЖЬ;;Program block;ESD_001_8;;;14.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
544;ESD_001_8_FLD0544;20PI926;;;ЛОЖЬ;;Program block;ESD_001_8;;;22.04.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
105;ESD_001_8_FLD0105;MOS 2oo8;;;ЛОЖЬ;;Program block;ESD_001_8;;;25.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1356;ESD_001_8_FLD1356;SECOND STAGE DEPRESSURE FU;;;ЛОЖЬ;;Program block;ESD_001_8;;;29.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2432;ESD_001_8_FLD2432;LOW/HIGH TRIP WITH MO + BAD PV;;;ЛОЖЬ;;Function block;ESD_001_8;;;21.04.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
103;ESD_001_8_FLD0103;MOS 2oo8;;;ЛОЖЬ;;Program block;ESD_001_8;;;21.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
20;ESD_001_8_FLD0020;SAFENET CONTROL;2000;;ЛОЖЬ;;Program block;ESD_001_8;;;12.04.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
5;ESD_001_8_FLD0005;LEGEND 04;;;ЛОЖЬ;;Comment block;;;;12.04.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2482;ESD_001_8_FLD2482;Min-Max;;;ЛОЖЬ;;Function block;ESD_001_8;;;22.11.2022;;;Sysdtlsmflda;Sysdtlsmflda_fp;
354;ESD_001_8_FLD0354;INTERLOCK 20-I-210;;;ЛОЖЬ;;Program block;ESD_001_8;;;12.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
275;ESD_001_8_FLD0275;TEMP 20TI817;;;ЛОЖЬ;;Program block;ESD_001_8;;;21.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
289;ESD_001_8_FLD0289;AVG 20TI822/823 TO 20DT649;;;ЛОЖЬ;;Program block;ESD_001_8;;;31.07.2016;;;Sysdtlsmflda;Sysdtlsmflda_fp;
104;ESD_001_8_FLD0104;MOS 2oo8;;;ЛОЖЬ;;Program block;ESD_001_8;;;25.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2311;ESD_001_8_FLD2311;MOS REQUEST AREA 2000-2;;;ЛОЖЬ;;Function block;ESD_001_8;;;12.04.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
515;ESD_001_8_FLD0515;AVG 20TI910/911 TO 20DT635;;;ЛОЖЬ;;Program block;ESD_001_8;;;31.07.2016;;;Sysdtlsmflda;Sysdtlsmflda_fp;
516;ESD_001_8_FLD0516;TEMP 20TI912;;;ЛОЖЬ;;Program block;ESD_001_8;;;22.04.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
258;ESD_001_8_FLD0258;TEMP 20TI808;;;ЛОЖЬ;;Program block;ESD_001_8;;;20.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
656;ESD_001_8_FLD0656;1oo2 20FI063 & 20FI064;;;ЛОЖЬ;;Program block;ESD_001_8;;;24.06.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
7;ESD_001_8_FLD0007;LEGEND 06;;;ЛОЖЬ;;Comment block;;;;12.04.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
517;ESD_001_8_FLD0517;TEMP 20TI913;;;ЛОЖЬ;;Program block;ESD_001_8;;;25.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
404;ESD_001_8_FLD0404;H2001/2003/C2003ABS ACTION;;;ЛОЖЬ;;Program block;ESD_001_8;;;13.05.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
