FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
374;FGS_551_1_FLD0374;H-6052 Common Alarm Fl.GD;;;ЛОЖЬ;;Program block;FGS_551_1;;;21.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2465;FGS_551_1_FLD2465;BINARY CODING FUNCTION;;;ЛОЖЬ;;Function block;FGS_551_1;;;18.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
480;FGS_551_1_FLD0480;PH-55-1 Fan B2A;;;ЛОЖЬ;;Program block;FGS_551_1;;;22.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
542;FGS_551_1_FLD0542;6000-1 T.Gas detector 60GT101;;;ЛОЖЬ;;Program block;FGS_551_1;;;23.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
616;FGS_551_1_FLD0616;PH-60-1 Common Alarm T.GD;;;ЛОЖЬ;;Program block;FGS_551_1;;;23.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
390;FGS_551_1_FLD0390;6050-2 Fl.Gas detector 60GT315;;;ЛОЖЬ;;Program block;FGS_551_1;;;21.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
662;FGS_551_1_FLD0662;6050-1 T.Gas detector 60GT310;;;ЛОЖЬ;;Program block;FGS_551_1;;;23.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
522;FGS_551_1_FLD0522;5500-2 T.Gas detector 55GT106;;;ЛОЖЬ;;Program block;FGS_551_1;;;22.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
582;FGS_551_1_FLD0582;H-6052 T.Gas detector 60GT109;;;ЛОЖЬ;;Program block;FGS_551_1;;;23.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
694;FGS_551_1_FLD0694;6050-2 Howlers & Beacons-Sh2;;;ЛОЖЬ;;Program block;FGS_551_1;;;23.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2407;FGS_551_1_FLD2407;TG Detector - Polytron 7000;;;ЛОЖЬ;;Function block;FGS_551_1;;;22.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
336;FGS_551_1_FLD0336;5500-2 Howlers & Beacons;;;ЛОЖЬ;;Program block;FGS_551_1;;;21.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2463;FGS_551_1_FLD2463;FGS Fan Commands and Control;;;ЛОЖЬ;;Function block;FGS_551_1;;;22.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
502;FGS_551_1_FLD0502;5500-1 T.Gas detector 55GT104;;;ЛОЖЬ;;Program block;FGS_551_1;;;22.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
552;FGS_551_1_FLD0552;6000-1 Howlers & Beacons;;;ЛОЖЬ;;Program block;FGS_551_1;;;23.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
21;FGS_551_1_FLD0021;Common System Faults-Sh2;;;ЛОЖЬ;;Program block;FGS_551_1;;;18.09.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
854;FGS_551_1_FLD0854;IB-55-1 Common T.GAS Alarm;;;ЛОЖЬ;;Program block;FGS_551_1;;;01.10.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
