PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
M;C378_5_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;378;;;;;;;0;;;;4581;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;C2456_10;;;;;Compiler register (256, 276);;ЛОЖЬ;ЛОЖЬ;;2456;;Float;;;;;0;;;;372;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;93PAHH876_CA;;COM;930-20;A_C93021;CAUSE ALARM;No;ИСТИНА;ЛОЖЬ;;702;;;;;;;0;;;;1449;ЛОЖЬ;37002;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;600;;;;;;;;
M;298_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;298;;;;;;;0;;;;502;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;540_813_2;;;;;93PAL833_PERM;;ЛОЖЬ;ЛОЖЬ;;813;;;;;;;0;;;;4064;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1031_12;;;;;;;ЛОЖЬ;ЛОЖЬ;;1031;;;;;;;0;;;;3684;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;93TAHH867;;COM;930-20;A_C93021;C9302001CX TMP GAS CYL2;No;ИСТИНА;ЛОЖЬ;;718;;;;;;;0;;;;1499;ИСТИНА;37003;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;761;;;;;;;;
M;C364_5_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;364;;;;;;;0;;;;3559;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C252_7_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;252;;;;;;;0;;;;3905;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;93PALL776_FU;;COM;930-20;A_C93021;C9302001AX PRS OIL CKC;No;ИСТИНА;ЛОЖЬ;;1007;;;;;;;0;;;;2199;ЛОЖЬ;38225;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;1066;;;;;;;;
BO;93LI415_LL;;COM;930-20;A_93020;LL TRIP SETPOINT (%);No;ИСТИНА;ЛОЖЬ;;260;;Float;;;;;0;;;;616;;38103;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;10190;;;;;;;;
M;300_1053_3;;;;;93HS551A_I;;ЛОЖЬ;ЛОЖЬ;;1053;;;;;;;0;;;;2569;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;93ZALL854;;COM;930-20;A_C93021;C9302001CX LSW FLYW PCOV;No;ИСТИНА;ЛОЖЬ;;730;;;;;;;0;;;;1516;ИСТИНА;37783;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;900;;;;;;;;
DO;93PILL827A_CA;;COM;;;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;538;;;;;;;0;;;;3330;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;1224;;;;;;;;
DO;93LALL413_1;;COM;;;;No;ИСТИНА;ЛОЖЬ;;258;;;;;;;0;;;;70;ЛОЖЬ;38075;None;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;935;;;;;;;;
M;C562_4_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;562;;;;;;;0;;;;4376;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;93LI428;;FLD;930-20;A_93020;L. B-9302002C;Yes;ИСТИНА;ЛОЖЬ;;278;ИСТИНА;Float;4-20mA;0;100;%;;;;;400;ЛОЖЬ;38444;;None;None;None;None;;;;;;;;;-XXXXX.X;3.64;22;;20.04;7;16;1;Bottom scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;10326;;;;;;;;
AI;93TI929;;FLD;930-20;A_C93021;C-9302001 COOL WATER SUP;Yes;ИСТИНА;ЛОЖЬ;;404;ИСТИНА;Float;4-20mA;-50;100;°C;;;;;452;ЛОЖЬ;37018;;None;None;None;None;;;;-87.5;-87.5;;;;-XXXXX.X;3.76;21;;20.04;9;12;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;10163;;;;;;;;
M;C300_2_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;300;;;;;;;0;;;;48;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;93XY444_C;;COM;;;AUTO CLOSURE 93XV444;No;ИСТИНА;ЛОЖЬ;;264;;;;;;;0;;;;1798;ИСТИНА;37020;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;1017;;;;;;;;
AI;93TI984;;FLD;930-20;A_P93020;HERM GLASS P-9302001BX;Yes;ИСТИНА;ЛОЖЬ;;294;ИСТИНА;Float;4-20mA;-50;120;°C;;;;;236;ЛОЖЬ;37023;;None;None;None;None;;;;-92.5;-92.5;;;;-XXXXX.X;3.76;21;;20.04;3;9;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;10168;;;;;;;;
DO;93XY516;;MCC;930-20;A_93020;EM.STOP AM-93020012AX;Yes;ИСТИНА;ЛОЖЬ;;300;;;;;;;0;;;;123;ИСТИНА;37006;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;20.06;5;4;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_932_1;1043;;;;;;;;
M;C376_4_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;376;;;;;;;0;;;;4589;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
