PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14;ComAllocationType15;Master15;Slave15;PLCAddress15;ComAllocationType16;Master16;Slave16;PLCAddress16;ComAllocationType17;Master17;Slave17;PLCAddress17;ComAllocationType18;Master18;Slave18;PLCAddress18
DI;FGS_001_2.20XA489A;;FSC;;;LP DV automatically act.-FDAP-C,F lamp;Yes;ИСТИНА;ЛОЖЬ;;175;;;;;;;0;;;;2543;ЛОЖЬ;42127;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;FGS_001_1;FGS_001_2;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58XA089AF;;FFB;;;DEL.VLV. 58XV-089 AUTOMATIC. ACTIVATED;No;ИСТИНА;ЛОЖЬ;;149;;;;;;;0;;;;1307;ЛОЖЬ;43518;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.18;11;4;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;1696;;;;;;;;;;;;;;;;
DO;20XA978C;;G01;;;FLAMMABLE GAS COMMON ALARM IN SECT. 2000-4;No;ИСТИНА;ЛОЖЬ;;166;;;;;;;0;;;;94;ЛОЖЬ;42758;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.06;3;7;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;787;;;;;;;;;;;;;;;;
M;C180_7_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;180;;;;;;;0;;;;7238;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;434_6;;;;;;;ЛОЖЬ;ЛОЖЬ;;434;;;;;;;0;;;;540;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;147_19;;;;;;;ЛОЖЬ;ЛОЖЬ;;147;;;;;;;0;;;;1673;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C420_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;420;;;;;;;0;;;;2139;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;FGS_411_1.41XA392_1;;FSC;;;Fl.GD act. in IB-41-1-GDAP-C,F,G lamp;Yes;ИСТИНА;ЛОЖЬ;;516;;;;;;;0;;;;3260;ЛОЖЬ;42395;None;;;;;;PULSE=ALARM;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;FGS_001_1;FGS_411_1;108;;;;;;;;;;;;;;;;;;;;
M;C495_1_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;495;;;;;;;0;;;;3443;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XL997CB;;G01;;;FGS MOS ACTIVATED / RELEASED AREA CH-20-1;No;ИСТИНА;ЛОЖЬ;;207;;;;;;;0;;;;97;ЛОЖЬ;42773;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.06;5;10;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;802;;;;;;;;;;;;;;;;
DO;30XZLC059C;;F01;;;Задвижка закрыта (CLOSED);No;ИСТИНА;ЛОЖЬ;;920;;;;;;;0;;;;1065;ЛОЖЬ;43376;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.16;11;2;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;1514;;;;;;;;;;;;;;;;
M;C764_1_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;764;;;;;;;0;;;;2311;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;00XS001G05TMP;;CAB;;;CB00-1 COMM.ALARM FGS-05 TEMP SWITCH;Yes;ИСТИНА;ЛОЖЬ;;22;;;;;;;;;;;4;ИСТИНА;43921;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;31.03;1;13;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;429;;;;;;;;;;;;;;;;
M;108_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;108;;;;;;;0;;;;3024;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;10XL241AA;;G01;;;FGS MOS ENABLED AREA 1000;No;ИСТИНА;ЛОЖЬ;;801;;;;;;;0;;;;280;ЛОЖЬ;42882;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.07;13;1;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;925;;;;;;;;;;;;;;;;
M;141_10;;;;;;;ЛОЖЬ;ЛОЖЬ;;141;;;;;;;0;;;;2834;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;146_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;146;;;;;;;0;;;;1386;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;247_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;247;;;;;;;0;;;;1539;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C170_3_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;170;;;;;;;0;;;;7310;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;62_124_4;;;;;FGS_001_2.FGS_001_1_SnS1;;ЛОЖЬ;ЛОЖЬ;;124;;;;;;;0;;;;2837;ЛОЖЬ;0;;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;FGS_001_2.20HS866F;;FSC;;;Ack for fire H&B (CH-20-1) (FDAP-C);Yes;ЛОЖЬ;ЛОЖЬ;;200;;;;;;;0;;;;853;ЛОЖЬ;0;None;;;;;;1=ACK;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;FGS_001_1;FGS_001_2;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;31-ExtComFaultCC6;;SYS;;;Ext com fault Com ch 6;Yes;ЛОЖЬ;;;20;;;;;;;;;;;11;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;1918;;;;;;;;;;;;;;;;
DI;FGS_431_1.43XA599A_1;;FSC;;;Fl.GD act. in 430-15-GDAP-C,F,G lamp;Yes;ИСТИНА;ЛОЖЬ;;697;;;;;;;0;;;;5470;ЛОЖЬ;42446;None;;;;;;PULSE=ALARM;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;FGS_001_1;FGS_431_1;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20HS991C2;;F01;;;FGS MOS RELEASE AREA 2000-3;Yes;ИСТИНА;ЛОЖЬ;;130;;;;;;;;;;;160;ИСТИНА;42626;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.12;1;9;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;617;;;;;;;;;;;;;;;;
DI;43HS599G;;F01;;;Button  43HS599G;No;ИСТИНА;ЛОЖЬ;;690;;;;;;;;;;;237;ИСТИНА;42677;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.12;9;6;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;678;;;;;;;;;;;;;;;;
M;C181_1_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;181;;;;;;;0;;;;7614;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C764_2_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;764;;;;;;;0;;;;2312;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;FGS_001_2.20XZLC551A;;FSC;;;SCV closed-FDAP-C,F lamp;Yes;ИСТИНА;ЛОЖЬ;;315;;;;;;;0;;;;2624;ЛОЖЬ;42233;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;FGS_001_1;FGS_001_2;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;416_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;416;;;;;;;0;;;;3504;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C526_2_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;526;;;;;;;0;;;;2344;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;FGS_001_2.20XA969_2;;FSC;;;FD act. in CH-20-3-FDAP-C,F lamp;Yes;ИСТИНА;ЛОЖЬ;;245;;;;;;;0;;;;2602;ЛОЖЬ;42196;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;FGS_001_1;FGS_001_2;138;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C495_2_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;495;;;;;;;0;;;;3635;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58XA088AF;;FFB;;;DEL.VLV. 58XV-088 AUTOMATIC. ACTIVATED;No;ИСТИНА;ЛОЖЬ;;148;;;;;;;0;;;;1304;ЛОЖЬ;43515;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.18;11;1;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;1693;;;;;;;;;;;;;;;;
M;63_434_4;;;;;FGS_411_1.FGS_001_1_SnS1;;ЛОЖЬ;ЛОЖЬ;;434;;;;;;;0;;;;6687;ЛОЖЬ;0;;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI;31-Month;;SYS;;;Month;No;ЛОЖЬ;;;23;;Byte;;;;;;;;;2;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C345_1_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;345;;;;;;;0;;;;7226;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;185_23;;;;;;;ЛОЖЬ;ЛОЖЬ;;185;;;;;;;0;;;;4634;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;FGS_001_2.20XA566B;;FSC;;;LP DV manually act.-FDAP-C,F lamp;Yes;ИСТИНА;ЛОЖЬ;;122;;;;;;;0;;;;2488;ЛОЖЬ;42064;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;FGS_001_1;FGS_001_2;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;147_20;;;;;;;ЛОЖЬ;ЛОЖЬ;;147;;;;;;;0;;;;1682;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C811_3_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;811;;;;;;;0;;;;2289;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XA969F;;FFB;;;FIRE DET. COMMON ALARM IN CH-20-3;No;ИСТИНА;ЛОЖЬ;;245;;;;;;;0;;;;1394;ЛОЖЬ;43585;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.19;7;11;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;1775;;;;;;;;;;;;;;;;
DO;58XA020BF;;FFB;;;P-5850 LOSS OF POWER SUPPLY;No;ИСТИНА;ЛОЖЬ;;550;;;;;;;0;;;;1520;ЛОЖЬ;43665;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.20;7;9;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;1869;;;;;;;;;;;;;;;;
DO;30XA501C;;FLD;;;Panel lamp;No;ИСТИНА;ЛОЖЬ;;915;;;;;;;0;;;;267;ЛОЖЬ;42875;None;;;;;;1=;;;;;;;Undefined;491;3428;;31.07;11;4;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;916;;;;;;;;;;;;;;;;
DO;58PAH104C;;F01;;;DELUGE VALVE 58XV-026 ACTIVE;No;ИСТИНА;ЛОЖЬ;;181;;;;;;;0;;;;737;ЛОЖЬ;43180;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.14;3;10;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;1282;;;;;;;;;;;;;;;;
M;C145_5_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;145;;;;;;;0;;;;7376;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;174_17;;;;;;;ЛОЖЬ;ЛОЖЬ;;174;;;;;;;0;;;;1040;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;43HS617A1;;G01;;;MOS Enable key;Yes;ИСТИНА;ЛОЖЬ;;411;;;;;;;;;;;146;ЛОЖЬ;42616;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.05;13;11;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;603;;;;;;;;;;;;;;;;
M;C636_3_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;636;;;;;;;0;;;;776;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;120_11;;;;;;;ЛОЖЬ;ЛОЖЬ;;120;;;;;;;0;;;;3017;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;375_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;375;;;;;;;0;;;;3124;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;449_6;;;;;;;ЛОЖЬ;ЛОЖЬ;;449;;;;;;;0;;;;1531;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C116_2_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;116;;;;;;;0;;;;7535;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2470_E;;;;;BEACON (1=ON);;ЛОЖЬ;ЛОЖЬ;;2470;;;;;;;0;;;;549;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;295_12;;;;;;;ЛОЖЬ;ЛОЖЬ;;295;;;;;;;0;;;;1708;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41XA230BF;;FFB;;;DEL.VLV. 41XV-230 MANUALLY ACTIVATED;No;ИСТИНА;ЛОЖЬ;;431;;;;;;;0;;;;1438;ЛОЖЬ;43603;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.19;11;7;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;1795;;;;;;;;;;;;;;;;
M;63_825_11;;;;;FGS_101_1.FGS_001_1_SnS1;;ЛОЖЬ;ЛОЖЬ;;825;;;;;;;0;;;;6755;ЛОЖЬ;0;;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;286_16;;;;;;;ЛОЖЬ;ЛОЖЬ;;286;;;;;;;0;;;;1893;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;286_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;286;;;;;;;0;;;;1880;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;335_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;335;;;;;;;0;;;;458;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XL997JB;;G01;;;FGS MOS ACTIVATED / RELEASED AREA 2000#1;No;ИСТИНА;ЛОЖЬ;;108;;;;;;;0;;;;109;ЛОЖЬ;42769;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.06;5;6;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;798;;;;;;;;;;;;;;;;
M;C172_2_A;;;;;Compiler marker;;ЛОЖЬ;ЛОЖЬ;;172;;;;;;;0;;;;7747;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C124_4_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;124;;;;;;;0;;;;7485;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
