НомерГруппы;ИмяГруппы;Точка1;Точка2;Точка3;Точка4;Точка5;Точка6;Точка7;Точка8;Точка9;Точка10;Точка11;Точка12;Точка13;Точка14;Точка15;Точка16;Точка17;Точка18;Точка19;Точка20;Точка21;Точка22;Точка23;Точка24;Точка25;Точка26;Точка27;Точка28;Точка29;Точка30;Точка31;Точка32
833;;51FI827A.PV;51FI827B.PV;51PI829B.PV;51PI829A.DACA.PV;51PI867A.DACA.PV;51PI867B.DACA.PV;51TI828.DACA.PV;51TI861.DACA.PV;51PI829B1.PV;51FI827A2.PV;51FI827B2.PV;;;;;;;;;;;;;;;;;;;;;
834;;51PDI888A.PV;51PDI888B.PV;51PI885A.PV;51PI885B.PV;51PI890A.PV;51PI890B.PV;51PI893.PV;51SI975.PV;51TI876C.PV;51TI876D.PV;51ZI975.PV;51ZI976.PV;51PDI889B.PV;51PDI889A.PV;51PI877A.DACA.PV;51PI877B.DACA.PV;51PI877C.DACA.PV;51PI887A.PV;51PI887B.PV;51PI891A.PV;51PI891B.PV;51PI877D.PV;51TI876E.PV;51TI876F.PV;;;;;;;;
835;;51TI876A.DACA.PV;51TI876B.DACA.PV;51TI885A.DACA.PV;51TI885B.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
836;;51FI877A.PV;51FI877B.PV;51PI879B.PV;51PI879A.DACA.PV;51PI892A.DACA.PV;51PI892B.DACA.PV;51TI878.DACA.PV;51TI886.DACA.PV;51PI879B1.PV;51FI877A2.PV;51FI877B2.PV;;;;;;;;;;;;;;;;;;;;;
837;;52FQ113.DACA.PV;52FI008.DACA.PV;52FI009.DACA.PV;52FI010.DACA.PV;52FI011.DACA.PV;52FI012.DACA.PV;52FI013.DACA.PV;52FI014.DACA.PV;52FI015.DACA.PV;52FI019.DACA.PV;52FI021.DACA.PV;52FI023.DACA.PV;52FI032.DACA.PV;52FI113.DACA.PV;52PI078.DACA.PV;52PI079.DACA.PV;52PI080.DACA.PV;52PI081.DACA.PV;52PI082.DACA.PV;52FQ008.DACA.PV;52FQ009.DACA.PV;52FQ010.DACA.PV;52FQ011.DACA.PV;52FQ012.DACA.PV;52FQ013.DACA.PV;52FQ014.DACA.PV;52FQ015.DACA.PV;52FQ019.DACA.PV;52FQ023.DACA.PV;52PI092.DACA.PV;;
838;;52PI083.DACA.PV;52PI084.DACA.PV;52PI085.DACA.PV;52PI088.DACA.PV;52PI089.DACA.PV;52TC042.PIDA.OP;52TC042.PIDA.PV;52TC042.PIDA.SP;52TI026.DACA.PV;52TI027.DACA.PV;52TI028.DACA.PV;52TI029.DACA.PV;52TI030.DACA.PV;52TI031.DACA.PV;52TI032.DACA.PV;52TI033.DACA.PV;52TI047.DACA.PV;52TI048.DACA.PV;52TC114.DACA.PV;52TC114.PIDA.PV;52TC114.PIDA.SP;52TC114.PIDA.OP;52TI056.DACA.PV;;;;;;;;;
858;;51TI052.DACA.PV;51TI053.DACA.PV;51TC054.PIDA.PV;51TC055.PIDA.PV;51TI050.DACA.PV;51FC016.PIDA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;
859;;51LC060.PIDA.PV;51FI031.DACA.PV;51TI083.DACA.PV;51PC075.PIDA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860;;51FC016.PIDA.OP;51LC046.PIDA.PV;51PC064.PIDA.PV;51FC023.DACA.PV;51LC048.PIDA.PV;51FC023.PIDA.OP;51LC052.PIDA.PV;51LC054.PIDA.PV;52FC001.PIDA.PV;52LC005.PIDA.PV;52TC021.PIDA.PV;52FC003.PIDA.PV;52LC007.PIDA.PV;52TC023.PIDA.PV;52FC004.PIDA.PV;52TC042.PIDA.PV;52FC016.PIDA.PV;;;;;;;;;;;;;;;
861;;51PI903.DACA.PV;51PI983.DACA.PV;51PI985.DACA.PV;51PI901.DACA.PV;51PI979.DACA.PV;51PI981.DACA.PV;51PI905.DACA.PV;51PI907.DACA.PV;51PI909.DACA.PV;51PI987.DACA.PV;51PI989.DACA.PV;51PI992.DACA.PV;51PI994.DACA.PV;51PI911.DACA.PV;51PI913.DACA.PV;51PI915.DACA.PV;51PI917.DACA.PV;51PI995.DACA.PV;51PI997.DACA.PV;51PI926.DACA.PV;51PI936.DACA.PV;51PI921.DACA.PV;52PI901.DACA.PV;52PI903.DACA.PV;52PI991.DACA.PV;52PI905.DACA.PV;52PI907.DACA.PV;51PI971.DACA.PV;;;;
862;;52TC021.PIDA.PV;52PC037.PIDA.OP;52FC004.PIDA.PV;52FC004.PIDA.OP;52PC037.PIDA.PV;52LC005.PIDA.PV;51LC054.PIDA.PV;52PC037.PIDA.OP;52FC001.PIDA.PV;52PC037.PIDA.PV;52TC023.PIDA.PV;52TC023.PIDA.OP;52FC016.PIDA.PV;52FC003.PIDA.PV;52AI007.DACA.PV;52LC007.PIDA.PV;51LC052.PIDA.PV;52PI045.DACA.PV;51PY057.AUTOMANA.OP;;;;;;;;;;;;;
863;;51LC046.PIDA.PV;51PC063.PIDA.PV;51FC023.PIDA.PV;51LC048.PIDA.PV;51LC050.PIDA.PV;52FC017.PIDA.PV;51PC068.PIDA.PV;51FC018.PIDA.PV;51FC016.PIDA.PV;51FC018.PIDA.PV;51LC035.PIDA.PV;51LC036.PIDA.PV;51PC055.PIDA.PV;51FI015.DACA.PV;51FC020.PIDA.PV;52FC018.PIDA.PV;52FC017.PIDA.PV;51PC055.PIDA.PV;51TC071.PIDA.PV;51FI026.DACA.PV;51FC019.PIDA.PV;52FC018.PIDA.PV;51LC060.PIDA.PV;51LC056.PIDA.PV;;;;;;;;
864;;51TI093A.DACA.PV;51TI093B.DACA.PV;51TI093C.DACA.PV;51TI093D.DACA.PV;51TI045.DACA.PV;51TI050.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;
865;;51LC052.PIDA.PV;51LC054.PIDA.PV;51FI026.DACA.PV;51PC068.PIDA.PV;51FI032.DACA.PV;51TC079.PIDA.PV;51PI072.DACA.PV;51LC056.PIDA.PV;51LC058.PIDA.PV;51LC060.PIDA.PV;51PC075.PIDA.PV;51PC075.PIDA.OP;51PC075.PIDA.SP;51PI078.DACA.PV;51LC050.PIDA.PV;51PC075.DACA.PV;;;;;;;;;;;;;;;;
899;;52FC001.PIDA.PV;52FC001.PIDA.SP;52FC001.PIDA.OP;52FV001.HDYNVAL[1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000;;10FI036A.PV;10FI036B.PV;10FI036C.PV;10TI088.DACA.PV;10FI036D.PV;10FI036E.PV;10FI036F.PV;10FI036G.PV;10FI036H.PV;;;;;;;;;;;;;;;;;;;;;;;
1050;;20LC144.pida.SP;20LC144.pida.pv;20LC144.pida.op;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;;41AI202AB.daca.pv;41SEQ4101B_PARMO.KF.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1100;;10PDI812.PV;10PDC813.PIDA.PV;10PDC813.PIDA.SP;10PDC813.PIDA.OP;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1178;;10SI815.DACA.PV;10FI114.DACA.PV;10PI203.DACA.PV;10VI943X.PV;10VI943Y.PV;10VI944X.PV;10VI944Y.PV;10VI943X.PV;10VI943Y.PV;;;;;;;;;;;;;;;;;;;;;;;
1200;;10FI902.DACA.PV;10FI906.PV;10PC906.PIDA.PV;10SYC1002AX.AUTOMANA.OP;10PY916B.OVRDSELA.OP;10PC916A.PIDA.PV;10AI950A2.PV;10TI901.PV;10PI907.PV;10PI907.PV;10PC906.PIDA.PV;;;;;;;;;;;;;;;;;;;;;
1201;;10FI806.PV;10FY805A.AUTOMANA.OP;10FY805B.AUTOMANA.OP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1234;;10PI944.PV;10PI943.PV;10PC906.PIDA.PV;10FC905.PIDA.PV;10FC905.PIDA.SP;10PI907.PV;;;;;;;;;;;;;;;;;;;;;;;;;;
1255;;58PV050A.HDYNVAL[1];58PV050A.HDYNVAL[4];58PC050A1.pida.op;58PC050A1.pida.SP;58PV050A.HDYNVAL[3];93FI108.DACA.PV;58PI050.daca.pv;;;;;;;;;;;;;;;;;;;;;;;;;
1318;;86EI002B.DACA.PV;93EI101C.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1490;;30AI950A.PV;30AI950C.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1499;;20LC048.pida.pv;20LC048.pida.sp;20LC048.pida.op;20FC055.pida.pv;20HS2012.switcha.op;20FV055.HDYNVAL[4];20FC055.pida.op;;;;;;;;;;;;;;;;;;;;;;;;;
1500;;CC_301_1P.CTEMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1501;;10FI061.DACA.PV;10FI093.DACA.PV;10FC060.PIDA.PV;10FI001.DACA.PV;10FC091.PIDA.PV;10FC060.PIDA.OP;;;;;;;;;;;;;;;;;;;;;;;;;;
1502;;00XA101D05_G1B.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1503;;93TI057.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1505;;30TI821.PV;30TI822.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1510;;30UIQ052.DACA.PV;30TI084B.DACA.PV;30LC037.PIDA.PV;30PDI109.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1551;;10SI815.DACA.PV;10VI942X.PV;10VI942Y.PV;10VI944X.PV;10VI944Y.PV;10VI943X.PV;10VI943Y.PV;10PI045.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;
1555;;51TI884A.DACA.PV;51PDI881.DACA.PV;51PI883A.DACA.PV;51PI883C.DACA.PV;51PI883D.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;;51FI026.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;;51TI075.DACA.PV;51TC079.PIDA.PV;51TI078.DACA.PV;51TI082.DACA.PV;51TC054.PIDA.PV;51TC055.PIDA.PV;51TI056.DACA.PV;51FC018.DACA.PV;51FI017.DACA.PV;51FC020.DACA.PV;51FC023.DACA.PV;51AI003.DACA.PV;51TI084.DACA.PV;52PI078.DACA.PV;52PI080.DACA.PV;52TI030.DACA.PV;51FC024.DACA.PV;51TC074.DACA.PV;51TC071.DACA.PV;51FC027.DACA.PV;51FC028.DACA.PV;51FI032.DACA.PV;51FI030.DACA.PV;51FC029.DACA.PV;52UIQ025.DACA.PV;51TI046.DACA.PV;52FQ003.DACA.PV;52PI036.DACA.PV;52PC037.DACA.PV;;;
1926;;10FC060.PIDA.PV;;30FC030.DACA.PV;30TI028A.DACA.PV;20FI351.DACA.PV;10FQ062.DACA.PV;10FC091.PIDA.PV;10TC162.PIDA.PV;30FI030A.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;
1930;;10TI750.DACA.PV;10TI768.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1940;;51SI071A.DACA.PV;51SI071B.DACA.PV;51TC068.PIDA.PV;51TC055.PIDA.PV;51TI053.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;
1942;;51PC068.DACA.PV;51TC068.DACA.PV;51FI026.DACA.PV;51FC024.DACA.PV;51FC024.PIDA.OP;51TC071.PIDA.PV;51PY068B.AUTOMANA.OP;51PY068A.AUTOMANA.OP;;;;;;;;;;;;;;;;;;;;;;;;
1944;;52FI008.DACA.PV;52FI032.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1945;;52FI019.DACA.PV;52UIQ025.DACA.PV;52UIQ028.DACA.PV;52UIQ026A.DACA.PV;52FI027.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;
1946;;30TI909A.PV;30TI908A.PV;30TI907A.PV;30TI906A.PV;30TI909D.PV;30TI908D.PV;30TI907D.PV;30TI906D.PV;;;;;;;;;;;;;;;;;;;;;;;;
1951;;51FI026.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1952;;52TC023.DACA.PV;52PI075.DACA.PV;52PC037.PIDA.PV;52PI036.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;;93LI202.PV;93LI203.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;20TI813A.pv;20TI812A.pv;20TI813B.pv;20TI812B.pv;20TI813C.pv;20TI812C.pv;20TI813D.pv;20TI812D.pv;20TI801A.pv;20PDI048.daca.pv;;;;;;;;;;;;;;;;;;;;;;
2000;;43LI468.PV;43PC496.DACA.PV;43LI469.PV;43LI470.DACA.PV;43PC496.PIDA.OP;43PC496.PIDA.PV;43PC496.PIDA.SP;43PI497.DACA.PV;43PI971.DACA.PV;43TI498.DACA.PV;43TI499.DACA.PV;;;;;;;;;;;;;;;;;;;;;
2001;;43EI001A.DACA.PV;43EI001S.DACA.PV;43LI901A.DACA.PV;43LI901B.DACA.PV;43LI903A.DACA.PV;43LI903B.DACA.PV;43LI905A.DACA.PV;43LI905B.DACA.PV;43LI907A.DACA.PV;43LI907B.DACA.PV;43PI455.DACA.PV;43PI461.DACA.PV;43PI467.DACA.PV;43PI554.DACA.PV;43PI555.DACA.PV;43PI563.DACA.PV;;;;;;;;;;;;;;;;
2002;;43PI901A.DACA.PV;43PI901B.DACA.PV;43PI903A.DACA.PV;43PI903B.DACA.PV;43PI905A.DACA.PV;43PI905B.DACA.PV;43PI907A.DACA.PV;43PI907B.DACA.PV;43TC560.PIDA.OP;43TC560.PIDA.PV;43TC560.PIDA.SP;43PDI401.DACA.PV;43PDI402.DACA.PV;43TC560.DACA.PV;43LI402.PV;43LI402A.PV;43LI406.PV;43LI406A.PV;43LI410.PV;43LI410A.PV;43LI414.PV;43LI414A.PV;43LI418.PV;43LI418A.PV;43LI422.PV;43LI422A.PV;;;;;;
2003;;43TI991A.DACA.PV;43TI991B.DACA.PV;43TI992A.DACA.PV;43TI992B.DACA.PV;43TI995A.DACA.PV;43TI995B.DACA.PV;43TI996A.DACA.PV;43TI996B.DACA.PV;43LI909.DACA.PV;43LI911.DACA.PV;43LI913A.DACA.PV;43LI913B.DACA.PV;43LI915A.DACA.PV;43LI915B.DACA.PV;43LI991.DACA.PV;43LI992.DACA.PV;43LI995.DACA.PV;43LI996.DACA.PV;43PC485.PIDA.OP;43PC485.PIDA.PV;43PC485.PIDA.SP;43PC485.DACA.PV;43LI438.PV;43LI438A.PV;43LI442.PV;43LI442A.PV;43LI446.PV;43LI446A.PV;43LI450.PV;43LI450A.PV;43LI454.PV;43LI454A.PV
2004;;43PC488.PIDA.OP;43PC488.PIDA.PV;43PC488.PIDA.SP;43PI462.DACA.PV;43PI468.DACA.PV;93PI105.DACA.PV;43PI491.DACA.PV;43PI556.DACA.PV;43PI557.DACA.PV;43PI909.DACA.PV;43PI911.DACA.PV;43PI913A.DACA.PV;43PI913B.DACA.PV;43PI915A.DACA.PV;43PI915B.DACA.PV;43PI991.DACA.PV;43PI992.DACA.PV;43PI995.DACA.PV;43PI996.DACA.PV;93FI051.DACA.PV;43EI007A.DACA.PV;43EI007S.DACA.PV;43PC488.DACA.PV;43LI458.PV;43LI458A.PV;43LI461.PV;43LI461A.PV;43LI466.PV;43LI466A.PV;;;
2005;;43PI470.DACA.PV;43PI473.DACA.PV;43PI476.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;43TC042.DACA.PV;43TC041.DACA.PV;43TC040.DACA.PV;43TC040.PIDA.OP;43TC040.PIDA.PV;43TC040.PIDA.SP;43TC041.PIDA.OP;43TC041.PIDA.PV;43TC041.PIDA.SP;43TC042.PIDA.OP;43TC042.PIDA.PV;43TC042.PIDA.SP;;;;;;;;;;;;;;;;;;;;
2007;;43TC043.PIDA.OP;43TC043.PIDA.PV;43TC043.PIDA.SP;43TC044.PIDA.OP;43TC044.PIDA.PV;43TC044.PIDA.SP;43TC045.PIDA.OP;43TC045.PIDA.PV;43TC045.PIDA.SP;43TC046.PIDA.OP;43TC046.PIDA.PV;43TC046.PIDA.SP;43TC047.PIDA.OP;43TC047.PIDA.PV;43TC047.PIDA.SP;43TC048.PIDA.OP;43TC048.PIDA.PV;43TC048.PIDA.SP;43TC049.PIDA.OP;43TC049.PIDA.PV;43TC049.PIDA.SP;43TC043.DACA.PV;43TC044.DACA.PV;43TC045.DACA.PV;43TC046.DACA.PV;43TC047.DACA.PV;43TC048.DACA.PV;43TC049.DACA.PV;;;;
2008;;43TC050.PIDA.OP;43TC050.PIDA.PV;43TC050.PIDA.SP;43TC051.PIDA.OP;43TC051.PIDA.PV;43TC051.PIDA.SP;43TC050.DACA.PV;43TC051.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;
2009;;43LI113.PV;43LI114.PV;43PI113B.PV;43PI114B.PV;43TI113.PV;43TI114.PV;43UI113_1.PV;43UI113_2.PV;43UI113_3.PV;43UI113_5.PV;43UI113_6.PV;43UI114_1.PV;43UI114_2.PV;43UI114_3.PV;43UI114_5.PV;43UI114_6.PV;43LI102.DACA.PV;43LI105.DACA.PV;43PC494.PIDA.OP;43PC494.PIDA.PV;43PC494.PIDA.SP;43PC494.DACA.PV;;;;;;;;;;
2010;;43PDI407.DACA.PV;43PDI408.DACA.PV;43PI491.DACA.PV;43PI557.DACA.PV;43TC111.PIDA.OP;43TC111.PIDA.PV;43TC111.PIDA.SP;43TC112.PIDA.OP;43TC112.PIDA.PV;43TC112.PIDA.SP;43TC111.DACA.PV;43TC112.DACA.PV;;;;;;;;;;;;;;;;;;;;
2011;;43LI601.PV;43PI611.PV;43UI601_2.PV;43LI601A.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;43LI601.PV;43PI611.PV;43UI601_2.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;43LI060.PV;43LI061.PV;43LI062.PV;43TI060.PV;43TI061.PV;43TI062.PV;43UI060_1.PV;43UI060_2.PV;43UI060_3.PV;43UI060_5.PV;43UI060_TST.PV;43UI061_1.PV;43UI061_2.PV;43UI061_3.PV;43UI061_5.PV;43UI061_6.PV;43UI062_1.PV;43UI062_2.PV;43UI062_3.PV;43UI062_5.PV;;;;;;;;;;;;
2015;;43UI062_6.PV;43LI001.DACA.PV;43LI003.DACA.PV;43LI005.DACA.PV;43PC452.PIDA.OP;43PC452.PIDA.PV;43PC452.PIDA.SP;43PDI407.DACA.PV;43PDI408.DACA.PV;43PI455.DACA.PV;43PI554.DACA.PV;43TC040.PIDA.OP;43TC040.PIDA.PV;43TC040.PIDA.SP;43TC041.PIDA.OP;43TC041.PIDA.PV;43TC041.PIDA.SP;43TC042.PIDA.OP;43TC042.PIDA.PV;43TC042.PIDA.SP;;;;;;;;;;;;
2016;;43PA066B_RAW.PV;43LI064.PV;43PI063.PV;43PI064.PV;43UI063_2.PV;43UI064_2.PV;43LI008.DACA.PV;43LI011.DACA.PV;43PC458.PIDA.OP;43PC458.PIDA.PV;43PC458.PIDA.SP;43PDI403.DACA.PV;43PDI404.DACA.PV;43PI563.DACA.PV;43TC043.PIDA.OP;43TC043.PIDA.PV;43TC043.PIDA.SP;43TC044.PIDA.OP;43TC044.PIDA.PV;43TC044.PIDA.SP;43PC458.DACA.PV;;;;;;;;;;;
2017;;43LI065.PV;43UI065_2.PV;43LI014.DACA.PV;43PC464.PIDA.OP;43PC464.PIDA.PV;43PC464.PIDA.SP;43PDI405.DACA.PV;43PDI406.DACA.PV;43PI467.DACA.PV;43PI555.DACA.PV;43TI987A.DACA.PV;43TI987B.DACA.PV;43TI988A.DACA.PV;43TI988B.DACA.PV;43PC464.DACA.PV;;;;;;;;;;;;;;;;;
2018;;43LI066.PV;43LI067.PV;43PI066B.PV;43PI067B.PV;43TI066.PV;43TI067.PV;43UI066_1.PV;43UI066_2.PV;43UI066_3.PV;43UI066_5.PV;43UI066_6.PV;43UI067_1.PV;43UI067_2.PV;43UI067_3.PV;43UI067_5.PV;43UI067_6.PV;43LI016.DACA.PV;43LI018.DACA.PV;43PDI413.DACA.PV;43PDI414.DACA.PV;;;;;;;;;;;;
2019;;43PI476.DACA.PV;43PI491.DACA.PV;43PI557.DACA.PV;43TC046.PIDA.OP;43TC046.PIDA.PV;43TC046.PIDA.SP;43TC047.PIDA.OP;43TC047.PIDA.PV;43TC047.PIDA.SP;43TC554.PIDA.OP;43TC554.PIDA.PV;43TC554.PIDA.SP;43TC555.PIDA.OP;43TC555.PIDA.PV;43TC555.PIDA.SP;43TC554.DACA.PV;43TC555.DACA.PV;;;;;;;;;;;;;;;
2020;;43LI068.PV;43LI069.PV;43PI068B.PV;43PI069B.PV;43TI068.PV;43TI069.PV;43UI068_1.PV;43UI068_2.PV;43UI068_3.PV;43UI068_5.PV;43UI068_6.PV;43UI069_1.PV;43UI069_2.PV;43UI069_3.PV;43UI069_5.PV;43UI069_6.PV;43LI021.DACA.PV;43LI024.DACA.PV;43PC482.PIDA.OP;43PC482.PIDA.PV;43PC482.PIDA.SP;43PC482.DACA.PV;;;;;;;;;;
2021;;43PDI409.DACA.PV;43PDI410.DACA.PV;43PI479.DACA.PV;43PI556.DACA.PV;43TC048.PIDA.OP;43TC048.PIDA.PV;43TC048.PIDA.SP;43TC049.PIDA.OP;43TC049.PIDA.PV;43TC049.PIDA.SP;;;;;;;;;;;;;;;;;;;;;;
2022;;43LI070.PV;43LI071.PV;43TI070.PV;43TI071.PV;43UI070_1.PV;43UI070_2.PV;43UI070_3.PV;43UI070_5.PV;43UI070_6.PV;43UI071_1.PV;43UI071_2.PV;43UI071_3.PV;43UI071_5.PV;43UI071_6.PV;43LI026.DACA.PV;43LI028.DACA.PV;43PC485.PIDA.OP;43PC485.PIDA.PV;43PC485.PIDA.SP;43PC488.PIDA.OP;43PC488.PIDA.PV;43PC488.PIDA.SP;;;;;;;;;;
2023;;43PDI415.DACA.PV;43PDI416.DACA.PV;43PY485.AUTOMANA.OP;43PY485A.AUTOMANA.OP;43PY488.AUTOMANA.OP;43PY488A.AUTOMANA.OP;43TC050.PIDA.OP;43TC050.PIDA.PV;43TC050.PIDA.SP;43TC051.PIDA.OP;43TC051.PIDA.PV;43TC051.PIDA.SP;;;;;;;;;;;;;;;;;;;;
2024;;43LI467.DACA.PV;43PC498.PIDA.OP;43PC498.PIDA.PV;43PC498.PIDA.SP;43PDI411.DACA.PV;43PDI412.DACA.PV;43PI462.DACA.PV;43PI468.DACA.PV;43TC552.PIDA.OP;43TC552.PIDA.PV;43TC552.PIDA.SP;43TC553.PIDA.OP;43TC553.PIDA.PV;43TC553.PIDA.SP;43PC498.DACA.PV;43TC552.DACA.PV;43TC553.DACA.PV;;;;;;;;;;;;;;;
2025;;43LI003.DACA.PV;43PI499.DACA.PV;43PI564.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;;43FI403.DACA.PV;43PI562.DACA.PV;43TI559.DACA.PV;43FQ403.DACA.PV;93PC080.PIDA.OP;93PC080.PIDA.PV;93PC080.PIDA.SP;93PC080.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;
2027;;43FI402.DACA.PV;43PI561.DACA.PV;43PI560.DACA.PV;43TI557.DACA.PV;43TI558.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;;93LI002.DACA.PV;93LI003.DACA.PV;93PC077.PIDA.OP;93PC077.PIDA.PV;93PC077.PIDA.SP;93PC078.PIDA.OP;93PC078.PIDA.PV;93PC078.PIDA.SP;43FI401.DACA.PV;93PC077.DACA.PV;93PC078.DACA.PV;;;;;;;;;;;;;;;;;;;;;
2029;;93TI058.DACA.PV;93TI059.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;;10TC122.PIDA.PV;10FC044.PIDA.PV;10FC044.PIDA.OP;10TC129.PIDA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;1000 RESEVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2087;;10PI807.PV;10PI806_DEV.10PI806.PV;10PI806_DEV.10PI807.PV;10PI806_DEV.DACA.PV;10PI907.PV;10PI906_DEV.10PI906.PV;10PI906_DEV.10PI907.PV;10PI906_DEV.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;
2089;;10FC091.PIDA.PV;10FC091.PIDA.OP;10FC091.PIDA.SP;10HS091.DACA.PV;10LC014.PIDA.PV;10LC014.PIDA.SP;10FC029.PIDA.PV;10FC035.PIDA.PV;10LI014B.DACA.PV;10LI014A.DACA.PV;10LI014.DACA.PV;10LI022.PV;;;;;;;;;;;;;;;;;;;;
2095;;43PC458.PIDA.PV;43PC458.PIDA.SP;43PC458.PIDA.OP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2100;10PL3001;10TI768.DACA.PV;10PDI072.DACA.PV;10PDI073.DACA.PV;10PDI074.DACA.PV;10PDI075.DACA.PV;10PDI076.DACA.PV;10PI807.PV;10PI807A.PV;;;;;;;;;;;;;;;;;;;;;;;;
2101;10PL3001;10FC021.PIDA.OP;10FC021.PIDA.PV;10FC021.PIDA.SP;10FC022.PIDA.OP;10FC022.PIDA.PV;10FC022.PIDA.SP;10FC095.PIDA.OP;10FC095.PIDA.PV;10FC095.PIDA.SP;10FI019.DACA.PV;10FI020.DACA.PV;10FI023.DACA.PV;10FI024.DACA.PV;10HC017.AUTOMANA.OP;10HC018.AUTOMANA.OP;10HS056.DACA.PV;10HS057.DACA.PV;10LC006.PIDA.OP;10LC006.PIDA.PV;10LC006.PIDA.SP;;;;;;;;;;;;
2102;;10LC007.PIDA.OP;10LC007.PIDA.PV;10LC007.PIDA.SP;10LI006A.DACA.PV;10LI006B.DACA.PV;10LI007A.DACA.PV;10LI007B.DACA.PV;10LY006.REGCALCA.OP;10LY007.REGCALCA.OP;10PI024.DACA.PV;10PI033.DACA.PV;10TC039.PIDA.OP;10TC039.PIDA.PV;10TC039.PIDA.SP;10TI037.DACA.PV;10TI038.DACA.PV;10PI034.DACA.PV;10TC039.DACA.PV;;;;;;;;;;;;;;
2103;;10LI031.PV;10LI030.PV;10PI139.DACA.PV;10PI140.DACA.PV;10TC201.PIDA.OP;10TC201.PIDA.PV;10TC201.PIDA.SP;10TI203.DACA.PV;10TI204.DACA.PV;10TI205.DACA.PV;10UIQ071.DACA.PV;10UIQ071.DACB.PV;10TI207.DACA.PV;;;;;;;;;;;;;;;;;;;
2104;;10TC284.DACA.PV;10TC266.DACA.PV;10TC266.PIDA.OP;10TC266.PIDA.PV;10TC266.PIDA.SP;10TC284.PIDA.OP;10TC284.PIDA.PV;10TC284.PIDA.SP;10SI805.DACA.PV;10SI815.DACA.PV;10SI975.DACA.PV;;;;;;;;;;;;;;;;;;;;;
2105;;10FI030A_HZ.DACA.PV;10FI030B_HZ.DACA.PV;10FI030C_HZ.DACA.PV;10FI030D_HZ.DACA.PV;10FI030E_HZ.DACA.PV;10FI030F_HZ.DACA.PV;10FI030G_HZ.DACA.PV;10FI030H_HZ.DACA.PV;10FI031A_HZ.DACA.PV;10FI031B_HZ.DACA.PV;10FI031C_HZ.DACA.PV;10FI031D_HZ.DACA.PV;10FI031E_HZ.DACA.PV;10FI031F_HZ.DACA.PV;10FI031G_HZ.DACA.PV;10FI031H_HZ.DACA.PV;10TI189A.DACA.PV;10TI189B.DACA.PV;10TI189C.DACA.PV;10TI189D.DACA.PV;;;;;;;;;;;;
2106;;10TI189E.DACA.PV;10TI189F.DACA.PV;10TI189G.DACA.PV;10TI189H.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2107;;10FI085.DACA.PV;10FI092.DACA.PV;10TI192.DACA.PV;10TI195.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
