НомерГруппы;ИмяГруппы;Точка1;Точка2;Точка3;Точка4;Точка5;Точка6;Точка7;Точка8;Точка9;Точка10;Точка11;Точка12;Точка13;Точка14;Точка15;Точка16;Точка17;Точка18;Точка19;Точка20;Точка21;Точка22;Точка23;Точка24;Точка25;Точка26;Точка27;Точка28;Точка29;Точка30;Точка31;Точка32
801;;51PI883B.PV;51TI884D.PV;51TI884E.PV;51TI884F.PV;51VI975.PV;51VI976.PV;51PDI881.DACA.PV;51PI883A.DACA.PV;51PI883C.DACA.PV;51PI883D.DACA.PV;51TI884A.DACA.PV;51PI833B1.PV;51PI883B1.PV;51TI887.DACA.PV;51TI888A.DACA.PV;51TI888B.DACA.PV;51TI888C.DACA.PV;51TI884C.PV;51TI884B.PV;51TI884D2.PV;;;;;;;;;;;;
802;;51LI037.PV;51LI039.PV;51TI903A.PV;51TI903B.PV;51TI983A.PV;51TI983B.PV;51TI984A.PV;51TI984B.PV;51FI015.DACA.PV;51LC035.PIDA.OP;51LC035.PIDA.PV;51LC035.PIDA.SP;51LC036.PIDA.OP;51LC036.PIDA.PV;51LC036.PIDA.SP;51LI029.DACA.PV;51LI038.DACA.PV;51PC055.PIDA.OP;51PC055.PIDA.PV;51PC055.PIDA.SP;51TI983B2.PV;51LC035.DACA.PV;51LC036.DACA.PV;51PC055.DACA.PV;51TI984B2.PV;51TI903B2.PV;51TI984A2.PV;51TI903A2.PV;51TI983A2.PV;51LI037A.PV;51LI039A.PV;
803;;51TI045.DACA.PV;51TI046.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
804;;51LI040.PV;51LI066.PV;51TI901A.PV;51TI901B.PV;51TI905A.PV;51TI905B.PV;51TI979A.PV;51TI979B.PV;51TI980A.PV;51TI980B.PV;51LI041.DACA.PV;51TI979B2.PV;51TI980B2.PV;51LI043.DACA.PV;51PC056.PIDA.OP;51PC056.PIDA.PV;51PC056.PIDA.SP;51PY056.AUTOMANA.OP;51PY057.AUTOMANA.OP;51TI093A.DACA.PV;51PI901.DACA.PV;51PI903.DACA.PV;51PI905.DACA.PV;51PI979.DACA.PV;51PI981.DACA.PV;51PI983.DACA.PV;51PI985.DACA.PV;51PC056.DACA.PV;51TI901B2.PV;51TI905B2.PV;51TI979A2.PV;51TI980A2.PV
805;;51TI093B.DACA.PV;51TI093C.DACA.PV;51TI093D.DACA.PV;51TI905A2.PV;51TI901A2.PV;51LI042.PV;51LI040A.PV;;;;;;;;;;;;;;;;;;;;;;;;;
806;;51FC016.PIDA.OP;51FC016.PIDA.PV;51FC016.PIDA.SP;51FC018.PIDA.OP;51FC018.PIDA.PV;51FC018.PIDA.SP;51FI017.DACA.PV;51FY018.OVRDSELA.OP;51HC951B.AUTOMANA.OP;51HC951C.AUTOMANA.OP;51LI044.DACA.PV;51LY048.AUTOMANA.OP;51PDI053.DACA.PV;51PI058.DACA.PV;51PI059.DACA.PV;51SY054A1.AUTOMANA.OP;51SY054B1.AUTOMANA.OP;51TC051.PIDA.OP;51TC051.PIDA.PV;51TC051.PIDA.SP;51FY017.DACA.PV;51FC016.DACA.PV;51FC018.DACA.PV;51TC051.DACA.PV;51PI069_1.DACA.PV;51PI069_2.DACA.PV;51PI070_1.DACA.PV;51PI070_2.DACA.PV;;;;
807;;51TC054.PIDA.OP;51TC054.PIDA.PV;51TC054.PIDA.SP;51TC055.PIDA.OP;51TC055.PIDA.PV;51TC055.PIDA.SP;51TC951A.PIDA.OP;51TC951A.PIDA.PV;51TC951A.PIDA.SP;51TI050.DACA.PV;51TI052.DACA.PV;51TI053.DACA.PV;51TI951A.DACA.PV;51TI951B.DACA.PV;51TI951C.DACA.PV;51TI951D.DACA.PV;51TY055A.AUTOMANA.OP;51TY055B.AUTOMANA.OP;51TY951.DACA.PV;51SI054A.DACA.PV;51SI054B.DACA.PV;51TC055.DACA.PV;51TC054.DACA.PV;;;;;;;;;
808;;51FC019.DACA.PV;51TI907A.PV;51TI907B.PV;51TI909A.PV;51TI909B.PV;51TI987A.PV;51TI987B.PV;51TI988A.PV;51TI988B.PV;51FC019.PIDA.OP;51FC019.PIDA.PV;51FC019.PIDA.SP;51FC020.PIDA.OP;51FC020.PIDA.PV;51FC020.PIDA.SP;51FI021.DACA.PV;51LC046.PIDA.OP;51LC046.PIDA.PV;51LC046.PIDA.SP;51LI030.DACA.PV;51FI037.DACA.PV;51TI987A2.PV;51PI907.DACA.PV;51PI909.DACA.PV;51PI987.DACA.PV;51PI989.DACA.PV;51PI992.DACA.PV;51PI994.DACA.PV;51FC020.DACA.PV;51LC046.DACA.PV;51TI988A2.PV;51TI907A2.PV
809;;51LI045.DACA.PV;51PC063.PIDA.OP;51PC063.PIDA.PV;51PC063.PIDA.SP;51PC064.PIDA.OP;51PC064.PIDA.PV;51PC064.PIDA.SP;51PC063.DACA.PV;51PC064.DACA.PV;51PI062.DACA.PV;51TC060A.PIDA.OP;51TC060A.PIDA.PV;51TC060A.PIDA.SP;51TI056.DACA.PV;51TI057.DACA.PV;51TI058.DACA.PV;51TI059.DACA.PV;51TI060B.DACA.PV;51TI061.DACA.PV;51TI062.DACA.PV;51PDI060.DACA.PV;51PDI061.DACA.PV;51PI060_1.DACA.PV;51PI060_2.DACA.PV;51PI061_1.DACA.PV;51PI061_2.DACA.PV;51TC060A.DACA.PV;51TI909A2.PV;51TI987B2.PV;51TI988B2.PV;51TI907B2.PV;51TI909B2.PV
810;;51TI063.DACA.PV;51TI064.DACA.PV;51TI065.DACA.PV;51TI066.DACA.PV;51TI067.DACA.PV;52FC018.PIDA.OP;52FC018.PIDA.PV;52FC018.PIDA.SP;52FC018.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;
811;;51LI049.PV;51LI051.PV;51TI911A.PV;51TI911B.PV;51TI913A.PV;51TI913B.PV;51TI991A.PV;51TI991B.PV;51TI992A.PV;51TI992B.PV;51FC022.PIDA.OP;51FC022.PIDA.PV;51FC022.PIDA.SP;51FC023.PIDA.OP;51FC023.PIDA.PV;51FC023.PIDA.SP;51FC024.PIDA.OP;51FC024.PIDA.PV;51FC024.PIDA.SP;51FI024_1.DACA.PV;51LC048.PIDA.OP;51LC048.PIDA.PV;51LC048.PIDA.SP;51FI025.DACA.PV;51FI025_1.DACA.PV;51PI911.DACA.PV;51PI913.DACA.PV;51PI915.DACA.PV;51PI917.DACA.PV;51PI995.DACA.PV;51PI997.DACA.PV;51FC022.DACA.PV
812;;51FI026.DACA.PV;51LC048.PIDA.OP;51LC048.PIDA.PV;51LC048.PIDA.SP;51LC050.PIDA.OP;51LC050.PIDA.PV;51LC050.PIDA.SP;51LI031.DACA.PV;51LI065.DACA.PV;51PC068.PIDA.OP;51PC068.PIDA.PV;51PC068.PIDA.SP;51LC050.DACA.PV;51PDI067.DACA.PV;51PI066.DACA.PV;51SI071A.DACA.PV;51SI071B.DACA.PV;51TC068.PIDA.OP;51TC068.PIDA.PV;51TC068.PIDA.SP;51LC048.DACA.PV;51LI047.PV;51FQ026.DACA.PV;51PDI065.DACA.PV;51PI065_1.DACA.PV;51PI065_2.DACA.PV;51PC068.DACA.PV;51TC068.DACA.PV;51TI991B2.PV;51TI992B2.PV;51TI911B2.PV;51TI913B2.PV
813;;51TC071.PIDA.OP;51TC071.PIDA.PV;51TC071.PIDA.SP;51TC074.PIDA.OP;51TC074.PIDA.PV;51TC074.PIDA.SP;51TI069.DACA.PV;51TI070.DACA.PV;51TI075.DACA.PV;51TI092.DACA.PV;51TY074A.AUTOMANA.OP;51TY074B.AUTOMANA.OP;52FC017.PIDA.OP;52FC017.PIDA.PV;52FC017.PIDA.SP;52LC009.PIDA.OP;52LC009.PIDA.PV;52LC009.PIDA.SP;51FC024.DACA.PV;51TC074.DACA.PV;51TC071.DACA.PV;52FC017.DACA.PV;51TI991A2.PV;51TI992A2.PV;51TI911A2.PV;51TI913A2.PV;51LI051A.PV;51LI049A.PV;51LI047A.PV;;;
814;;51LI053.PV;51LI055.PV;51TI915A.PV;51TI915B.PV;51TI917A.PV;51TI917B.PV;51TI995A.PV;51TI995B.PV;51TI996A.PV;51TI996B.PV;51AI003.DACA.PV;51FC027.PIDA.OP;51FC027.PIDA.PV;51FC027.PIDA.SP;51FC028.PIDA.OP;51FC028.PIDA.PV;51FC028.PIDA.SP;51FC029.PIDA.OP;51FC029.PIDA.PV;51FC029.PIDA.SP;51FC027.DACA.PV;51FC028.DACA.PV;51FC029.DACA.PV;51TI915B2.PV;51TI917B2.PV;51TI995B2.PV;51TI996B2.PV;51TI915A2.PV;51TI917A2.PV;51TI995A2.PV;51TI996A2.PV;51LI053A.PV
815;;51FI030.DACA.PV;51FI031.DACA.PV;51FI032.DACA.PV;51LC052.PIDA.OP;51LC052.PIDA.PV;51LC052.PIDA.SP;51LC054.PIDA.OP;51LC054.PIDA.PV;51LC054.PIDA.SP;51LI033.DACA.PV;51LI034.DACA.PV;51PDI069.DACA.PV;51PDI070.DACA.PV;51PY068A.AUTOMANA.OP;51PY068B.AUTOMANA.OP;51TC077.PIDA.OP;51TC077.PIDA.PV;51TC077.PIDA.SP;51TC079.PIDA.OP;51TC079.PIDA.PV;51TC079.PIDA.SP;51LC052.DACA.PV;51LC054.DACA.PV;51TC077.DACA.PV;51TC079.DACA.PV;51LI055A.PV;;;;;;
816;;51TI076.DACA.PV;51TI078.DACA.PV;51TY079A.AUTOMANA.OP;51TY079B.AUTOMANA.OP;;;;;;;;;;;;;;;;;;;;;;;;;;;;
817;;51LI057.PV;51LI059.PV;51TI080B.PV;51TI081B.PV;51LC056.DACA.PV;51FI033.DACA.PV;51LC056.PIDA.OP;51LC056.PIDA.PV;51LC056.PIDA.SP;51LC058.PIDA.OP;51LC058.PIDA.PV;51LC058.PIDA.SP;51PDI071.DACA.PV;51PI072.DACA.PV;51PI073.DACA.PV;51LI057A.PV;51LI059A.PV;51TI082.DACA.PV;51LC058.DACA.PV;51TI080A.PV;51TI081A.PV;;;;;;;;;;;
818;;51LI061.PV;51TI926.PV;51TI927.PV;51TI936.PV;51TI937.PV;51LC060.DACA.PV;51LC060.PIDA.OP;51LC060.PIDA.PV;51LC060.PIDA.SP;51LI032.DACA.PV;51PDI074.DACA.PV;51PC075.PIDA.PV;51TI083.DACA.PV;51TI084.DACA.PV;51TI926A.PV;51TI936A.PV;51LI061A.PV;51TI927A.PV;51TI937A.PV;;;;;;;;;;;;;
819;;51FI035.PV;51LI063.PV;51TI091.PV;51TI921.PV;51TI922.PV;51FC034.PIDA.OP;51FC034.PIDA.PV;51FC034.PIDA.SP;51FI036.DACA.PV;51LC060.PIDA.OP;51LC062.PIDA.OP;51LC062.PIDA.PV;51LC062.PIDA.SP;51PC076.PIDA.OP;51PC076.PIDA.PV;51PC076.PIDA.SP;51PDI054A.DACA.PV;51PDI054B.DACA.PV;51PDI077.DACA.PV;51PI078.DACA.PV;51FQ036.DACA.PV;51PI921.DACA.PV;51PI926.DACA.PV;51PI936.DACA.PV;51FC034.DACA.PV;51LC062.DACA.PV;51PC076.DACA.PV;51TI801.PV;51FQ036_1.DACA.PV;51FI035A.PV;51TI922A.PV;51LI063A.PV
820;;51SI088.DACA.PV;51TC088.PIDA.OP;51TC088.PIDA.PV;51TC088.PIDA.SP;51TI085A.DACA.PV;51TI085B.DACA.PV;51TI086A.DACA.PV;51TI086B.DACA.PV;51TI087.DACA.PV;51TI090.DACA.PV;51TC088.DACA.PV;51TI921A.PV;;;;;;;;;;;;;;;;;;;;
821;;51PI080.PV;51PI081.PV;51PI082.PV;51PC079.PIDA.OP;51PC079.PIDA.PV;51PC079.PIDA.SP;51PI930.DACA.PV;51PI931.DACA.PV;51PI932.DACA.PV;51PY079A.AUTOMANA.OP;51PY079B.AUTOMANA.OP;51PC079.DACA.PV;51PI080A.PV;51PI081A.PV;51LI100.DACA.PV;51LI101.DACA.PV;;;;;;;;;;;;;;;;
822;;52LI011.PV;52PI090.PV;52PI091.PV;52TI901A.PV;52TI901B.PV;52TI903A.PV;52TI903B.PV;52FQ007.DACA.PV;52LI010.DACA.PV;52PI042.PV;52PI043.PV;52PI044.DACA.PV;52TI017.DACA.PV;52TI024.DACA.PV;52FC111.DACA.PV;52FC111.PIDA.PV;52FC111.PIDA.SP;52FC111.PIDA.OP;52FI112_1.DACA.PV;52FI112_2.DACA.PV;52FQ112.DACA.PV;52LI111.DACA.PV;52LI112.DACA.PV;52PI113.DACA.PV;52PI901.DACA.PV;52PI903.DACA.PV;52PI991.DACA.PV;52TI113.DACA.PV;52PI993.PV;52TI901A2.PV;52TI903A2.PV;52LI011A.PV
