ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
30GT511;PLC=11217/FLD=466(FLD);AI;Near К-3001;GI511;M;Показания;#ScaleN(0,100,525,3439);
FGS_301_1.30XL001_4;PLC=1/FLD=210(FSC);DO;IB-30-1-FIRE;;;;;
FGS_301_1.30XA1007_2;PLC=14/FLD=130(FSC);DO;MCP act. in 3000-FDAP-C,F lamp;;;;;
30XY578B;PLC=569/FLD=172(FLD);DO;У аппарата V-3023;;;;;
30XY584B;PLC=575/FLD=202(FLD);DO;Внутри здания(в осях 1/В);;;;;
30XY538A;PLC=618/FLD=522(FLD);DO;Between Е-3001В and Е-3001С;;;;;
FGS_301_1.30XA1002_2;PLC=6/FLD=130(FSC);DO;FD act. in Heat exch FDAP-C,F lamp;;;;;
FGS_301_1.30XA1005_1;PLC=9/FLD=170(FSC);DO;FD act. in Drain drum FDAP-C,F lamp;;;;;
30XY543A;PLC=623/FLD=514(FLD);DO;Between P-3013S, Р-3012А;;;;;
30GT509;PLC=11333/FLD=322(FLD);AI;Between P-3004A/S;GI509;M;Показания;#ScaleN(0,100,361,3439);
30XY556A;PLC=631/FLD=538(FLD);DO;Overpass, near 7-С16;;;;;
30XY543B;PLC=591/FLD=514(FLD);DO;Between P-3013S, Р-3012А;;;;;
30HS124B2;PLC=419/FLD=908(FLD);DI;Stop В2…В5 (Stop at Fire);30HS124B;HS->RSU;;;
30HS059C;PLC=436/FLD=700(F01);DI;Oткрыть при пожаре (OPEN AT FIRE);30XV059_HS;HS->RSU;;;
30XY530A;PLC=610/FLD=502(FLD);DO;Northern entrance to compressor room;;;;;
30GT506;PLC=11305/FLD=316(FLD);AI;Near V-3024;GI506;M;Показания;#ScaleN(0,100,361,3439);
30XZSO104;PLC=11053/FLD=1007(FLD);AI;Steam curtain Н-3001;XV-104;M;Положение;#ScaleN(100,0,164,3276);
30GT527;PLC=11297/FLD=352(FLD);AI;Between Р-3017А/S;GI527;M;Показания;#ScaleN(0,100,361,3439);
30XZSC104;PLC=11057/FLD=1007(FLD);AI;Steam curtain Н-3001;XV-104;M;Положение;#ScaleN(0,100,164,3276);
30GT505;PLC=11229/FLD=464(FLD);AI;At compr. С-3001А(in axes 6-7/Б-В);GI505;M;Показания;#ScaleN(0,100,525,3439);
30XY541A;PLC=621/FLD=522(FLD);DO;Construction 05, in axes 3-4/А-В;;;;;
FGS_301_1.30XA1003_1;PLC=11/FLD=162(FSC);DO;FD act. in Compr. FDAP-C,F lamp;;;;;
30YT013;PLC=11137/FLD=182(FLD);AI;У насоса P-3005S (в осях 4/В);;;;#=83;
FGS_301_1.30HS242A_ENB;PLC=8/FLD=1002(FSC);DI;SC MOS 3000 ENABLE;;;;;
30HS1003;PLC=11033/FLD=114(FLD);AI;У входа в здание(в осях 3/А);;;;#=525;
30XY576A;PLC=543/FLD=164(FLD);DO;Внутри здания(в осях 7/А);;;;;
30GT517;PLC=11369/FLD=334(FLD);AI;Between E-3001С and Е-3001В;GI517;M;Показания;#ScaleN(0,100,361,3439);
00XS301G01FAN;PLC=427/FLD=22(CAB);DI;IB30-1 COMM. ALARM FGS-01 FAN;;;;;
30XY531B;PLC=579/FLD=502(FLD);DO;Inside compressor room;;;;;
FGS_301_1.30XZA104;PLC=47/FLD=1006(FSC);DO;Задвижка 30XV104-аларм;;;;;
FGS_301_1.30XA1005_2;PLC=10/FLD=170(FSC);DO;FD act. in Drain drum FDAP-C,F lamp;;;;;
