ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
30GT515;PLC=11281/FLD=330(FLD);AI;Near V-3023;GI515;M;Показания;#ScaleN(0,100,361,3439);
FGS_301_1.30XL242AB;PLC=44/FLD=1014(FSC);DO;SC MO act. in 3000;;;;;
FGS_301_1.30XA561_1;PLC=17/FLD=472(FSC);DO;IB-30-1-T. GAS ALARM;;;;;
00XS301GMC01;PLC=511/FLD=22(MAR);DI;IB30-1 COMM. ALARM F-MC-01;;;;;
30HS355;PLC=454/FLD=190(FLD);DI;Проверка 30XA580B/A, 30XA581B/A;;;;;
30YT015;PLC=11145/FLD=186(FLD);AI;У насоса P-3001A (в осях 2/В);;;;#=83;
30XZSC300;PLC=434/FLD=804(MCC);DI;Задвижка закрыта (CLOSED);XV-300;M;Закрыт;;
30HS1001;PLC=11025/FLD=110(FLD);AI;Стойка эстакады 7-C22;;;;#=525;
30GT518;PLC=11373/FLD=336(FLD);AI;Near V-3027;GI518;M;Показания;#ScaleN(0,100,361,3439);
30GT523;PLC=11225/FLD=470(FLD);AI;Near P-3022А;GI523;M;Показания;#ScaleN(0,100,525,3439);
30XY530B;PLC=578/FLD=502(FLD);DO;Northern entrance to compressor room;;;;;
30HY125;PLC=521/FLD=918(MCC);DO;Stop В1, P1, P1a (Stop at Fire);;;;;
30XS190;PLC=506/FLD=916(MCC);DI;"AВ3004  ""Включен"" (RUNNING)";;;;;
30GT524;PLC=11377/FLD=346(FLD);AI;Overpass, near 7-С19;GI524;M;Показания;#ScaleN(0,100,361,3439);
30XY582B;PLC=573/FLD=192(FLD);DO;Внутри здания(в осях 7/А);;;;;
30XY542B;PLC=590/FLD=510(FLD);DO;Inside pumphouse (constr. 03), in axes 6-7;;;;;
30XY571B;PLC=562/FLD=200(FLD);DO;Стойка эстакады 7-C23;;;;;
FGS_301_1.30XL178;PLC=49/FLD=912(FSC);DO;AB3002 Running;;;;;
30XY557A;PLC=632/FLD=564(FLD);DO;At the entrance to pumphouse, in axes 7-8/Б-В;;;;;
30XY538B;PLC=586/FLD=522(FLD);DO;Between Е-3001В and Е-3001С;;;;;
30XY572A;PLC=539/FLD=204(FLD);DO;У аппарата E-3001С;;;;;
30HS177A2;PLC=494/FLD=898(FLD);DI;AB3002...AB3004- ON  at 2 - main entrance;;;;;
30HS1002;PLC=11029/FLD=112(FLD);AI;Steam emergency supply to Н-3001;;;;#=525;
FGS_301_1.30XA560_2;PLC=16/FLD=418(FSC);DO;IB-30-1-FL. GAS ALARM;;;;;
FGS_301_1.30XA560_1;PLC=15/FLD=412(FSC);DO;IB-30-1-FL. GAS ALARM;;;;;
30GT510;PLC=11345/FLD=324(FLD);AI;Between P-3005A/S;GI510;M;Показания;#ScaleN(0,100,361,3439);
30GT546;PLC=11349/FLD=358(FLD);AI;Near Р-3003А;GI546;M;Показания;#ScaleN(0,100,361,3439);
30YT002;PLC=11093/FLD=152(FLD);AI;У насосов P-3007A/S(в осях 1/B);;;;#=83;
FGS_301_1.30XL528_1;PLC=43/FLD=602(FSC);DO;T.GD act. in 30GT528;;;;;
30XY572B;PLC=563/FLD=204(FLD);DO;У аппарата E-3001С;;;;;
30HY176;PLC=525/FLD=902(MCC);DO;"AВ3001 ""Стоп"" (STOP)";;;;;
30HS176C;PLC=492/FLD=900(F01);DI;"AB3001- ""ON"" (ON)";;;;;
30XY535A;PLC=615/FLD=518(FLD);DO;Near R-3001, T-3001;;;;;
30XY529A;PLC=609/FLD=502(FLD);DO;Southern entrance to compressor room;;;;;
FGS_301_1.30HS229A_REL;PLC=6/FLD=305(FSC);DI;GAS MOS 3000 RELEASE;;;;;
