ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
30TI841B;PLC=10181/FLD=267(FLD);AI;P-3004 S THRUST BEARING;Р-3004S;M;Температура_4;;
30XZSO900;PLC=1387/FLD=1136(FLD);DI;FLUE GAS;XV-900;M;Открыт;#0;
30HS126BA;PLC=1440/FLD=237(PNL);DI;SD AT FIRE P-3026 - T.06;30HS126B;HS->RSU;;#0;
30TI839B;PLC=10179/FLD=265(FLD);AI;P-3004 A THRUST BEARING;Р-3004A;M;Температура_3;;
30TI884D;PLC=10203/FLD=1430(FLD);AI;C-3001S  OIL RESER CRANK;МБ_C-3001S;M;Температура;;
30HS125BA;PLC=1438/FLD=242(PNL);DI;STOP AT FIRE- T 06-PUMPH;30HS125B;HS->RSU;;#0;
30PI944;PLC=10137/FLD=518(FLD);AI;COMBUSTION AIR;P944;M;Показания;;
30TI863A;PLC=10400/FLD=360(FLD);AI;TEMP ISOLATION SHELL;;;;#=25;
30XL123_ON;PLC=21/FLD=236(FSC);DO;SD AT FIRE P3025 - N. 05;;;;;
30TI853B2;PLC=10433/FLD=325(FLD);AI;P-3012 S THRUST BEARING;Р-3012S;M;Температура_4;;
30XSC030C;PLC=0/FLD=446(FLD);DI;30XV030 READY TO CLOSE;XV-030;M;Открыт;;
30XZSO907;PLC=0/FLD=1126(FLD);DI;FUEL GAS;XV-907;M;Открыт;#0;
30XL911B;PLC=1491/FLD=1178(LCP);DO;2ND BLOCK VALVE CLOSE;30XL911B;RSU->HS;;;
30TI843A;PLC=10182/FLD=450(FLD);AI;P-3005 A  LINE BEARING;Р-3005A;M;Температура_1;;
30XL909B;PLC=1487/FLD=1178(LCP);DO;1ST BLOCK VALVE CLOSE;30XL909B;RSU->HS;;;
30TI059A;PLC=10461/FLD=310(FLD);AI;INJECTION C-3001S;T059;M;Показания;;
30TI157A;PLC=10147/FLD=524(FLD);AI;TAR OIL H-3001 (3 COIL);T028C;M;Показания;;
30XA947C;PLC=1468/FLD=1160(LCP);DO;GENERAL HEATER TRIP;30XA947C;RSU->HS;;;
30TI839A2;PLC=10419/FLD=264(FLD);AI;P-3004 A  LINE BEARING;Р-3004A;M;Температура_2;;
30TI851B2;PLC=10397/FLD=322(FLD);AI;P-3012 A THRUST BEARING;Р-3012A;M;Температура_4;;
30TI832A;PLC=10417/FLD=1361(FLD);AI;P-3003S PUMP J. BEAR. T.;;;;;
30HS123BA;PLC=1434/FLD=236(PNL);DI;SD AT FIRE P-3025 - T.05;30HS123B;HS->RSU;;#0;
30XL048B_ON;PLC=14/FLD=240(FSC);DO;C-3001S EMERG. SD;;;;;
30ZSLL978;PLC=1373/FLD=1434(FLD);DI;C-3001S  LOCKING DEVICE;;;;#=1;
ELD_301_1_RESET;PLC=1840/FLD=18(CAB);DO;IB-30-1 RESET ELD;;;;;
30XL941;PLC=1495/FLD=1170(LCP);DO;PILOT READY TO START;30XL941;RSU->HS;;;
30TI059;PLC=10142/FLD=310(FLD);AI;INJECTION C-3001S;T059;M;Показания;;
30XY004;PLC=1531/FLD=251(MCC);DO;P-3001S STOP TECH FAIL;Р-3001S;M;Стоп2;#0;
30TI847A2;PLC=10423/FLD=271(FLD);AI;P-3006 A  LINE BEARING;Р-3006A;M;Температура_2;;
30HS048_1;PLC=1377/FLD=240(PNL);DI;C-3001S EMERGENCY STOP;30HS048;HS->RSU;;#0;
30TI832;PLC=10175/FLD=1361(FLD);AI;P-3003S PUMP J. BEAR. T.;Р-3003S;M;Температура_2;;
30XY069;PLC=1553/FLD=404(MCC);DO;P-3026 - STOP TECH FAIL;Р-3026;M;Стоп2;#0;
30XL907A;PLC=1482/FLD=1180(LCP);DO;BLEED VALVE CLOSE;30XL907A;RSU->HS;;;
30HS120AA;PLC=1341/FLD=233(FLD);DI;SD AT FIRE - T.03 PUMPH.;30HS120A;HS->RSU;;#0;
30PDI912;PLC=38/FLD=501(FLD);AI;FO SUPPLY / ATOMIZ STEAM;PD913;M;Показания;;
30LI004;PLC=10087/FLD=262(FLD);AI;T-3001 FRACTION COLUMN;T-3001;M;L_41;#ScaleN(90,100,0,105.3);
30XY054;PLC=1500/FLD=340(FLD);DO;MED-PRES WATER STEAM;XV-054;M;Соленоид;#0;
30TI905C;PLC=10212/FLD=561(FLD);AI;ARCH TEMPERATURE;T905A;M;Показания;;
30HS048A_2;PLC=1831/FLD=1428(LCP);DI;C-3001S EMERGENCY STOP;30HS048A;HS->RSU;;#0;
30XA888;PLC=1462/FLD=1226(LCP);DO;C-3001A HORN;;;;;
30PI907;PLC=10130/FLD=540(FLD);AI;ARCH PRESSURE;Н-3001;M;P_дыма_Па;;
30HS126AA;PLC=1357/FLD=237(FLD);DI;SD AT FIRE P-3026 - T.06;30HS126A;HS->RSU;;#0;
30TI847B2;PLC=10424/FLD=272(FLD);AI;P-3006 A THRUST BEARING;Р-3006A;M;Температура_4;;
30TI824;PLC=10173/FLD=1342(FLD);AI;P-3003A EL.MTR AIR FLOW;;;;#=48;
30XZSG030;PLC=0/FLD=442(MOV);DI;"XV-030 ""OPENED < 80%""";XV-030;M;Положение;#(x>80);
30XZSC002;PLC=1409/FLD=248(MOV);DI;"XV-002 ""100% CLOSED""";XV-002;M;Закрыт;;
30LI025;PLC=10093/FLD=323(FLD);AI;NONSTABLE NAPHTA. V3008;V-3008;M;Уровень;#ScaleN(0,20,0,105.3);
30PI164A;PLC=10122/FLD=565(FLD);AI;OUTLET FROM H3001 COIL 4;P164;M;Показания;;
30XL0103B_ON;PLC=15/FLD=458(FSC);DO;30XV103 OPEN;;;;;
30XY904;PLC=1256/FLD=1120(FLD);DO;FUEL OIL SUPPLY;XV-904;M;Соленоид;;
30HS121BB;PLC=1431/FLD=234(PNL);DI;SD AT FIRE - T. 03 - ABO;30HS121B;HS->RSU;;#0;
30TI860;PLC=10198/FLD=281(FLD);AI;TEMP ISOLATION SHELL;Изм_Р-3007A;M;Температура_3;;
30XY899B;PLC=1561/FLD=1238(MCC);DO;C-3001 COOL WATER PM1S;;;;;
30TI802;PLC=10163/FLD=1301(FLD);AI;P-3001A PUMP J. BEARING;Р-3001A;M;Температура_2;;
30XY975C;PLC=1523/FLD=1470(FLD);DO;C-3001S  VALVE UNLOADERS;;;;;
30HS121AB;PLC=1344/FLD=234(FLD);DI;SD AT FIRE-T.03;30HS121A;HS->RSU;;#0;
30PI883B;PLC=10128/FLD=1424(FLD);AI;C-3001S PRES OIL CASE;P883A;M;Показания;;
30XY036;PLC=1540/FLD=279(MCC);DO;P-3006S STOP TECH FAIL;Р-3006S;M;Стоп2;#0;
30TI831;PLC=10174/FLD=1360(FLD);AI;P-3003S PUMP T. BEAR. T.;Р-3003S;M;Температура_1;;
30XL018B_ON;PLC=10/FLD=543(FSC);DO;H-3001 EMERG. SD;;;;;
30XL125_ON;PLC=23/FLD=242(FSC);DO;STOP AT FIRE-N.06-PMPH;;;;;
30AY950A;PLC=1571/FLD=1164(FLD);DO;FLUE GAS;;;;;
30XA947F;PLC=1471/FLD=1162(LCP);DO;PILOT GAS TRIP;30XA947F;RSU->HS;;;
30XY899A;PLC=1560/FLD=1238(MCC);DO;C-3001 COOL WATER PM1;;;;;
30XY918;PLC=1564/FLD=1138(MCC);DO;FLUE GAS FAN C-3003A;;;;;
30PI067;PLC=10110/FLD=311(FLD);AI;INJECTION C-3001S;P067;M;Показания;;
30XY900;PLC=1383/FLD=1136(FLD);DO;FLUE GAS;XV-900;M;Соленоид;#0;
00XS301EMC01;PLC=1379/FLD=18(MAR);DI;IB301 COMM ALARM EMC01;;;;;
30HS938;PLC=1363/FLD=715(FLD);DI;PURGE START UP;30HS938;HS->RSU;;;
30PI917A;PLC=37/FLD=505(FLD);AI;MAIN FUEL GAS;P916;M;Показания;;
30PY026;PLC=1459/FLD=438(FLD);DO;R-3001 SOAKING CHAMBER;;;;;
30FI777A1;PLC=10440/FLD=1186(FLD);AI;C-3001A COOL H20 CYL 1;F777A;M;Показания;;
30TI849B;PLC=10189/FLD=275(FLD);AI;P-3006 S THRUST BEARING;Р-3006S;M;Температура_3;;
30LI060;PLC=10101/FLD=381(FLD);AI;V-3027 DARK OIL PRODUCTS;V-3027;M;Уровень;;
30XL909A;PLC=1486/FLD=1180(LCP);DO;1ST BLOCK VALVE OPEN;30XL909A;RSU->HS;;;
30PI143A;PLC=10113/FLD=562(FLD);AI;OUTLET FROM H3001 COIL 1;P143;M;Показания;;
30XZSC906;PLC=0/FLD=1124(FLD);DI;FUEL GAS;XV-906;M;Закрыт;#0;
30XA947K;PLC=1475/FLD=1164(LCP);DO;O2 ANAL TRIP UNHEALTHY;30XA947K;RSU->HS;;;
30XY869;PLC=1555/FLD=1452(MCC);DO;C-3001S LO PM1S TRIP;;;;;
30VSHH976;PLC=1306/FLD=1418(BNS);DI;C-3001S VIBR CRANK HORIZ;;;;#=1;
30FI877A1;PLC=10442/FLD=1400(FLD);AI;C-3001S COOL H20 CYL 1;F877A;M;Показания;;
00XS301E01P01;PLC=1310/FLD=18(CAB);DI;IB301 ESD-01 ALARM PS 01;;;;;
30XA868;PLC=1461/FLD=1446(LCP);DO;C-3001S HORN;;;;;
30TI890;PLC=10206/FLD=283(FLD);AI;TEMP ISOLATION SHELL;Изм_Р-3007S;M;Температура_3;;
30XZSO030;PLC=1413/FLD=446(MOV);DI;"XV-030 ""100% OPENED""";XV-030;M;Открыт;;
30TI784E;PLC=10160/FLD=1210(FLD);AI;C-3001A TEMP BEARING NDE;C-3001A-МС;M;Температура_5;;
30PI162B;PLC=10117/FLD=563(FLD);AI;OUTLET FROM H3001 COIL 2;P162;M;Показания;;
30TI754A;PLC=10408/FLD=370(FLD);AI;P-3021 PUMP T. BEAR TEMP;;;;;
30PI907A;PLC=10468/FLD=540(FLD);AI;ARCH PRESSURE;Н-3001;M;P_дыма_Па;;
30TI823A;PLC=10415/FLD=1343(FLD);AI;P-3003A PUMP J. BEAR. T.;;;;;
30TI833A;PLC=10418/FLD=1363(FLD);AI;P-3003S PUMP J. BEAR. T.;;;;;
30XY875A;PLC=1508/FLD=1244(FLD);DO;C-3001A  VALVE UNLOADERS;;;;;
30HS030BA;PLC=1424/FLD=442(PNL);DI;CLS XV030-096/ P-3005A/S;30HS030B;HS->RSU;;#0;
30TI924;PLC=10214/FLD=515(FLD);AI;COMBUSTION AIR;T923;M;Показания;;
30TI857A2;PLC=10434/FLD=354(FLD);AI;P-3013 S  LINE BEARING;Р-3013S;M;Температура_2;;
30TI860A;PLC=10436/FLD=281(FLD);AI;TEMP ISOLATION SHELL;;;;#=25;
30HS103A2;PLC=580/FLD=458(FLD);DI;30XV103 OPEN;XV-103_HS;HS->RSU;;#0;
30BALL901A;PLC=1447/FLD=1172(LCP);DO;BURNER 3;30BALL901A;RSU->HS;;;
30XY975A;PLC=1521/FLD=1466(FLD);DO;C-3001S  VALVE UNLOADERS;;;;;
30XY037;PLC=1541/FLD=285(MCC);DO;P-3007A -STOP TECH FAIL;Р-3007A;M;Стоп2;#0;
30LI008;PLC=10088/FLD=254(FLD);AI;T-3001 FRACTION COLUMN;T-3001;M;L_41;#ScaleN(5,20,0,105.3);
30TI821;PLC=10170/FLD=1340(FLD);AI;P-3003A PUMP T. BEAR. T.;Р-3003A;M;Температура_1;;
30TI776C;PLC=10157/FLD=1208(FLD);AI;C-3001A PROC GAS CYL 1;T776C_E;M;Показания;;
30XL940;PLC=1494/FLD=1170(LCP);DO;BURNER Q.TY OVER VALUE;30XL940;RSU->HS;;;
30HS119AA2;PLC=1338/FLD=232(FLD);DI;SD AT FIRE-T.03  PUMPH.;30HS119A2;HS->RSU;;#0;
30TI853A2;PLC=10432/FLD=324(FLD);AI;P-3012 S  LINE BEARING;Р-3012S;M;Температура_2;;
30TI863;PLC=10199/FLD=360(FLD);AI;TEMP ISOLATION SHELL;Изм_Р-3022A;M;Температура_3;;
30XSC023C;PLC=0/FLD=257(FLD);DI;30XV023 READY TO CLOSE;XV-023;M;Открыт;;
01_10_SNESD_FLT;PLC=0/FLD=37(FSC);DI;ESD_001_1-ESD_301_1;;;;;
30TI801;PLC=10162/FLD=1300(FLD);AI;P-3001A PUMP T. BEARING;Р-3001A;M;Температура_1;;
30HS122BB;PLC=1433/FLD=235(PNL);DI;SD AT FIRE P-3020 - T.04;30HS122B;HS->RSU;;#0;
30VSHH875;PLC=1442/FLD=1212(BNS);DI;C-3001A VIBR CRANK VERT;;;;#=1;
30TI855B;PLC=10195/FLD=352(FLD);AI;P-3013 A THRUST BEARING;Р-3013A;M;Температура_3;;
30XY074;PLC=1503/FLD=432(FLD);DO;BLOWING WATER TO V-3013;XV-074;M;Соленоид;#0;
30PDI912A;PLC=39/FLD=501(FLD);AI;FO SUPPLY / ATOMIZ STEAM;PD913;M;Показания;;
10_01_SNESD_FLT;PLC=25/FLD=20(FSC);DO;;;;;;
30XZSC909;PLC=0/FLD=1130(FLD);DI;PILOT FUEL GAS;XV-909;M;Закрыт;#0;
30TI752A;PLC=10405/FLD=380(FLD);AI;P-3025 PUMP T. BEAR TEMP;;;;;
30TI901;PLC=10209/FLD=556(FLD);AI;CONVECTION TEMPERATURE;T901;M;Показания;;
30TI158A;PLC=10150/FLD=526(FLD);AI;TAR OIL H-4001 (4 COIL);T028D;M;Показания;;
30HSXV008;PLC=1805/FLD=436(FLD);DI;30HV008 BUTTON FEED;HV-008_HS;HS->RSU;;#0;
30HS119AB1;PLC=1339/FLD=232(FLD);DI;SD AT FIRE-T.03  PUMPH.;30HS119A1;HS->RSU;;#0;
30BSLL901A;PLC=10070/FLD=547(FLD);AI;BURNER 3;Н-3001;M;Интенсивность_пилот_2;;
30XY906;PLC=1260/FLD=1124(FLD);DO;FUEL GAS;XV-906;M;Соленоид;#0;
30TI776D;PLC=10158/FLD=1207(FLD);AI;C-3001A PROC GAS CYL 2;T776D_F;M;Показания;;
30PI163B;PLC=10120/FLD=564(FLD);AI;OUTLET FROM H3001 COIL 3;P163;M;Показания;;
30XY875B;PLC=1509/FLD=1246(FLD);DO;C-3001A  VALVE UNLOADERS;;;;;
30HS018A2;PLC=584/FLD=543(FLD);DI;FIELD E.S.D;30HS018A;HS->RSU;;#0;
30XZSC907;PLC=0/FLD=1126(FLD);DI;FUEL GAS;XV-907;M;Закрыт;#0;
30HS103A1;PLC=1331/FLD=458(FLD);DI;30XV103 OPEN;XV-103_HS;HS->RSU;;#0;
30PI164C;PLC=10124/FLD=565(FLD);AI;OUTLET FROM H3001 COIL 4;P164;M;Показания;;
30XY016;PLC=1499/FLD=436(FLD);DO;VAPORS ARMATURE TO T3001;XV-016;M;Соленоид;#0;
30TI784D;PLC=10159/FLD=1212(FLD);AI;C-3001A  OIL RESER CRANK;МБ_C-3001A;M;Температура;;
30TI905A;PLC=10210/FLD=561(FLD);AI;ARCH TEMPERATURE;T905A;M;Показания;;
30HS943A;PLC=1368/FLD=799(FLD);DI;FUEL OIL SUPPLY OPEN;30HS943A;HS->RSU;;;
30HS126BB;PLC=1441/FLD=237(PNL);DI;SD AT FIRE P-3026 - T.06;30HS126B;HS->RSU;;#0;
30XZSO909;PLC=0/FLD=1130(FLD);DI;PILOT FUEL GAS;XV-909;M;Открыт;#0;
30BSLL900B;PLC=10069/FLD=549(FLD);AI;BURNER 2;Н-3001;M;Интенсивность_пламени_1;;
30XA018;PLC=1460/FLD=1166(FLD);DO;SHUTDOWN;;;;;
30TI157C;PLC=10149/FLD=524(FLD);AI;TAR OIL H-3001 (3 COIL);T028C;M;Показания;;
30HSXV007;PLC=1804/FLD=436(FLD);DI;30HV007 BUTTON FEED;HV-007_HS;HS->RSU;;#0;
30XZSC910;PLC=0/FLD=1132(FLD);DI;PILOT FUEL GAS;XV-910;M;Закрыт;#0;
30XY025;PLC=1534/FLD=261(MCC);DO;P-3003S STOP TECH FAIL;Р-3003S;M;Стоп2;#0;
30TI853B;PLC=10193/FLD=325(FLD);AI;P-3012 S THRUST BEARING;Р-3012S;M;Температура_3;;
30XZSC093;PLC=1417/FLD=249(MOV);DI;"XV-093 ""CLOSED""";XV-093;M;Закрыт;;
30TI855A2;PLC=10398/FLD=351(FLD);AI;P-3013 A  LINE BEARING;Р-3013A;M;Температура_2;;
30LI031;PLC=10095/FLD=353(FLD);AI;V-3009;V-3009;M;Уровень;#ScaleN(0,20,0,105.3);
30TI901A;PLC=10439/FLD=556(FLD);AI;CONVECTION TEMPERATURE;T901;M;Показания;;
30TI876C;PLC=10201/FLD=1432(FLD);AI;C-3001S PROC GAS CYL 1;T876C_E;M;Показания;;
30XL938A;PLC=1493/FLD=1170(LCP);DO;PURGE COMPLETED;30XL938A;RSU->HS;;;
30XSC094C;PLC=0/FLD=258(FLD);DI;30XV094 READY TO CLOSE;XV-094;M;Открыт;;
30XSC096;PLC=0/FLD=448(MOV);DO;"XV-096 ""CLOSE""";XV-096;M;Закрыть;;
30TI855B2;PLC=10399/FLD=352(FLD);AI;P-3013 A THRUST BEARING;Р-3013A;M;Температура_4;;
30XY917;PLC=1563/FLD=1138(MCC);DO;COMB. AIR C-3002B;;;;;
30XA945;PLC=1465/FLD=1164(LCP);DO;LOCAL HORN;30XA945;RSU->HS;;;
30TI896A;PLC=10438/FLD=412(FLD);AI;TEMP ISOLATION SHELL;;;;#=25;
30HS002AB;PLC=1316/FLD=245(FLD);DI;CLS XV002-093/ P-3001A/S;30HS002A;HS->RSU;;#0;
30PI888;PLC=10129/FLD=1419(FLD);AI;C-3001S PRES PURGE GAS;P888;M;Показания;;
30HS023AB;PLC=1325/FLD=254(FLD);DI;CLS XV023-094/ P-3003A/S;30HS023A;HS->RSU;;#0;
30TI845B2;PLC=10429/FLD=453(FLD);AI;P-3005 S THRUST BEARING;;;;;
30HS017B;PLC=1423/FLD=436(PNL);DI;STEAM EM.SUPPLY TO H3001;30HS017;HS->RSU;;#0;
30TI756;PLC=10156/FLD=390(FLD);AI;P-3020 PUMP T. BEAR TEMP;Р-3020;M;Температура_1;;
30LI040;PLC=10096/FLD=411(FLD);AI;ANTIFREEZE V-3021;V-3021;M;Уровень;#ScaleN(0,20,0,105.3);
30HS119AA1;PLC=1337/FLD=232(FLD);DI;SD AT FIRE-T.03  PUMPH.;30HS119A1;HS->RSU;;#0;
30XY066;PLC=1551/FLD=376(MCC);DO;P-3021 - STOP TECH FAIL;Р-3021;M;Стоп2;#0;
30BSLL902B;PLC=10073/FLD=550(FLD);AI;BURNER 6;Н-3001;M;Интенсивность_пламени_3;;
30LI051;PLC=10098/FLD=432(FLD);AI;V-3013 CONT. BLOWING SEP;V-3013;M;Уровень;#ScaleN(55,100,0,100);
30LI057;PLC=10099/FLD=391(FLD);AI;V3023 LIGHT OIL PRODUCTS;V-3023;M;Уровень;;
30TI851B;PLC=10191/FLD=322(FLD);AI;P-3012 A THRUST BEARING;Р-3012A;M;Температура_3;;
30HSXV026;PLC=1808/FLD=438(FLD);DI;30PV026 BUTTON FEED;PV-026_HS;HS->RSU;;#0;
30TI839B2;PLC=10420/FLD=265(FLD);AI;P-3004 A THRUST BEARING;Р-3004A;M;Температура_4;;
30TI811;PLC=10166/FLD=1320(FLD);AI;P-3001S PUMP T. BEARING;Р-3001S;M;Температура_1;;
30XZSO094;PLC=1418/FLD=258(MOV);DI;"XV-094 ""OPENED""";XV-094;M;Открыт;;
30LI021;PLC=10458/FLD=290(FLD);AI;V3005 HYDROCARBONS/WATER;V-3005;M;Уровень;;
30XY065;PLC=1550/FLD=394(MCC);DO;P-3020 - STOP TECH FAIL;Р-3020;M;Стоп2;#0;
30PI056A;PLC=10450/FLD=291(FLD);AI;V-3005;V-3005;M;Давление;#*98.065;
30PI066;PLC=10109/FLD=301(FLD);AI;INJECTION C-3001A;P066;M;Показания;;
30TI893;PLC=10207/FLD=362(FLD);AI;TEMP ISOLATION SHELL;;;;#=25;
00XS301E01P04;PLC=1313/FLD=18(CAB);DI;IB301 ESD-01 ALARM PS 04;;;;;
30HS705_REL;PLC=6/FLD=41(FSC);DI;ESD MOS REL AREA C-3001S;;;;;
30TI803A;PLC=10404/FLD=1303(FLD);AI;P-3001A PUMP J. BEARING;;;;;
30TI750A;PLC=10406/FLD=400(FLD);AI;P-3026 PUMP T. BEAR TEMP;;;;;
30TI853A;PLC=10192/FLD=324(FLD);AI;P-3012 S  LINE BEARING;Р-3012S;M;Температура_1;;
00XS301E01FAN;PLC=1309/FLD=18(CAB);DI;IB301 ESD-01 ALARM FAN;;;;;
30TI752;PLC=10154/FLD=380(FLD);AI;P-3025 PUMP T. BEAR TEMP;Р-3025;M;Температура_1;;
30TI784D2;PLC=10407/FLD=1212(FLD);AI;C-3001A  OIL RESER CRANK;МБ_C-3001A;M;Температура;;
30XZSG002;PLC=0/FLD=246(MOV);DI;"XV-002 ""OPENED < 80%""";XV-002;M;Положение;#(x>80);
30XZSC908;PLC=0/FLD=1128(FLD);DI;FUEL GAS;XV-908;M;Закрыт;#0;
30HS002BA;PLC=1317/FLD=246(PNL);DI;CLS XV002-093/ P-3001A/S;30HS002B;HS->RSU;;#0;
30XA947J;PLC=1474/FLD=1164(LCP);DO;COMBUSTION SHUT-DOWN;30XA947J;RSU->HS;;;
30HS899_2;PLC=1835/FLD=1225(FLD);DI;C-3001 EMERGENCY STOP;30HS899;HS->RSU;;#0;
30XA939C;PLC=1464/FLD=1164(LCP);DO;FIREBOX HEALTHY;30XA939C;RSU->HS;;;
30HS023BB;PLC=1327/FLD=255(PNL);DI;CLS XV023-094/ P-3003A/S;30HS023B;HS->RSU;;#0;
30PI143B;PLC=10114/FLD=562(FLD);AI;OUTLET FROM H3001 COIL 1;P143;M;Показания;;
30HS703_EN;PLC=1/FLD=37(FSC);DI;ESD MOS EN AREA H-3001;;;;;
30XY050;PLC=1545/FLD=329(MCC);DO;P-3012S-STOP TECH FAIL;Р-3012S;M;Стоп2;#0;
30XL118_ON;PLC=16/FLD=231(FSC);DO;STOP P-3021 FIRE - N. 02;;;;;
30XY028;PLC=1535/FLD=269(MCC);DO;P-3004A-STOP TECH FAIL;Р-3004A;M;Стоп2;#0;
30HS120BA;PLC=1428/FLD=233(PNL);DI;SD AT FIRE - T.03 PUMPH;30HS120B;HS->RSU;;#0;
30XY015;PLC=1498/FLD=436(FLD);DO;HP H2O STEAM FROM V-3014;XV-015;M;Соленоид;;
30XY975D;PLC=1524/FLD=1472(FLD);DO;C-3001S  VALVE UNLOADERS;;;;;
30LI018;PLC=10091/FLD=273(FLD);AI;V-3003 NON-STABLE NAPHTA;V-3003;M;Уровень;#ScaleN(0,20,0,105.3);
30XL904B;PLC=1477/FLD=1178(LCP);DO;INPUT SUPPLY CLOSE;30XL904B;RSU->HS;;;
00XS301E01TMP;PLC=1314/FLD=18(CAB);DI;IB301 ESD-01 ALARM TEMP;;;;;
30HS119AB2;PLC=1340/FLD=232(FLD);DI;SD AT FIRE-T.03  PUMPH.;30HS119A2;HS->RSU;;#0;
30HSXV079;PLC=1802/FLD=438(FLD);DI;30XV079 BUTTON FEED;XV-079_HS;HS->RSU;;;
30TI812A;PLC=10411/FLD=1321(FLD);AI;P-3001S PUMP J. BEARING;;;;;
30TI857B2;PLC=10435/FLD=355(FLD);AI;P-3013 S THRUST BEARING;Р-3013S;M;Температура_4;;
30LI002;PLC=10086/FLD=245(FLD);AI;V-3001 RAW MAT. TANK;V-3001;M;Уровень;#ScaleN(0,20,0,105.3);
30HSXV010;PLC=1807/FLD=436(FLD);DI;30HV010 BUTTON FEED;HV-010_HS;HS->RSU;;#0;
30HS002BB;PLC=1318/FLD=246(PNL);DI;CLS XV002-093/ P-3001A/S;30HS002B;HS->RSU;;#0;
30HS047_1;PLC=1374/FLD=239(PNL);DI;C-3001A EMERGENCY STOP;30HS047;HS->RSU;;#0;
30ZSLL977;PLC=1372/FLD=1434(FLD);DI;C-3001S  FLYWHEEL  COVER;;;;#=1;
30TI845B;PLC=10185/FLD=453(FLD);AI;P-3005 S THRUST BEARING;Р-3005S;M;Температура_2;;
30PI075;PLC=10111/FLD=340(FLD);AI;VAPORS OF HYDROC T-3003;T-3003;M;P_1;#*0.0980665;
30HS047BB;PLC=1253/FLD=239(FLD);DI;C-3001 EMERGENCY STOP;30HS047B;HS->RSU;;#0;
30HSXV075;PLC=1801/FLD=434(FLD);DI;30XV075 BUTTON FEED;XV-075_HS;HS->RSU;;#0;
30HS941C;PLC=1365/FLD=733(FLD);DI;PILOT FG SUPPLY OPEN;30HS941C;HS->RSU;;;
30HS705_EN;PLC=5/FLD=41(FSC);DI;ESD MOS EN AREA C-3001S;;;;;
30HS018C;PLC=1323/FLD=543(FLD);DI;LOCAL PANEL E.S.D;30HS018C;HS->RSU;;#0;
30HS942B;PLC=1367/FLD=1123(FLD);DI;MAIN FG SUPPLY CLOSE;30HS942B;HS->RSU;;;
30XY916;PLC=1562/FLD=1138(MCC);DO;COMB. AIR C-3002A;;;;;
30TI821A;PLC=10413/FLD=1340(FLD);AI;P-3003A PUMP T. BEAR. T.;;;;;
30TI754;PLC=10155/FLD=370(FLD);AI;P-3021 PUMP T. BEAR TEMP;Р-3021;M;Температура_1;;
30XL905A;PLC=1478/FLD=1182(LCP);DO;OUTPUT SUPPLY OPEN;30XL905A;RSU->HS;;;
30HS018A1;PLC=583/FLD=543(FLD);DI;FIELD E.S.D;30HS018A;HS->RSU;;#0;
30XL910A;PLC=1488/FLD=1180(LCP);DO;BLEED VALVE CLOSE;30XL910A;RSU->HS;;;
30TI839A;PLC=10178/FLD=264(FLD);AI;P-3004 A  LINE BEARING;Р-3004A;M;Температура_1;;
30TI845A;PLC=10184/FLD=452(FLD);AI;P-3005 S  LINE BEARING;Р-3005S;M;Температура_1;;
30XZSO905;PLC=0/FLD=1122(FLD);DI;FUEL OIL RETURN;XV-905;M;Открыт;#0;
30XL017_ON;PLC=9/FLD=436(FSC);DO;STEAM EMERG.TO H-3001;;;;;
30HY869;PLC=0/FLD=1456(MCC);DO;C-3001S LO START PM1S;C-3001S-P1S;M;Пуск;;
30HS017A;PLC=1422/FLD=436(PNL);DI;STEAM EM.SUPPLY TO H3001;30HS017;HS->RSU;;#0;
30TI784F;PLC=10161/FLD=1211(FLD);AI;C-3001A  MAIN BEARING DE;C-3001A-МС;M;Температура_6;;
30TI834;PLC=10177/FLD=1362(FLD);AI;P-3003S EL.MTR AIR FLOW;;;;#=48;
30TI847B;PLC=10187/FLD=272(FLD);AI;P-3006 A THRUST BEARING;Р-3006A;M;Температура_3;;
30TI058;PLC=10141/FLD=300(FLD);AI;INJECTION C-3001A;T058;M;Показания;;
30LS010;PLC=10104/FLD=268(FLD);AI;SUCT. P-3004A;L010;M;Заполнение;;
30HS030BB;PLC=1425/FLD=442(PNL);DI;CLS XV030-096/ P-3005A/S;30HS030B;HS->RSU;;#0;
30PI163A;PLC=10119/FLD=564(FLD);AI;OUTLET FROM H3001 COIL 3;P163;M;Показания;;
30TI823;PLC=10172/FLD=1343(FLD);AI;P-3003A PUMP J. BEAR. T.;Р-3003A;M;Температура_3;;
30HS125AB;PLC=1355/FLD=242(FLD);DI;SD AT FIRE-T.06 - PUMPH.;30HS125A;HS->RSU;;#0;
30LI039;PLC=10464/FLD=411(FLD);AI;ANTIFREEZE V-3021;V-3021;M;Уровень;;
30HS048BB;PLC=1226/FLD=240(FLD);DI;C-3001S EMERGENCY STOP;30HS048B;HS->RSU;;#0;
30PI911B;PLC=10132/FLD=502(FLD);AI;FUEL OIL SUPPLY;P910;M;Показания;;
30XY055;PLC=0/FLD=331(FLD);DO;STABLE NAPHTA TO PARK;XV-055;M;Соленоид;#0;
30XZSO904;PLC=0/FLD=1120(FLD);DI;FUEL OIL SUPPLY;XV-904;M;Открыт;#0;
