ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
30FI877B1;PLC=10446/FLD=1402(FLD);AI;C-3001S COOL H20 CYL 2;F877B;M;Показания;;
30XZSO093;PLC=1416/FLD=249(MOV);DI;"XV-093 ""OPENED""";XV-093;M;Открыт;;
30FI877B2;PLC=10441/FLD=1402(FLD);AI;C-3001S COOL H20 CYL 2;F877B;M;Показания;;
30XZSG023;PLC=0/FLD=255(MOV);DI;"XV-023 ""OPENED < 80%""";XV-023;M;Положение;#(x>80);
30XZSC904;PLC=0/FLD=1120(FLD);DI;FUEL OIL SUPPLY;XV-904;M;Закрыт;#0;
30HS703_REL;PLC=9/FLD=37(FSC);DI;ESD MOS REL AREA H-3001;;;;;
30TI156A;PLC=10144/FLD=522(FLD);AI;TAR OIL H-3001 (2 COIL);T028B;M;Показания;;
30XL911A;PLC=1490/FLD=1180(LCP);DO;2ND BLOCK VALVE OPEN;30XL911A;RSU->HS;;;
30XA947D;PLC=1469/FLD=1160(LCP);DO;LOSS OF DRAFT PROTECTION;30XA947D;RSU->HS;;;
30LI013;PLC=10089/FLD=440(FLD);AI;T-3002 (CUBE);Т-3002;M;L_9;#ScaleN(5,20,0,105.3);
30FI790A1;PLC=10445/FLD=1216(FLD);AI;C3001 FLOW COOLING WATER;F790;M;Показания;;
00XS301EMC03;PLC=1381/FLD=18(MAR);DI;IB301 COMM ALARM EMC03;;;;;
30BSLL903A;PLC=10074/FLD=548(FLD);AI;BURNER 7;Н-3001;M;Интенсивность_пилот_4;;
30TI831A;PLC=10416/FLD=1360(FLD);AI;P-3003S PUMP T. BEAR. T.;;;;;
30TI157B;PLC=10148/FLD=524(FLD);AI;TAR OIL H-3001 (3 COIL);T028C;M;Показания;;
30HS122BA;PLC=1432/FLD=235(PNL);DI;SD AT FIRE P-3020 - T.04;30HS122B;HS->RSU;;#0;
30AI950A;PLC=10065/FLD=560(FLD);AI;FLUE GAS;Н-3001;M;О2_в_дыме;;
30XY875D;PLC=1511/FLD=1250(FLD);DO;C-3001A  VALVE UNLOADERS;;;;;
30XY035;PLC=1539/FLD=279(MCC);DO;P-3006A-STOP TECH FAIL;Р-3006A;M;Стоп2;#0;
30TI156B;PLC=10145/FLD=522(FLD);AI;TAR OIL H-3001 (2 COIL);T028B;M;Показания;;
30HSXV088;PLC=1803/FLD=262(FLD);DI;30XV088 BUTTON FEED;XV-088_HS;HS->RSU;;#0;
30TI801A;PLC=10402/FLD=1300(FLD);AI;P-3001A PUMP T. BEARING;Р-3001A;M;Температура_1;;
30XA947E;PLC=1470/FLD=1162(LCP);DO;APH FLUE GAS TEMP. TRIP;30XA947E;RSU->HS;;;
30ZSLL877;PLC=1420/FLD=1214(FLD);DI;C-3001A  FLYWHEEL  COVER;;;;#=1;
30PI143C;PLC=10115/FLD=562(FLD);AI;OUTLET FROM H3001 COIL 1;P143;M;Показания;;
30PI787;PLC=10126/FLD=1202(FLD);AI;C-3001A PRES PURGE GAS;P787;M;Показания;;
