FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
2405;FGS_932_1_FLD2405;Fl.G Detector - Polytron IR;;;ЛОЖЬ;;Function block;FGS_932_1;;;12.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
112;FGS_932_1_FLD0112;930-20 MCP 93HS581B;;;ЛОЖЬ;;Program block;FGS_932_1;;;31.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
7;FGS_932_1_FLD0007;Legend of Symbols (6);;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
6;FGS_932_1_FLD0006;Legend of Symbols (5);;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
466;FGS_932_1_FLD0466;V-9302003 Howlers & Beacons;;;ЛОЖЬ;;Program block;FGS_932_1;;;13.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
382;FGS_932_1_FLD0382;C-9302001 Fl.Gas detector 93GT462;;;ЛОЖЬ;;Program block;FGS_932_1;;;12.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
497;FGS_932_1_FLD0497;930-20 OUs Common Alarm TGD;;;ЛОЖЬ;;Program block;FGS_932_1;;;13.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
318;FGS_932_1_FLD0318;B-9302001 Fl.Gas detector 93GT443;;;ЛОЖЬ;;Program block;FGS_932_1;;;12.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
60;FGS_932_1_FLD0060;SafeNet Status;;;ЛОЖЬ;;Program block;FGS_932_1;;;31.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
494;FGS_932_1_FLD0494;A-9302001 Common Alarm T.GD;;;ЛОЖЬ;;Program block;FGS_932_1;;;13.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
