PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5
M;C312_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;312;;;;;;;0;;;;2514;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;300_488_8;;;;;93HS569;;ЛОЖЬ;ЛОЖЬ;;488;;;;;;;0;;;;1809;ЛОЖЬ;0;;;;;;;1=ACK;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;490_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;490;;;;;;;0;;;;2213;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C646_1_M;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;646;;;;;;;0;;;;1287;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C492_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;492;;;;;;;0;;;;1462;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;93XY564B_TF;;COM;;;CHANNEL OR LINE FAULT;No;ЛОЖЬ;ЛОЖЬ;;1004;;;;;;;0;;;;82;ЛОЖЬ;0;None;;;;;;0=FAULT;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;Output;EPKS_CCB;FGS_932_1;1101;;;;;;;;
M;C184_2_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;184;;;;;;;0;;;;2651;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;93GA454;;COM;;;TRIP INITIATOR-Flammable gas;No;ЛОЖЬ;ЛОЖЬ;;360;;;;;;;1;;;;842;ИСТИНА;63277;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_932_1;828;;;;;;;;
M;2404_B;;;;;0=LINE FAULT;;ЛОЖЬ;ЛОЖЬ;;2404;;;;;;;0;;;;1151;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DI;93HS535;;FLD;;;button of beacon and horn check (remote instl.);No;ИСТИНА;ЛОЖЬ;;346;;;;;;;;;;;60;ИСТИНА;63003;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;47.03;9;5;1;Low;;Digital switch without loop monitoring;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_932_1;437;;;;;;;;
M;C656_2_F;;;;;Compiler marker;;ЛОЖЬ;ЛОЖЬ;;656;;;;;;;0;;;;680;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;93HS508D_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;700;;;;;;;0;;;;1047;ИСТИНА;63389;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_932_1;1030;;;;;;;;
DO;93XV505PV_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;636;;;;;;;0;;;;1006;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_932_1;992;;;;;;;;
M;100_174_6;;;;;93HS594;;ЛОЖЬ;ЛОЖЬ;;174;;;;;;;0;;;;1227;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C838_1_K;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;838;;;;;;;0;;;;575;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
R;C2440_2;;;;;Compiler register (256, 102);;ЛОЖЬ;ЛОЖЬ;;2440;;Byte;;;;;0;;;;118;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;480_482_2;;;;;930-20_TGD_C2;;ЛОЖЬ;ЛОЖЬ;;482;;;;;;;0;;;;1261;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
