PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7
M;1708_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;1708;;;;;;;0;;;;7288;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C246_2_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;246;;;;;;;0;;;;4265;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;300_6;;;;;;;ЛОЖЬ;ЛОЖЬ;;300;;;;;;;0;;;;7182;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1125_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;1125;;;;;;;0;;;;2590;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C250_2_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;250;;;;;;;0;;;;5385;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1669_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;1669;;;;;;;0;;;;5256;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91GT018_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;898;;;;;;;0;;;;1019;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;FGS_912_1;1281;;;;;;;;
M;112_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;112;;;;;;;0;;;;75;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1434_1_L;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1434;;;;;;;0;;;;192;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;848_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;848;;;;;;;0;;;;2152;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
