PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14
DO;22TAHH061D;;COM;2200;A_P20_1;PUMP RADIAL BEAR - DE;No;ЛОЖЬ;ЛОЖЬ;;786;;;;;;;0;;;;1581;ИСТИНА;10002;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;516_182_1;;;2000;;20FT224_MO;;ЛОЖЬ;ЛОЖЬ;;182;;;;;;;0;;;;1654;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;876_3;;;2000;P-2002S;;;ЛОЖЬ;ЛОЖЬ;;876;;;;;;;0;;;;1700;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22TI061G_TF;;COM;2200;A_2000;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;790;;;;;;;0;;;;2172;ЛОЖЬ;0;None;;;;;;0=FAIL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C306_5_F;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;306;;;;;;;0;;;;3592;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1320_6;;;;;;;ЛОЖЬ;ЛОЖЬ;;1320;;;;;;;0;;;;2411;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;267_178_6;;;2000;;21BT214_MO;;ЛОЖЬ;ЛОЖЬ;;178;;;;;;;0;;;;4772;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;576_1;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;576;;;;;;;0;;;;2700;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;818_3;;;2200;P-2002S;;;ЛОЖЬ;ЛОЖЬ;;818;;;;;;;0;;;;5618;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C246_1_G;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;246;;;;;;;0;;;;4643;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;488_2;;;2000;H-2006;;;ЛОЖЬ;ЛОЖЬ;;488;;;;;;;;100 ms;5;;1456;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;6-TempL_Alarm;;SYS;;;Temp low alarm;Yes;ЛОЖЬ;;;15;;;;;;;;;;;4;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22VSHH058XY_MOC;;COM;2000;P-2002S;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;814;;;;;;;0;;;;5489;ИСТИНА;10016;None;;;;;;1=CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;610_1;;;2000;H-2006;;;ЛОЖЬ;ЛОЖЬ;;610;;;;;;;0;;;;5402;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XSH2003_PA;;COM;;;PRE-ALARM;No;ЛОЖЬ;ЛОЖЬ;;309;;;;;;;0;;;;1124;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C772_1_D;;;2200;2200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;772;;;;;;;0;;;;1400;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;786_8;;;2200;P-2002S;;;ЛОЖЬ;ЛОЖЬ;;786;;;;;;;0;;;;6071;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;21XA625A;;LCP;2100;A_2000;VENT VALIDITY TIME OUT;Yes;ИСТИНА;ЛОЖЬ;;602;;;;;;;0;;;;191;ЛОЖЬ;10004;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;06.07;11;8;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C306_1_F;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;306;;;;;;;0;;;;4206;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1333_14;;;;;;;ЛОЖЬ;ЛОЖЬ;;1333;;;;;;;0;;;;1074;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22TAHH061L_CA;;COM;2200;A_2000;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;795;;;;;;;0;;;;2202;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22TI061N2_TF;;COM;2100;A_2000;GBOX LSS RADIAL BEAR-NDE;No;ЛОЖЬ;ЛОЖЬ;;797;;;;;;;0;;;;4635;ЛОЖЬ;0;None;;;;;;0=FAIL;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;203_9;;;2000;H-2006;;;ЛОЖЬ;ЛОЖЬ;;203;;;;;;;0;;;;4843;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22TAHH041N;;COM;2200;A_2000;HPRT THRUST BEAR - NCE;No;ЛОЖЬ;ЛОЖЬ;;719;;;;;;;0;;;;2778;ИСТИНА;11425;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20HS116A2;;FLD;2000;A_2000;H-2003 EMERGENCY SD;Yes;ИСТИНА;ЛОЖЬ;;316;;;;;;;;;;;36;ИСТИНА;10006;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;06.03;5;13;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20LAHH063;;COM;2000;A_2000;E-2014;No;ЛОЖЬ;ЛОЖЬ;;922;;;;;;;0;;;;297;ИСТИНА;10883;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C787_3_F;;;2200;2200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;787;;;;;;;0;;;;6208;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;572_463_1;;;2000;;INHIBIT FLAME ON;;ЛОЖЬ;ЛОЖЬ;;463;;;;;;;0;;;;4885;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C480_5_D;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;480;;;;;;;0;;;;3417;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C512_3_F;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;512;;;;;;;0;;;;3766;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C490_2_E;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;490;;;;;;;0;;;;3371;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;332_1320_3;;;;;21PALL211_I;;ЛОЖЬ;ЛОЖЬ;;1320;;;;;;;0;;;;6577;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20TAHH573B_CA;;COM;2000;A_2000;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;482;;;;;;;0;;;;3210;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;21XL613A;;LCP;2100;A_2000;READY FOR VENTILATION;Yes;ИСТИНА;ЛОЖЬ;;604;;;;;;;0;;;;160;ЛОЖЬ;10007;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;06.07;9;9;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;21TAHH603C_CA;;COM;2100;A_2000;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;498;;;;;;;0;;;;3283;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;22TI071_L;;COM;2200;A_2000;L TRIP SETPOINT (°C);No;ЛОЖЬ;ЛОЖЬ;;780;;Float;;;;;0;;;;1504;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;10373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;CB001_ESD6_D1;;COM;;S_B001;FORCE ENABLE;No;ЛОЖЬ;ЛОЖЬ;;17;;;;;;;0;;;;2138;ИСТИНА;10665;None;;;;;;0=ENABLE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;474_2;;;2000;H-2001;;;ЛОЖЬ;ЛОЖЬ;;474;;;;;;;;100 ms;5;;1172;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;21AI601AC_MOR;;COM;2200;A_2000;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;92;;;;;;;0;;;;4441;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;;;;;;;;Freeze;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_001_6;234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20HS109B1;;PNL;2000;A_P20_1;P-2002/S EMERGENCY SD;Yes;ИСТИНА;ЛОЖЬ;;654;;;;;;;;;;;24;ИСТИНА;10008;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;06.03;3;1;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;530_602_4;;;2000;;21XA625A1_I;;ЛОЖЬ;ЛОЖЬ;;602;;;;;;;0;;;;3117;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XY567_SM06_07;;FSC;2000;P-2004S;CLOSE VALVE 20XV567;Yes;ЛОЖЬ;ЛОЖЬ;;921;;;;;;;0;;;;4065;ЛОЖЬ;0;None;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;ESD_001_7;ESD_001_6;0;;;;;;;;;;;;;;;;;;;;
DO;22TAHH041B;;COM;2200;A_P20_1;PUMP THRUST BEAR - DE;No;ЛОЖЬ;ЛОЖЬ;;705;;;;;;;0;;;;2514;ИСТИНА;11403;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_6;1076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C292_4_D;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;292;;;;;;;0;;;;5845;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
