FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
290;ESD_001_6_FLD0290;I-322 INPUT SIGNALS (20TT186);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
181;ESD_001_6_FLD0181;MOS AREA H-2006;2000;;ЛОЖЬ;;Program block;ESD_001_6;;;17.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
210;ESD_001_6_FLD0210;I-328 INPUT SIGNALS (20PT377);2000;H-2003;ЛОЖЬ;;Program block;ESD_001_6;;;02.05.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
300;ESD_001_6_FLD0300;I-323 INPUT SIGNALS (21TT203);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
796;ESD_001_6_FLD0796;I-604 INPUT SIGN. (22TT061M);2200;P-2002S;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
728;ESD_001_6_FLD0728;I-603 INPUT SIGN. (22TT041X);2200;P-2005;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
258;ESD_001_6_FLD0258;I-321 INPUT SIGNALS (21BE205);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
392;ESD_001_6_FLD0392;HORN ACTIVATION;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
257;ESD_001_6_FLD0257;I-321 INPUT SIGNALS (21BE204);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;03.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
721;ESD_001_6_FLD0721;I-603 INPUT SIGN. (22TT041Q);2200;P-2005;ЛОЖЬ;;Program block;ESD_001_6;;;01.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
330;ESD_001_6_FLD0330;INTERLOCK 20-I-325;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
412;ESD_001_6_FLD0412;H2003 MOS GROUP;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;12.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
477;ESD_001_6_FLD0477;I-381 INPUT SIGNALS (21BE616);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;04.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
908;ESD_001_6_FLD0908;20-I-196: H-2006 SNUFF STEAM;2000;H-2006;ЛОЖЬ;;Program block;ESD_001_6;;;04.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
542;ESD_001_6_FLD0542;INTERLOCK 20-I-385;2000;H-2006;ЛОЖЬ;;Program block;ESD_001_6;;;25.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
18;ESD_001_6_FLD0018;SYSTEM CABINET ALARMS;;;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
732;ESD_001_6_FLD0732;I-603 INPUT SIGNAL (22VSHH032);2200;P-2002;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
606;ESD_001_6_FLD0606;H2006 LOCAL PANEL LP-21-994;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;23.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
244;ESD_001_6_FLD0244;I-321 INPUT SIGNALS (20LT079);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
804;ESD_001_6_FLD0804;I-604 INPUT SIGNAL (22VSHH053);2200;P-2002S;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
712;ESD_001_6_FLD0712;I-603 INPUT SIGN. (22TT041G);2200;P-2005;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
348;ESD_001_6_FLD0348;PILOT LINE TIGHTNESS TEST;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
548;ESD_001_6_FLD0548;INTERLOCK 20-I-391;2000;H-2006;ЛОЖЬ;;Program block;ESD_001_6;;;23.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
562;ESD_001_6_FLD0562;PILOT LINE TIGHTNESS TEST;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;23.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
10;ESD_001_6_FLD0010;LEGEND 09;;;ЛОЖЬ;;Comment block;;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
650;ESD_001_6_FLD0650;20-I-023: 20LT061;2000;;ЛОЖЬ;;Program block;ESD_001_6;;;03.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1510;ESD_001_6_FLD1510;P2002S TRANSMITTERS FAULTS;2200;P-2002S;ЛОЖЬ;;Program block;ESD_001_6;;;25.07.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
199;ESD_001_6_FLD0199;I-328 INHIBIT;2000;H-2003;ЛОЖЬ;;Program block;ESD_001_6;;;06.05.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
910;ESD_001_6_FLD0910;20-I-388: 20HS281;2000;H-2006;ЛОЖЬ;;Program block;ESD_001_6;;;06.05.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
454;ESD_001_6_FLD0454;I-381 INPUT SIGNALS (21PT611B);2000;;ЛОЖЬ;;Program block;ESD_001_6;;;09.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
566;ESD_001_6_FLD0566;MAIN GAS LINE TIGHTNESS TEST;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;23.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
723;ESD_001_6_FLD0723;I-603 INPUT SIGN. (22TT041S);2200;P-2005;ЛОЖЬ;;Program block;ESD_001_6;;;01.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
772;ESD_001_6_FLD0772;P-2002/2052;2200;P-2002;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
790;ESD_001_6_FLD0790;I-604 INPUT SIGN. (22TT061G);2200;P-2002S;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
520;ESD_001_6_FLD0520;MAIN FUEL GAS VALVES STATUS;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;23.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
150;ESD_001_6_FLD0150;MOS AREA 2000-2;2200;;ЛОЖЬ;;Program block;ESD_001_6;;;13.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
261;ESD_001_6_FLD0261;I-321 INPUT SIGNALS (21BE208);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;03.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1016;ESD_001_6_FLD1016;DISCREPANCY VALVE 21XY210;;;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
656;ESD_001_6_FLD0656;20-I-023: 20XY105;2000;;ЛОЖЬ;;Program block;ESD_001_6;;;13.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
143;ESD_001_6_FLD0143;MOS AREA 2000-2;2200;;ЛОЖЬ;;Program block;ESD_001_6;;;04.10.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
830;ESD_001_6_FLD0830;P-2002S;2200;P-2002S;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
178;ESD_001_6_FLD0178;MOS AREA H-2003;2200;;ЛОЖЬ;;Program block;ESD_001_6;;;11.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
620;ESD_001_6_FLD0620;H2006 MOS GROUP;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;12.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
579;ESD_001_6_FLD0579;OOS 21XV611, 21XV612;;;ЛОЖЬ;;Program block;ESD_001_6;;;08.08.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2410;ESD_001_6_FLD2410;OOS Type 2 - WITH TIMERS;;;ЛОЖЬ;;Function block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
800;ESD_001_6_FLD0800;I-604 INPUT SIGNAL (22VSHH051);2200;P-2002S;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
242;ESD_001_6_FLD0242;I-321 INPUT SIGNALS (21PT203);2000;H-2001;ЛОЖЬ;;Program block;ESD_001_6;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
