FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
541;ESD_101_1_FLD0541;H1001 I-019 TRIP outputs;1000;H1001;ЛОЖЬ;;Program block;ESD_101_1;;;06.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
715;ESD_101_1_FLD0715;SEQUENCE H-1001-Step 3.1;1000;H1001;ЛОЖЬ;;Program block;ESD_101_1;;;06.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
805;ESD_101_1_FLD0805;SEQUENCE H-1001-Step 6.4.2;1000;H1001;ЛОЖЬ;;Program block;ESD_101_1;;;06.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1233;ESD_101_1_FLD1233;SIS-P-1001A TI-702,702A;1000;;ЛОЖЬ;;Program block;ESD_101_1;;;03.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
523;ESD_101_1_FLD0523;H1001 I-018 TI-251A/B/C;1000;H1001;ЛОЖЬ;;Program block;ESD_101_1;;;07.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
120;ESD_101_1_FLD0120;MOS ACTIVE AREA H-1001A;1000;;ЛОЖЬ;;Program block;ESD_101_1;;;04.06.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1144;ESD_101_1_FLD1144;H1001 SOUR GAS VALVE XY-914;1000;H1001;ЛОЖЬ;;Program block;ESD_101_1;;;07.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
502;ESD_101_1_FLD0502;H1001 I-023 PI-911A,PI-911B HH;1000;H1001;ЛОЖЬ;;Program block;ESD_101_1;;;06.03.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1207;ESD_101_1_FLD1207;SIS-P-1001S VAH/VSHH-921X,Y;1000;;ЛОЖЬ;;Program block;ESD_101_1;;;05.10.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
163;ESD_101_1_FLD0163;I-004 10HS181_SM9_8;1000;;ЛОЖЬ;;Program block;ESD_101_1;;;11.09.2007;;;Sysdtlsmflda;Sysdtlsmflda_fp;
